# Testování po nasazení vylepšení 38 + 39
"describe","test","status","duration","timestamp","timestampLocal"
"Registration testovací firmy @high @middle @low","Registration firmy","passed",12112,"2025-09-11T09:43:49.055Z","11. 09. 2025 11:43"
"Set the company for testing @high @middle @low","Create contact Bene","passed",12503,"2025-09-11T09:44:02.700Z","11. 09. 2025 11:44"
"Set the company for testing @high @middle @low","Create 3 centers","passed",8159,"2025-09-11T09:44:10.935Z","11. 09. 2025 11:44"
"Set the company for testing @high @middle @low","Create 3 activity","passed",7510,"2025-09-11T09:44:18.532Z","11. 09. 2025 11:44"
"Set the company for testing @high @middle @low","Create 3 projects","passed",7649,"2025-09-11T09:44:26.292Z","11. 09. 2025 11:44"
"Set the company for testing @high @middle @low","Set filters in the folder Faktury vystavené","passed",10390,"2025-09-11T09:44:36.832Z","11. 09. 2025 11:44"
"Cash receipt - homeland CZK in DMS @high @middle @low","Create cash receipt","passed",71642,"2025-09-11T09:45:54.985Z","11. 09. 2025 11:45"
"Cash receipt - homeland CZK in DMS @high @middle @low","Control invoice in DMS list","passed",8419,"2025-09-11T09:46:04.241Z","11. 09. 2025 11:46"
"Cash receipt - homeland CZK in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",12384,"2025-09-11T09:46:16.939Z","11. 09. 2025 11:46"
"Cash receipt - homeland CZK in DMS @high @middle @low","Control data in crud","passed",11080,"2025-09-11T09:46:28.229Z","11. 09. 2025 11:46"
"Cash receipt - homeland CZK in DMS @high @middle @low","Control accounting diary","passed",4420,"2025-09-11T09:46:33.915Z","11. 09. 2025 11:46"
"Cash receipt - homeland CZK in DMS @high @middle @low","Delete invoice in DMS","passed",9965,"2025-09-11T09:46:44.301Z","11. 09. 2025 11:46"
"Cash receipt - homeland CZK in DMS @high @middle @low","Control data is deleted from accounting diary","passed",735,"2025-09-11T09:46:45.207Z","11. 09. 2025 11:46"
"Create cash receipt - homeland EUR in DMS @high @middle @low","Create cash receipt","passed",73053,"2025-09-11T09:48:01.315Z","11. 09. 2025 11:48"
"Create cash receipt - homeland EUR in DMS @high @middle @low","Control invoice in DMS list","passed",8083,"2025-09-11T09:48:10.123Z","11. 09. 2025 11:48"
"Create cash receipt - homeland EUR in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",7916,"2025-09-11T09:48:18.778Z","11. 09. 2025 11:48"
"Create cash receipt - homeland EUR in DMS @high @middle @low","Control data in crud","passed",7886,"2025-09-11T09:48:26.843Z","11. 09. 2025 11:48"
"Create cash receipt - homeland EUR in DMS @high @middle @low","Control accounting diary","passed",3122,"2025-09-11T09:48:30.517Z","11. 09. 2025 11:48"
"Create cash receipt - homeland EUR in DMS @high @middle @low","Delete invoice in DMS","passed",9278,"2025-09-11T09:48:39.989Z","11. 09. 2025 11:48"
"Create cash receipt - homeland EUR in DMS @high @middle @low","Control data is deleted from accounting diary","passed",1252,"2025-09-11T09:48:41.737Z","11. 09. 2025 11:48"
"Create cash receipt - homeland PHP in DMS @high @middle @low","Create cash receipt","passed",72664,"2025-09-11T09:49:56.499Z","11. 09. 2025 11:49"
"Create cash receipt - homeland PHP in DMS @high @middle @low","Control invoice in DMS list","passed",7203,"2025-09-11T09:50:04.117Z","11. 09. 2025 11:50"
"Create cash receipt - homeland PHP in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",7692,"2025-09-11T09:50:12.422Z","11. 09. 2025 11:50"
"Create cash receipt - homeland PHP in DMS @high @middle @low","Control data in crud","passed",7789,"2025-09-11T09:50:20.448Z","11. 09. 2025 11:50"
"Create cash receipt - homeland PHP in DMS @high @middle @low","Control accounting diary","passed",2343,"2025-09-11T09:50:23.347Z","11. 09. 2025 11:50"
"Create cash receipt - homeland PHP in DMS @high @middle @low","Delete invoice in DMS","passed",7882,"2025-09-11T09:50:31.399Z","11. 09. 2025 11:50"
"Create cash receipt - homeland PHP in DMS @high @middle @low","Control data is deleted from accounting diary","passed",873,"2025-09-11T09:50:32.509Z","11. 09. 2025 11:50"
"Create cash receipt - EU CZK in DMS @high @middle @low","Create cash receipt in DMS","passed",37913,"2025-09-11T09:51:12.987Z","11. 09. 2025 11:51"
"Create cash receipt - EU CZK in DMS @high @middle @low","Control invoice in DMS list","passed",7151,"2025-09-11T09:51:20.502Z","11. 09. 2025 11:51"
"Create cash receipt - EU CZK in DMS @high @middle @low","Control accounting in filtr zaúčtování","passed",10354,"2025-09-11T09:51:31.295Z","11. 09. 2025 11:51"
"Create cash receipt - EU CZK in DMS @high @middle @low","Control data in crud","passed",10468,"2025-09-11T09:51:42.027Z","11. 09. 2025 11:51"
"Create cash receipt - EU CZK in DMS @high @middle @low","Control accounting diary","passed",2962,"2025-09-11T09:51:45.472Z","11. 09. 2025 11:51"
"Create cash receipt - EU CZK in DMS @high @middle @low","Delete invoice in DMS","passed",13903,"2025-09-11T09:51:59.498Z","11. 09. 2025 11:51"
"Create cash receipt - EU CZK in DMS @high @middle @low","Control data is deleted from accounting diary","passed",1062,"2025-09-11T09:52:00.999Z","11. 09. 2025 11:52"
"Create cash receipt - EU EUR in DMS @middle @low","Create cash receipt in DMS","passed",61616,"2025-09-11T09:53:06.022Z","11. 09. 2025 11:53"
"Create cash receipt - EU EUR in DMS @middle @low","Control invoice in DMS list","passed",9133,"2025-09-11T09:53:15.572Z","11. 09. 2025 11:53"
"Create cash receipt - EU EUR in DMS @middle @low","Control accounting in filtr zaúčtování","passed",8471,"2025-09-11T09:53:24.530Z","11. 09. 2025 11:53"
"Create cash receipt - EU EUR in DMS @middle @low","Control data in crud","passed",9834,"2025-09-11T09:53:34.647Z","11. 09. 2025 11:53"
"Create cash receipt - EU EUR in DMS @middle @low","Control accounting diary","passed",2628,"2025-09-11T09:53:37.689Z","11. 09. 2025 11:53"
"Create cash receipt - EU EUR in DMS @middle @low","Delete invoice in DMS","passed",10152,"2025-09-11T09:53:48.032Z","11. 09. 2025 11:53"
"Create cash receipt - EU EUR in DMS @middle @low","Control data is deleted from accounting diary","passed",1792,"2025-09-11T09:53:50.679Z","11. 09. 2025 11:53"
"Create cash receipt - EU PHP in DMS @low","Create cash receipt","passed",60274,"2025-09-11T09:54:54.891Z","11. 09. 2025 11:54"
"Create cash receipt - EU PHP in DMS @low","Control invoice in DMS list","passed",7300,"2025-09-11T09:55:02.495Z","11. 09. 2025 11:55"
