"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10805","Uploads a second file with a different name into the same folder","","Sat Jun 28 16:30:14 CEST 2025","failed","Sat Jun 28 16:30:25 CEST 2025","","Uploading and managing documents in a DMS folder with a template @high @middle @low","",""
"","7596","Delete the moved folder ""Faktury přijaté"" with badge 1","","Sat Jun 28 16:34:53 CEST 2025","passed","Sat Jun 28 16:35:00 CEST 2025","","Uploading a file and moving a created folder without template to location with same folder name @high @middle @low","",""
"","10557","Upload the document to the newly created folder","","Sat Jun 28 16:39:32 CEST 2025","failed","Sat Jun 28 16:39:42 CEST 2025","","Rename folder with template @high @middle @low","",""
"","7602","Edit and rename created folder without template","","Sat Jun 28 16:38:25 CEST 2025","passed","Sat Jun 28 16:38:33 CEST 2025","","Rename folder without template @high @middle @low","",""
"","1293","Verify that the folder deletion was properly logged in the system history","","Sat Jun 28 16:37:49 CEST 2025","passed","Sat Jun 28 16:37:51 CEST 2025","","Uploading a file and moving a created folder with template to location with same folder name @high @middle @low","",""
"","8683","Verify that the uploaded file still exists in the newly moved folder with badge 1","","Sat Jun 28 16:36:47 CEST 2025","passed","Sat Jun 28 16:36:55 CEST 2025","","Uploading a file and moving a created folder with template to location with same folder name @high @middle @low","",""
"","8866","Download the file from renamed folder","","Sat Jun 28 16:40:01 CEST 2025","passed","Sat Jun 28 16:40:09 CEST 2025","","Rename folder with template @high @middle @low","",""
"","6661","Verify that the folder was successfully moved and both folders now exist under Účetnictví/2025","","Sat Jun 28 16:36:40 CEST 2025","passed","Sat Jun 28 16:36:47 CEST 2025","","Uploading a file and moving a created folder with template to location with same folder name @high @middle @low","",""
"","7567","Moves the folder into a subfolder structure in DMS","","Sat Jun 28 16:31:39 CEST 2025","passed","Sat Jun 28 16:31:46 CEST 2025","","Uploading a file and moving a created folder without template @high @middle @low","",""
"","9245","Edits created folder and set folder","","Sat Jun 28 16:27:47 CEST 2025","passed","Sat Jun 28 16:27:56 CEST 2025","","DMS Folder Management – Create, Edit, Permissions, Delete @high @middle @low","",""
"","12450","Ensure the file in the newly moved folder is still downloadable and valid","","Sat Jun 28 16:36:56 CEST 2025","passed","Sat Jun 28 16:37:08 CEST 2025","","Uploading a file and moving a created folder with template to location with same folder name @high @middle @low","",""
"","1874","Verify that uploading the first document was recorded in the system history","","Sat Jun 28 16:35:40 CEST 2025","passed","Sat Jun 28 16:35:42 CEST 2025","","Uploading a file and moving a created folder with template to location with same folder name @high @middle @low","",""
"","861","Verifies that created folder is recorded in the history","","Sat Jun 28 16:28:28 CEST 2025","passed","Sat Jun 28 16:28:29 CEST 2025","","Uploading and Managing Files in a DMS Folder Without a Template @high @middle @low","",""
