# Spuštění testů po opravě vylepšení 27
"describe","test","status","duration","timestamp","timestampLocal"
"Registration company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",12707,"2025-06-30T05:21:08.070Z","30. 06. 2025 07:21"
"Registration company @high @middle @low","Registration company","passed",14073,"2025-06-30T05:21:22.179Z","30. 06. 2025 07:21"
"Invite user in the company @high @middle @low","Send invitation to the user","passed",12650,"2025-06-30T05:21:35.624Z","30. 06. 2025 07:21"
"Invite user in the company @high @middle @low","Accept invitation","passed",6846,"2025-06-30T05:21:42.504Z","30. 06. 2025 07:21"
"DMS Folder Management Create Edit Permissions Delete @high @middle @low","Creates folder Středisko Praha without template","passed",18918,"2025-06-30T05:22:02.343Z","30. 06. 2025 07:22"
"DMS Folder Management Create Edit Permissions Delete @high @middle @low","Logs newly created folder into history section","passed",1399,"2025-06-30T05:22:03.833Z","30. 06. 2025 07:22"
"DMS Folder Management Create Edit Permissions Delete @high @middle @low","Edits created folder and set folder","passed",9230,"2025-06-30T05:22:13.103Z","30. 06. 2025 07:22"
"DMS Folder Management Create Edit Permissions Delete @high @middle @low","Logs edited folder into history section","passed",1543,"2025-06-30T05:22:14.714Z","30. 06. 2025 07:22"
"DMS Folder Management Create Edit Permissions Delete @high @middle @low","Verifies full permissions for both users in company","passed",6296,"2025-06-30T05:22:21.052Z","30. 06. 2025 07:22"
"DMS Folder Management Create Edit Permissions Delete @high @middle @low","Deletes folder Středisko Praha","passed",4480,"2025-06-30T05:22:25.574Z","30. 06. 2025 07:22"
"DMS Folder Management Create Edit Permissions Delete @high @middle @low","Logs folder deletion to history","passed",1071,"2025-06-30T05:22:26.716Z","30. 06. 2025 07:22"
"Uploading and Managing Files in a DMS Folder Without a Template @high @middle @low","Creates a new DMS folder for file uploads without template","passed",16052,"2025-06-30T05:22:43.698Z","30. 06. 2025 07:22"
"Uploading and Managing Files in a DMS Folder Without a Template @high @middle @low","Verifies that created folder is recorded in the history","passed",1423,"2025-06-30T05:22:45.196Z","30. 06. 2025 07:22"
"Uploading and Managing Files in a DMS Folder Without a Template @high @middle @low","Uploads the first file into the created folder","passed",7629,"2025-06-30T05:22:52.867Z","30. 06. 2025 07:22"
"Uploading and Managing Files in a DMS Folder Without a Template @high @middle @low","Verifies that the upload of the first file is recorded in the history","passed",799,"2025-06-30T05:22:53.742Z","30. 06. 2025 07:22"
"Uploading and Managing Files in a DMS Folder Without a Template @high @middle @low","Downloads the first uploaded file and checks its contents","passed",9904,"2025-06-30T05:23:03.662Z","30. 06. 2025 07:23"
"Uploading and Managing Files in a DMS Folder Without a Template @high @middle @low","Uploads a second file with a different filename into the same folder","passed",6073,"2025-06-30T05:23:09.802Z","30. 06. 2025 07:23"
"Uploading and Managing Files in a DMS Folder Without a Template @high @middle @low","Verifies that the upload of the second file is recorded in the change history","passed",1285,"2025-06-30T05:23:11.173Z","30. 06. 2025 07:23"
"Uploading and Managing Files in a DMS Folder Without a Template @high @middle @low","Downloads the second uploaded file and verifies its content","failed",11205,"2025-06-30T05:23:22.415Z","30. 06. 2025 07:23"
"Uploading and Managing Files in a DMS Folder Without a Template @high @middle @low","Uploads a third file with the same name as the first one","passed",5740,"2025-06-30T05:23:28.255Z","30. 06. 2025 07:23"
"Uploading and Managing Files in a DMS Folder Without a Template @high @middle @low","Verifies that the upload of the third file is recorded in the change history","passed",1082,"2025-06-30T05:23:29.437Z","30. 06. 2025 07:23"
"Uploading and Managing Files in a DMS Folder Without a Template @high @middle @low","Downloads the third uploaded file and verifies its content","passed",11469,"2025-06-30T05:23:40.938Z","30. 06. 2025 07:23"
"Uploading and Managing Files in a DMS Folder Without a Template @high @middle @low","Deletes the created folder without template","passed",4261,"2025-06-30T05:23:45.273Z","30. 06. 2025 07:23"
"Uploading and Managing Files in a DMS Folder Without a Template @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",821,"2025-06-30T05:23:46.191Z","30. 06. 2025 07:23"
"Uploading and managing documents in a DMS folder with a template @high @middle @low","Creates a new DMS folder using a predefined template","passed",15377,"2025-06-30T05:24:02.512Z","30. 06. 2025 07:24"
"Uploading and managing documents in a DMS folder with a template @high @middle @low","Uploads the first file into the created folder","passed",6756,"2025-06-30T05:24:09.364Z","30. 06. 2025 07:24"
"Uploading and managing documents in a DMS folder with a template @high @middle @low","Verifies that the first file upload is recorded in the history log","passed",1161,"2025-06-30T05:24:10.612Z","30. 06. 2025 07:24"
"Uploading and managing documents in a DMS folder with a template @high @middle @low","Downloads the first uploaded file and validates its content","passed",8475,"2025-06-30T05:24:19.109Z","30. 06. 2025 07:24"
"Uploading and managing documents in a DMS folder with a template @high @middle @low","Uploads a second file with a different name into the same folder","passed",6550,"2025-06-30T05:24:25.720Z","30. 06. 2025 07:24"
"Uploading and managing documents in a DMS folder with a template @high @middle @low","Verifies that the second file upload is recorded in the history log","passed",979,"2025-06-30T05:24:26.780Z","30. 06. 2025 07:24"
"Uploading and managing documents in a DMS folder with a template @high @middle @low","Downloads the second uploaded file and checks the content","passed",9305,"2025-06-30T05:24:36.119Z","30. 06. 2025 07:24"
"Uploading and managing documents in a DMS folder with a template @high @middle @low","Uploads a third file (same file name as the first upload)","passed",6169,"2025-06-30T05:24:42.350Z","30. 06. 2025 07:24"
"Uploading and managing documents in a DMS folder with a template @high @middle @low","Verifies that the third file upload is recorded in the history log","passed",1073,"2025-06-30T05:24:43.506Z","30. 06. 2025 07:24"
"Uploading and managing documents in a DMS folder with a template @high @middle @low","Downloads the third uploaded file and checks the content","passed",8623,"2025-06-30T05:24:52.151Z","30. 06. 2025 07:24"
"Uploading and managing documents in a DMS folder with a template @high @middle @low","Deletes the created folder with template","passed",4262,"2025-06-30T05:24:56.474Z","30. 06. 2025 07:24"
"Uploading and managing documents in a DMS folder with a template @high @middle @low","Verifies that folder deletion is recorded in the history log","passed",863,"2025-06-30T05:24:57.418Z","30. 06. 2025 07:24"
"Uploading a file and moving a created folder without template @high @middle @low","Creates a new folder without template","passed",16475,"2025-06-30T05:25:14.850Z","30. 06. 2025 07:25"
"Uploading a file and moving a created folder without template @high @middle @low","Uploads the first file into the created folder","passed",7045,"2025-06-30T05:25:21.942Z","30. 06. 2025 07:25"
"Uploading a file and moving a created folder without template @high @middle @low","Verifies that the file upload is recorded in the history log","passed",863,"2025-06-30T05:25:22.877Z","30. 06. 2025 07:25"
"Uploading a file and moving a created folder without template @high @middle @low","Downloads the uploaded file and checks content","passed",8396,"2025-06-30T05:25:31.291Z","30. 06. 2025 07:25"
"Uploading a file and moving a created folder without template @high @middle @low","Moves the folder into a subfolder structure in DMS","passed",7488,"2025-06-30T05:25:38.845Z","30. 06. 2025 07:25"
"Uploading a file and moving a created folder without template @high @middle @low","Verifies the folder was successfully moved to the new location","passed",8027,"2025-06-30T05:25:46.952Z","30. 06. 2025 07:25"
"Uploading a file and moving a created folder without template @high @middle @low","Verifies that the uploaded file is still present in the moved folder","passed",8618,"2025-06-30T05:25:55.645Z","30. 06. 2025 07:25"
"Uploading a file and moving a created folder without template @high @middle @low","Verifies that the uploaded file is still downloadable from the new location","passed",12081,"2025-06-30T05:26:07.786Z","30. 06. 2025 07:26"
"Uploading a file and moving a created folder without template @high @middle @low","Deletes the moved folder (non-periodic)","passed",7357,"2025-06-30T05:26:15.204Z","30. 06. 2025 07:26"
"Uploading a file and moving a created folder without template @high @middle @low","Deletes the moved folder (non-periodic)","passed",1140,"2025-06-30T05:26:16.404Z","30. 06. 2025 07:26"
"Uploading a file and moving a created folder without template to location with same folder name @high @middle @low","Create a new folder ""Faktury přijaté"" in the root of DMS without using a template","passed",16044,"2025-06-30T05:26:33.327Z","30. 06. 2025 07:26"
"Uploading a file and moving a created folder without template to location with same folder name @high @middle @low","Upload the first document to the newly created ""Faktury přijaté"" folder","passed",6728,"2025-06-30T05:26:40.140Z","30. 06. 2025 07:26"
"Uploading a file and moving a created folder without template to location with same folder name @high @middle @low","Verify that uploading the first document was recorded in the system history","passed",851,"2025-06-30T05:26:41.056Z","30. 06. 2025 07:26"
"Uploading a file and moving a created folder without template to location with same folder name @high @middle @low","Download the file from the newly created ""Faktury přijaté"" folder and check content","passed",8779,"2025-06-30T05:26:49.848Z","30. 06. 2025 07:26"
"Uploading a file and moving a created folder without template to location with same folder name @high @middle @low","Upload a file to the original ""Faktury přijaté"" folder with template located under Účetnictví/2025","passed",9276,"2025-06-30T05:26:59.185Z","30. 06. 2025 07:26"
"Uploading a file and moving a created folder without template to location with same folder name @high @middle @low","Upload another file (same name) to the original ""Faktury přijaté"" folder with template under Účetnictví/2025","passed",10215,"2025-06-30T05:27:09.476Z","30. 06. 2025 07:27"
"Uploading a file and moving a created folder without template to location with same folder name @high @middle @low","Download file from the original ""Faktury přijaté"" folder and validate content","passed",11259,"2025-06-30T05:27:20.791Z","30. 06. 2025 07:27"
"Uploading a file and moving a created folder without template to location with same folder name @high @middle @low","Move the newly created ""Faktury přijaté"" folder to Účetnictví/2025 where original folder exists","passed",7602,"2025-06-30T05:27:28.458Z","30. 06. 2025 07:27"
"Uploading a file and moving a created folder without template to location with same folder name @high @middle @low","Verify that the folder was successfully moved and both folders now exist under Účetnictví/2025","passed",6190,"2025-06-30T05:27:34.722Z","30. 06. 2025 07:27"
"Uploading a file and moving a created folder without template to location with same folder name @high @middle @low","Verify that the uploaded file still exists in the newly moved folder with badge 1","passed",9458,"2025-06-30T05:27:44.252Z","30. 06. 2025 07:27"
"Uploading a file and moving a created folder without template to location with same folder name @high @middle @low","Ensure the file in the newly moved folder is still downloadable and valid","passed",11841,"2025-06-30T05:27:56.144Z","30. 06. 2025 07:27"
"Uploading a file and moving a created folder without template to location with same folder name @high @middle @low","Verify that files in the original folder with badge 2 are still present","passed",8156,"2025-06-30T05:28:04.371Z","30. 06. 2025 07:28"
"Uploading a file and moving a created folder without template to location with same folder name @high @middle @low","Download file from the original folder and confirm its content matches the expected file","passed",11955,"2025-06-30T05:28:16.380Z","30. 06. 2025 07:28"
