# Spuštění testů DMS po úpravě řazení v DMS vzestupně místo sestupně
"describe","test","status","duration","timestamp","timestampLocal"
"Registration company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",15592,"2025-07-09T05:57:05.907Z","09. 07. 2025 07:57"
"Registration company @high @middle @low","Registration company","passed",13664,"2025-07-09T05:57:19.634Z","09. 07. 2025 07:57"
"Invite user in the company @high @middle @low","Send invitation to the user","passed",11670,"2025-07-09T05:57:32.339Z","09. 07. 2025 07:57"
"Invite user in the company @high @middle @low","Accept invitation","passed",6004,"2025-07-09T05:57:38.385Z","09. 07. 2025 07:57"
"DMS Folder Management Create Edit Permissions Delete @high @middle @low","Creates folder Středisko Praha without template","passed",16953,"2025-07-09T05:57:57.205Z","09. 07. 2025 07:57"
"DMS Folder Management Create Edit Permissions Delete @high @middle @low","Logs newly created folder into history section","passed",1379,"2025-07-09T05:57:58.679Z","09. 07. 2025 07:57"
"DMS Folder Management Create Edit Permissions Delete @high @middle @low","Edits created folder and set folder","passed",10514,"2025-07-09T05:58:09.232Z","09. 07. 2025 07:58"
"DMS Folder Management Create Edit Permissions Delete @high @middle @low","Logs edited folder into history section","passed",1667,"2025-07-09T05:58:10.967Z","09. 07. 2025 07:58"
"DMS Folder Management Create Edit Permissions Delete @high @middle @low","Verifies full permissions for both users in company","passed",6439,"2025-07-09T05:58:17.450Z","09. 07. 2025 07:58"
"DMS Folder Management Create Edit Permissions Delete @high @middle @low","Deletes folder Středisko Praha","passed",4874,"2025-07-09T05:58:22.370Z","09. 07. 2025 07:58"
"DMS Folder Management Create Edit Permissions Delete @high @middle @low","Logs folder deletion to history","passed",902,"2025-07-09T05:58:23.366Z","09. 07. 2025 07:58"
"Uploading and Managing Files in a DMS Folder Without a Template @high @middle @low","Creates a new DMS folder for file uploads without template","passed",16460,"2025-07-09T05:58:40.781Z","09. 07. 2025 07:58"
"Uploading and Managing Files in a DMS Folder Without a Template @high @middle @low","Verifies that created folder is recorded in the history","passed",1591,"2025-07-09T05:58:42.470Z","09. 07. 2025 07:58"
"Uploading and Managing Files in a DMS Folder Without a Template @high @middle @low","Uploads the first file into the created folder","passed",7305,"2025-07-09T05:58:49.817Z","09. 07. 2025 07:58"
"Uploading and Managing Files in a DMS Folder Without a Template @high @middle @low","Verifies that the upload of the first file is recorded in the history","passed",1095,"2025-07-09T05:58:50.976Z","09. 07. 2025 07:58"
"Uploading and Managing Files in a DMS Folder Without a Template @high @middle @low","Downloads the first uploaded file and checks its contents","passed",9219,"2025-07-09T05:59:00.219Z","09. 07. 2025 07:59"
"Uploading and Managing Files in a DMS Folder Without a Template @high @middle @low","Uploads a second file with a different filename into the same folder","passed",6782,"2025-07-09T05:59:07.076Z","09. 07. 2025 07:59"
"Uploading and Managing Files in a DMS Folder Without a Template @high @middle @low","Verifies that the upload of the second file is recorded in the change history","passed",830,"2025-07-09T05:59:07.963Z","09. 07. 2025 07:59"
"Uploading and Managing Files in a DMS Folder Without a Template @high @middle @low","Downloads the second uploaded file and verifies its content","passed",9383,"2025-07-09T05:59:17.369Z","09. 07. 2025 07:59"
"Uploading and Managing Files in a DMS Folder Without a Template @high @middle @low","Uploads a third file with the same name as the first one","passed",6777,"2025-07-09T05:59:24.211Z","09. 07. 2025 07:59"
"Uploading and Managing Files in a DMS Folder Without a Template @high @middle @low","Verifies that the upload of the third file is recorded in the change history","passed",843,"2025-07-09T05:59:25.128Z","09. 07. 2025 07:59"
"Uploading and Managing Files in a DMS Folder Without a Template @high @middle @low","Downloads the third uploaded file and verifies its content","passed",11922,"2025-07-09T05:59:37.066Z","09. 07. 2025 07:59"
"Uploading and Managing Files in a DMS Folder Without a Template @high @middle @low","Deletes the created folder without template","passed",4238,"2025-07-09T05:59:41.366Z","09. 07. 2025 07:59"
"Uploading and Managing Files in a DMS Folder Without a Template @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",961,"2025-07-09T05:59:42.381Z","09. 07. 2025 07:59"
"Uploading and managing documents in a DMS folder with a template @high @middle @low","Creates a new DMS folder using a predefined template","passed",25103,"2025-07-09T06:00:08.393Z","09. 07. 2025 08:00"
"Uploading and managing documents in a DMS folder with a template @high @middle @low","Uploads the first file into the created folder","passed",7423,"2025-07-09T06:00:15.912Z","09. 07. 2025 08:00"
"Uploading and managing documents in a DMS folder with a template @high @middle @low","Verifies that the first file upload is recorded in the history log","passed",916,"2025-07-09T06:00:16.882Z","09. 07. 2025 08:00"
"Uploading and managing documents in a DMS folder with a template @high @middle @low","Downloads the first uploaded file and validates its content","passed",9437,"2025-07-09T06:00:26.334Z","09. 07. 2025 08:00"
"Uploading and managing documents in a DMS folder with a template @high @middle @low","Uploads a second file with a different name into the same folder","passed",6950,"2025-07-09T06:00:33.354Z","09. 07. 2025 08:00"
