# V testech padl flaky test na smazání firmy a test na oprávnění ve složce, které Bin bude opravovat
"describe","test","status","duration","timestamp","timestampLocal"
"Registration company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",13824,"2025-07-17T19:57:58.058Z","17. 07. 2025 21:57"
"Registration company @high @middle @low","Registration company","passed",16337,"2025-07-17T19:58:14.431Z","17. 07. 2025 21:58"
"Invite user in the company @high @middle @low","Send invitation to the user","passed",12595,"2025-07-17T19:58:27.784Z","17. 07. 2025 21:58"
"Invite user in the company @high @middle @low","Accept invitation","passed",5942,"2025-07-17T19:58:33.763Z","17. 07. 2025 21:58"
"DMS Folder Management Create Edit Permissions Delete @high @middle @low","Creates folder Středisko Praha without template","passed",16277,"2025-07-17T19:58:50.924Z","17. 07. 2025 21:58"
"DMS Folder Management Create Edit Permissions Delete @high @middle @low","Logs newly created folder into history section","passed",1742,"2025-07-17T19:58:52.772Z","17. 07. 2025 21:58"
"DMS Folder Management Create Edit Permissions Delete @high @middle @low","Edits created folder and set folder","passed",8111,"2025-07-17T19:59:00.931Z","17. 07. 2025 21:59"
"DMS Folder Management Create Edit Permissions Delete @high @middle @low","Logs edited folder into history section","passed",1134,"2025-07-17T19:59:02.162Z","17. 07. 2025 21:59"
"DMS Folder Management Create Edit Permissions Delete @high @middle @low","Verifies full permissions for both users in company","failed",8961,"2025-07-17T19:59:11.148Z","17. 07. 2025 21:59"
"DMS Folder Management Create Edit Permissions Delete @high @middle @low","Deletes folder Středisko Praha","passed",3801,"2025-07-17T19:59:15.021Z","17. 07. 2025 21:59"
"DMS Folder Management Create Edit Permissions Delete @high @middle @low","Logs folder deletion to history","passed",975,"2025-07-17T19:59:16.078Z","17. 07. 2025 21:59"
"Uploading and Managing Files in a DMS Folder Without a Template @high @middle @low","Creates a new DMS folder for file uploads without template","passed",16262,"2025-07-17T19:59:33.271Z","17. 07. 2025 21:59"
"Uploading and Managing Files in a DMS Folder Without a Template @high @middle @low","Verifies that created folder is recorded in the history","passed",1375,"2025-07-17T19:59:34.751Z","17. 07. 2025 21:59"
