# Flaky  test na smazání firmy spadl
"describe","test","status","duration","timestamp","timestampLocal"
"Registration company @high @middle @low","Repeatedly checks and deletes companies until none remain","failed",14125,"2025-08-19T12:11:21.915Z","19. 08. 2025 14:11"
"Registration company @high @middle @low","Registration company","passed",19383,"2025-08-19T12:11:41.380Z","19. 08. 2025 14:11"
"Invite user in the company @high @middle @low","Send invitation to the user","passed",9410,"2025-08-19T12:11:52.013Z","19. 08. 2025 14:11"
"Invite user in the company @high @middle @low","Accept invitation","passed",4218,"2025-08-19T12:11:56.281Z","19. 08. 2025 14:11"
"DMS Folder Management Create Edit Permissions Delete @high @middle @low","Creates folder Středisko Praha without template","passed",14904,"2025-08-19T12:12:12.744Z","19. 08. 2025 14:12"
"DMS Folder Management Create Edit Permissions Delete @high @middle @low","Logs newly created folder into history section","passed",773,"2025-08-19T12:12:13.834Z","19. 08. 2025 14:12"
"DMS Folder Management Create Edit Permissions Delete @high @middle @low","Edits created folder and set folder","passed",7097,"2025-08-19T12:12:21.011Z","19. 08. 2025 14:12"
"DMS Folder Management Create Edit Permissions Delete @high @middle @low","Logs edited folder into history section","passed",759,"2025-08-19T12:12:22.005Z","19. 08. 2025 14:12"
"DMS Folder Management Create Edit Permissions Delete @high @middle @low","Verifies full permissions for both users in company","passed",4836,"2025-08-19T12:12:27.057Z","19. 08. 2025 14:12"
"DMS Folder Management Create Edit Permissions Delete @high @middle @low","Deletes folder Středisko Praha","passed",3211,"2025-08-19T12:12:30.455Z","19. 08. 2025 14:12"
"DMS Folder Management Create Edit Permissions Delete @high @middle @low","Logs folder deletion to history","passed",857,"2025-08-19T12:12:31.551Z","19. 08. 2025 14:12"
"Uploading and Managing Files in a DMS Folder Without a Template @high @middle @low","Creates a new DMS folder for file uploads without template","passed",12247,"2025-08-19T12:12:46.517Z","19. 08. 2025 14:12"
"Uploading and Managing Files in a DMS Folder Without a Template @high @middle @low","Verifies that created folder is recorded in the history","passed",692,"2025-08-19T12:12:47.439Z","19. 08. 2025 14:12"
"Uploading and Managing Files in a DMS Folder Without a Template @high @middle @low","Uploads the first file into the created folder","passed",4643,"2025-08-19T12:12:52.153Z","19. 08. 2025 14:12"
"Uploading and Managing Files in a DMS Folder Without a Template @high @middle @low","Verifies that the upload of the first file is recorded in the history","passed",606,"2025-08-19T12:12:52.950Z","19. 08. 2025 14:12"
"Uploading and Managing Files in a DMS Folder Without a Template @high @middle @low","Downloads the first uploaded file and checks its contents","passed",9910,"2025-08-19T12:13:02.922Z","19. 08. 2025 14:13"
"Uploading and Managing Files in a DMS Folder Without a Template @high @middle @low","Uploads a second file with a different filename into the same folder","passed",3986,"2025-08-19T12:13:07.130Z","19. 08. 2025 14:13"
"Uploading and Managing Files in a DMS Folder Without a Template @high @middle @low","Verifies that the upload of the second file is recorded in the change history","passed",652,"2025-08-19T12:13:07.943Z","19. 08. 2025 14:13"
"Uploading and Managing Files in a DMS Folder Without a Template @high @middle @low","Downloads the second uploaded file and verifies its content","passed",7117,"2025-08-19T12:13:15.109Z","19. 08. 2025 14:13"
"Uploading and Managing Files in a DMS Folder Without a Template @high @middle @low","Uploads a third file with the same name as the first one","passed",3884,"2025-08-19T12:13:19.258Z","19. 08. 2025 14:13"
"Uploading and Managing Files in a DMS Folder Without a Template @high @middle @low","Verifies that the upload of the third file is recorded in the change history","passed",531,"2025-08-19T12:13:19.929Z","19. 08. 2025 14:13"
"Uploading and Managing Files in a DMS Folder Without a Template @high @middle @low","Downloads the third uploaded file and verifies its content","passed",10719,"2025-08-19T12:13:30.681Z","19. 08. 2025 14:13"
"Uploading and Managing Files in a DMS Folder Without a Template @high @middle @low","Deletes the created folder without template","passed",3886,"2025-08-19T12:13:34.875Z","19. 08. 2025 14:13"
"Uploading and Managing Files in a DMS Folder Without a Template @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",1125,"2025-08-19T12:13:36.231Z","19. 08. 2025 14:13"
"Uploading and managing documents in a DMS folder with a template @high @middle @low","Creates a new DMS folder using a predefined template","passed",16290,"2025-08-19T12:13:55.320Z","19. 08. 2025 14:13"
"Uploading and managing documents in a DMS folder with a template @high @middle @low","Uploads the first file into the created folder","passed",3976,"2025-08-19T12:13:59.540Z","19. 08. 2025 14:13"
"Uploading and managing documents in a DMS folder with a template @high @middle @low","Verifies that the first file upload is recorded in the history log","passed",635,"2025-08-19T12:14:00.304Z","19. 08. 2025 14:14"
"Uploading and managing documents in a DMS folder with a template @high @middle @low","Downloads the first uploaded file and validates its content","passed",6364,"2025-08-19T12:14:06.703Z","19. 08. 2025 14:14"
"Uploading and managing documents in a DMS folder with a template @high @middle @low","Uploads a second file with a different name into the same folder","passed",4029,"2025-08-19T12:14:10.838Z","19. 08. 2025 14:14"
"Uploading and managing documents in a DMS folder with a template @high @middle @low","Verifies that the second file upload is recorded in the history log","passed",494,"2025-08-19T12:14:11.469Z","19. 08. 2025 14:14"
"Uploading and managing documents in a DMS folder with a template @high @middle @low","Downloads the second uploaded file and checks the content","passed",6632,"2025-08-19T12:14:18.130Z","19. 08. 2025 14:14"
"Uploading and managing documents in a DMS folder with a template @high @middle @low","Uploads a third file (same file name as the first upload)","passed",7468,"2025-08-19T12:14:25.873Z","19. 08. 2025 14:14"
"Uploading and managing documents in a DMS folder with a template @high @middle @low","Verifies that the third file upload is recorded in the history log","passed",731,"2025-08-19T12:14:26.861Z","19. 08. 2025 14:14"
"Uploading and managing documents in a DMS folder with a template @high @middle @low","Downloads the third uploaded file and checks the content","passed",8563,"2025-08-19T12:14:35.503Z","19. 08. 2025 14:14"
"Uploading and managing documents in a DMS folder with a template @high @middle @low","Deletes the created folder with template","passed",4166,"2025-08-19T12:14:39.838Z","19. 08. 2025 14:14"
"Uploading and managing documents in a DMS folder with a template @high @middle @low","Verifies that folder deletion is recorded in the history log","passed",583,"2025-08-19T12:14:40.558Z","19. 08. 2025 14:14"
"Uploading a file and moving a created folder without template @high @middle @low","Creates a new folder without template","passed",10549,"2025-08-19T12:14:54.118Z","19. 08. 2025 14:14"
"Uploading a file and moving a created folder without template @high @middle @low","Uploads the first file into the created folder","passed",3358,"2025-08-19T12:14:57.600Z","19. 08. 2025 14:14"
"Uploading a file and moving a created folder without template @high @middle @low","Verifies that the file upload is recorded in the history log","passed",588,"2025-08-19T12:14:58.307Z","19. 08. 2025 14:14"
"Uploading a file and moving a created folder without template @high @middle @low","Downloads the uploaded file and checks content","passed",7031,"2025-08-19T12:15:05.365Z","19. 08. 2025 14:15"
"Uploading a file and moving a created folder without template @high @middle @low","Moves the folder into a subfolder structure in DMS","passed",6033,"2025-08-19T12:15:11.573Z","19. 08. 2025 14:15"
"Uploading a file and moving a created folder without template @high @middle @low","Verifies the folder was successfully moved to the new location","passed",6356,"2025-08-19T12:15:18.626Z","19. 08. 2025 14:15"
"Uploading a file and moving a created folder without template @high @middle @low","Verifies that the uploaded file is still present in the moved folder","passed",5757,"2025-08-19T12:15:24.748Z","19. 08. 2025 14:15"
"Uploading a file and moving a created folder without template @high @middle @low","Verifies that the uploaded file is still downloadable from the new location","passed",10854,"2025-08-19T12:15:35.717Z","19. 08. 2025 14:15"
"Uploading a file and moving a created folder without template @high @middle @low","Deletes the moved folder (non-periodic)","passed",5084,"2025-08-19T12:15:41.011Z","19. 08. 2025 14:15"
"Uploading a file and moving a created folder without template @high @middle @low","Deletes the moved folder (non-periodic)","passed",1909,"2025-08-19T12:15:43.391Z","19. 08. 2025 14:15"
"Uploading a file and moving a created folder without template to location with same folder name @high @middle @low","Create a new folder ""Faktury přijaté"" in the root of DMS without using a template","passed",13360,"2025-08-19T12:15:58.670Z","19. 08. 2025 14:15"
"Uploading a file and moving a created folder without template to location with same folder name @high @middle @low","Upload the first document to the newly created ""Faktury přijaté"" folder","passed",3854,"2025-08-19T12:16:02.890Z","19. 08. 2025 14:16"
"Uploading a file and moving a created folder without template to location with same folder name @high @middle @low","Verify that uploading the first document was recorded in the system history","passed",1294,"2025-08-19T12:16:04.524Z","19. 08. 2025 14:16"
"Uploading a file and moving a created folder without template to location with same folder name @high @middle @low","Download the file from the newly created ""Faktury přijaté"" folder and check content","passed",8014,"2025-08-19T12:16:12.629Z","19. 08. 2025 14:16"
"Uploading a file and moving a created folder without template to location with same folder name @high @middle @low","Upload a file to the original ""Faktury přijaté"" folder with template located under Účetnictví/2025","passed",8472,"2025-08-19T12:16:22.101Z","19. 08. 2025 14:16"
"Uploading a file and moving a created folder without template to location with same folder name @high @middle @low","Upload another file (same name) to the original ""Faktury přijaté"" folder with template under Účetnictví/2025","passed",7294,"2025-08-19T12:16:29.736Z","19. 08. 2025 14:16"
"Uploading a file and moving a created folder without template to location with same folder name @high @middle @low","Download file from the original ""Faktury přijaté"" folder and validate content","passed",9108,"2025-08-19T12:16:39.152Z","19. 08. 2025 14:16"
"Uploading a file and moving a created folder without template to location with same folder name @high @middle @low","Move the newly created ""Faktury přijaté"" folder to Účetnictví/2025 where original folder exists","passed",8111,"2025-08-19T12:16:47.401Z","19. 08. 2025 14:16"
"Uploading a file and moving a created folder without template to location with same folder name @high @middle @low","Verify that the folder was successfully moved and both folders now exist under Účetnictví/2025","passed",4675,"2025-08-19T12:16:52.366Z","19. 08. 2025 14:16"
"Uploading a file and moving a created folder without template to location with same folder name @high @middle @low","Verify that the uploaded file still exists in the newly moved folder with badge 1","passed",5793,"2025-08-19T12:16:58.363Z","19. 08. 2025 14:16"
"Uploading a file and moving a created folder without template to location with same folder name @high @middle @low","Ensure the file in the newly moved folder is still downloadable and valid","passed",9544,"2025-08-19T12:17:08.439Z","19. 08. 2025 14:17"
"Uploading a file and moving a created folder without template to location with same folder name @high @middle @low","Verify that files in the original folder with badge 2 are still present","passed",4947,"2025-08-19T12:17:13.530Z","19. 08. 2025 14:17"
"Uploading a file and moving a created folder without template to location with same folder name @high @middle @low","Download file from the original folder and confirm its content matches the expected file","passed",9415,"2025-08-19T12:17:23.203Z","19. 08. 2025 14:17"
"Uploading a file and moving a created folder without template to location with same folder name @high @middle @low","Delete all files in original folder ""Faktury přijaté"" with badge 2","passed",7629,"2025-08-19T12:17:31.004Z","19. 08. 2025 14:17"
"Uploading a file and moving a created folder without template to location with same folder name @high @middle @low","Delete the moved folder ""Faktury přijaté"" with badge 1","passed",4496,"2025-08-19T12:17:35.630Z","19. 08. 2025 14:17"
"Uploading a file and moving a created folder without template to location with same folder name @high @middle @low","Verify that the folder deletion was properly logged in the system history","passed",532,"2025-08-19T12:17:36.292Z","19. 08. 2025 14:17"
"Uploading a file and moving a created folder with template to location with same folder name @high @middle @low","Create a new folder ""Faktury vystavené"" in the root of DMS without using a template","passed",13814,"2025-08-19T12:17:51.206Z","19. 08. 2025 14:17"
"Uploading a file and moving a created folder with template to location with same folder name @high @middle @low","Upload the first document to the newly created ""Faktury vystavené"" folder","passed",3552,"2025-08-19T12:17:54.885Z","19. 08. 2025 14:17"
"Uploading a file and moving a created folder with template to location with same folder name @high @middle @low","Verify that uploading the first document was recorded in the system history","passed",545,"2025-08-19T12:17:55.549Z","19. 08. 2025 14:17"
