"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17308","Create folder with template","","Sun Jun 29 12:14:26 CEST 2025","passed","Sun Jun 29 12:14:43 CEST 2025","","Delete folder and file in trash with template @high @middle @low","",""
"","5511","Deletes the created folder without template","","Sun Jun 29 12:10:29 CEST 2025","passed","Sun Jun 29 12:10:34 CEST 2025","","Delete folder with template without file @high @middle @low","",""
"","3541","Delete file in trash","","Sun Jun 29 12:13:18 CEST 2025","passed","Sun Jun 29 12:13:22 CEST 2025","","Delete file in trash with template @high @middle @low","",""
"","8203","Downloads the first uploaded file and checks its contents","","Sun Jun 29 12:14:57 CEST 2025","passed","Sun Jun 29 12:15:05 CEST 2025","","Delete folder and file in trash with template @high @middle @low","",""
"","4125","Delete folder and file in trash","","Sun Jun 29 12:15:19 CEST 2025","passed","Sun Jun 29 12:15:23 CEST 2025","","Delete folder and file in trash with template @high @middle @low","",""
"","5988","Send invitation to the user","","Sun Jun 29 12:08:37 CEST 2025","passed","Sun Jun 29 12:08:43 CEST 2025","","Invite user in company @high @middle @low","",""
"","3596","Delete folder in trash","","Sun Jun 29 12:13:28 CEST 2025","passed","Sun Jun 29 12:13:32 CEST 2025","","Delete file in trash with template @high @middle @low","",""
"","6185","Deletes the created file without template","","Sun Jun 29 12:14:08 CEST 2025","passed","Sun Jun 29 12:14:14 CEST 2025","","Delete file and folder together in trash without template @high @middle @low","",""
"","18729","Delete company","","Sun Jun 29 12:15:23 CEST 2025","passed","Sun Jun 29 12:15:42 CEST 2025","","Delete company @high @middle @low","",""
"","16293","Create folder without template","","Sun Jun 29 12:13:33 CEST 2025","passed","Sun Jun 29 12:13:49 CEST 2025","","Delete file and folder together in trash without template @high @middle @low","",""
"","6039","Deletes the created file with template","","Sun Jun 29 12:15:05 CEST 2025","passed","Sun Jun 29 12:15:11 CEST 2025","","Delete folder and file in trash with template @high @middle @low","",""
"","1688","Verifies that created folder is recorded in the history","","Sun Jun 29 12:14:43 CEST 2025","passed","Sun Jun 29 12:14:45 CEST 2025","","Delete folder and file in trash with template @high @middle @low","",""
"","6892","Accept invitation","","Sun Jun 29 12:08:43 CEST 2025","passed","Sun Jun 29 12:08:50 CEST 2025","","Invite user in company @high @middle @low","",""
"","5142","Delete created folder","","Sun Jun 29 12:15:12 CEST 2025","passed","Sun Jun 29 12:15:18 CEST 2025","","Delete folder and file in trash with template @high @middle @low","",""
"","13821","Registration company","","Sun Jun 29 12:08:16 CEST 2025","passed","Sun Jun 29 12:08:30 CEST 2025","","Registration test company @high @middle @low","",""
"","1187","Verifies that the upload of the first file is recorded in the history","","Sun Jun 29 12:09:47 CEST 2025","passed","Sun Jun 29 12:09:48 CEST 2025","","Delete folder without template with file @high @middle @low","",""
"","10765","Uploads the first file into the created folder","","Sun Jun 29 12:14:45 CEST 2025","failed","Sun Jun 29 12:14:56 CEST 2025","","Delete folder and file in trash with template @high @middle @low","",""
"","978","Verifies that file deletion is recorded in the change history","","Sun Jun 29 12:15:11 CEST 2025","passed","Sun Jun 29 12:15:12 CEST 2025","","Delete folder and file in trash with template @high @middle @low","",""
"","14783","Repeatedly checks and deletes companies until none remain","","Sun Jun 29 12:08:01 CEST 2025","passed","Sun Jun 29 12:08:16 CEST 2025","","Registration test company @high @middle @low","",""
"","3837","Delete created folder in trash","","Sun Jun 29 12:11:26 CEST 2025","passed","Sun Jun 29 12:11:30 CEST 2025","","Delete folder with file and with template @high @middle @low","",""
"","1395","Verifies that folder creation is recorded in the change history","","Sun Jun 29 12:09:08 CEST 2025","passed","Sun Jun 29 12:09:09 CEST 2025","","Delete folder in trash @high @middle @low","",""
"","4360","Deletes the created folder with template","","Sun Jun 29 12:11:21 CEST 2025","passed","Sun Jun 29 12:11:25 CEST 2025","","Delete folder with file and with template @high @middle @low","",""
"","908","Verifies that folder deletion is recorded in the change history","","Sun Jun 29 12:15:18 CEST 2025","passed","Sun Jun 29 12:15:18 CEST 2025","","Delete folder and file in trash with template @high @middle @low","",""
