"describe","test","status","duration","timestamp","timestampLocal"
"Registration test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",15507,"2025-06-30T12:53:43.664Z","30. 06. 2025 14:53"
"Registration test company @high @middle @low","Registration company","passed",12273,"2025-06-30T12:53:55.969Z","30. 06. 2025 14:53"
"Invite user in company @high @middle @low","Send invitation to the user","passed",12430,"2025-06-30T12:54:09.222Z","30. 06. 2025 14:54"
"Invite user in company @high @middle @low","Accept invitation","passed",7032,"2025-06-30T12:54:16.285Z","30. 06. 2025 14:54"
"Delete folder in trash @high @middle @low","Create folder without template","passed",16833,"2025-06-30T12:54:34.022Z","30. 06. 2025 14:54"
"Delete folder in trash @high @middle @low","Verifies that folder creation is recorded in the change history","passed",1523,"2025-06-30T12:54:35.625Z","30. 06. 2025 14:54"
"Delete folder in trash @high @middle @low","Deletes the created folder without template","passed",5036,"2025-06-30T12:54:40.720Z","30. 06. 2025 14:54"
"Delete folder in trash @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",1140,"2025-06-30T12:54:41.934Z","30. 06. 2025 14:54"
"Delete folder in trash @high @middle @low","Delete created folder in trash","passed",3681,"2025-06-30T12:54:45.673Z","30. 06. 2025 14:54"
"Delete folder without template with file @high @middle @low","Create folder without template","passed",16537,"2025-06-30T12:55:03.131Z","30. 06. 2025 14:55"
"Delete folder without template with file @high @middle @low","Verifies that created folder is recorded in the history","passed",1643,"2025-06-30T12:55:04.896Z","30. 06. 2025 14:55"
"Delete folder without template with file @high @middle @low","Uploads the first file into the created folder","passed",7885,"2025-06-30T12:55:12.821Z","30. 06. 2025 14:55"
"Delete folder without template with file @high @middle @low","Verifies that the upload of the first file is recorded in the history","passed",868,"2025-06-30T12:55:13.780Z","30. 06. 2025 14:55"
"Delete folder without template with file @high @middle @low","Downloads the first uploaded file and checks its contents","passed",9491,"2025-06-30T12:55:23.285Z","30. 06. 2025 14:55"
"Delete folder without template with file @high @middle @low","Deletes the created folder without template","passed",4544,"2025-06-30T12:55:27.888Z","30. 06. 2025 14:55"
"Delete folder without template with file @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",1296,"2025-06-30T12:55:29.281Z","30. 06. 2025 14:55"
"Delete folder without template with file @high @middle @low","Delete created folder in trash","passed",3479,"2025-06-30T12:55:32.819Z","30. 06. 2025 14:55"
"Delete folder with template without file @high @middle @low","Create folder with template","passed",17349,"2025-06-30T12:55:51.138Z","30. 06. 2025 14:55"
"Delete folder with template without file @high @middle @low","Verifies that created folder is recorded in the history","passed",1539,"2025-06-30T12:55:52.775Z","30. 06. 2025 14:55"
"Delete folder with template without file @high @middle @low","Deletes the created folder without template","passed",5006,"2025-06-30T12:55:57.811Z","30. 06. 2025 14:55"
"Delete folder with template without file @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",922,"2025-06-30T12:55:58.807Z","30. 06. 2025 14:55"
"Delete folder with template without file @high @middle @low","Delete created folder in trash","passed",3979,"2025-06-30T12:56:02.824Z","30. 06. 2025 14:56"
"Delete folder with file and with template @high @middle @low","Create folder with template","passed",17510,"2025-06-30T12:56:21.277Z","30. 06. 2025 14:56"
"Delete folder with file and with template @high @middle @low","Verifies that created folder is recorded in the history","passed",1377,"2025-06-30T12:56:22.754Z","30. 06. 2025 14:56"
"Delete folder with file and with template @high @middle @low","Uploads the first file into the created folder","passed",7790,"2025-06-30T12:56:30.585Z","30. 06. 2025 14:56"
"Delete folder with file and with template @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",874,"2025-06-30T12:56:31.538Z","30. 06. 2025 14:56"
"Delete folder with file and with template @high @middle @low","Downloads the first uploaded file and checks its contents","passed",8907,"2025-06-30T12:56:40.460Z","30. 06. 2025 14:56"
"Delete folder with file and with template @high @middle @low","Deletes the created folder with template","passed",3822,"2025-06-30T12:56:44.354Z","30. 06. 2025 14:56"
"Delete folder with file and with template @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",1487,"2025-06-30T12:56:45.933Z","30. 06. 2025 14:56"
"Delete folder with file and with template @high @middle @low","Delete created folder in trash","passed",3381,"2025-06-30T12:56:49.367Z","30. 06. 2025 14:56"
"Delete file in trash without template @high @middle @low","Create folder without template","passed",17146,"2025-06-30T12:57:07.440Z","30. 06. 2025 14:57"
"Delete file in trash without template @high @middle @low","Verifies that created folder is recorded in the history","passed",1516,"2025-06-30T12:57:09.051Z","30. 06. 2025 14:57"
"Delete file in trash without template @high @middle @low","Uploads the first file into the created folder","passed",6620,"2025-06-30T12:57:15.707Z","30. 06. 2025 14:57"
"Delete file in trash without template @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",1118,"2025-06-30T12:57:16.912Z","30. 06. 2025 14:57"
"Delete file in trash without template @high @middle @low","Downloads the first uploaded file and checks its contents","passed",8861,"2025-06-30T12:57:25.797Z","30. 06. 2025 14:57"
"Delete file in trash without template @high @middle @low","Deletes the created file with template","passed",6359,"2025-06-30T12:57:32.217Z","30. 06. 2025 14:57"
"Delete file in trash without template @high @middle @low","Verifies that file deletion is recorded in the change history","passed",823,"2025-06-30T12:57:33.121Z","30. 06. 2025 14:57"
"Delete file in trash without template @high @middle @low","Delete file in trash","passed",4094,"2025-06-30T12:57:37.251Z","30. 06. 2025 14:57"
"Delete file in trash without template @high @middle @low","Delete created folder","passed",5523,"2025-06-30T12:57:42.806Z","30. 06. 2025 14:57"
"Delete file in trash without template @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",1002,"2025-06-30T12:57:43.894Z","30. 06. 2025 14:57"
"Delete file in trash without template @high @middle @low","Delete folder in trash","passed",4194,"2025-06-30T12:57:48.127Z","30. 06. 2025 14:57"
"Delete file in trash with template @high @middle @low","Create folder with template","passed",17009,"2025-06-30T12:58:06.082Z","30. 06. 2025 14:58"
"Delete file in trash with template @high @middle @low","Verifies that created folder is recorded in the history","passed",1976,"2025-06-30T12:58:08.175Z","30. 06. 2025 14:58"
"Delete file in trash with template @high @middle @low","Uploads the first file into the created folder","passed",7921,"2025-06-30T12:58:16.143Z","30. 06. 2025 14:58"
"Delete file in trash with template @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",1130,"2025-06-30T12:58:17.365Z","30. 06. 2025 14:58"
"Delete file in trash with template @high @middle @low","Downloads the first uploaded file and checks its contents","passed",8680,"2025-06-30T12:58:26.072Z","30. 06. 2025 14:58"
"Delete file in trash with template @high @middle @low","Deletes the created file with template","passed",6435,"2025-06-30T12:58:32.566Z","30. 06. 2025 14:58"
"Delete file in trash with template @high @middle @low","Verifies that file deletion is recorded in the change history","passed",968,"2025-06-30T12:58:33.622Z","30. 06. 2025 14:58"
"Delete file in trash with template @high @middle @low","Delete file in trash","passed",3941,"2025-06-30T12:58:37.608Z","30. 06. 2025 14:58"
"Delete file in trash with template @high @middle @low","Delete created folder","passed",5593,"2025-06-30T12:58:43.236Z","30. 06. 2025 14:58"
"Delete file in trash with template @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",857,"2025-06-30T12:58:44.170Z","30. 06. 2025 14:58"
"Delete file in trash with template @high @middle @low","Delete folder in trash","passed",3635,"2025-06-30T12:58:47.841Z","30. 06. 2025 14:58"
"Delete file and folder together in trash without template @high @middle @low","Create folder without template","passed",15335,"2025-06-30T12:59:04.084Z","30. 06. 2025 14:59"
"Delete file and folder together in trash without template @high @middle @low","Verifies that created folder is recorded in the history","passed",1679,"2025-06-30T12:59:05.832Z","30. 06. 2025 14:59"
"Delete file and folder together in trash without template @high @middle @low","Uploads the first file into the created folder","passed",7824,"2025-06-30T12:59:13.699Z","30. 06. 2025 14:59"
"Delete file and folder together in trash without template @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",892,"2025-06-30T12:59:14.671Z","30. 06. 2025 14:59"
"Delete file and folder together in trash without template @high @middle @low","Downloads the first uploaded file and checks its contents","passed",8809,"2025-06-30T12:59:23.495Z","30. 06. 2025 14:59"
"Delete file and folder together in trash without template @high @middle @low","Deletes the created file without template","passed",6498,"2025-06-30T12:59:30.055Z","30. 06. 2025 14:59"
"Delete file and folder together in trash without template @high @middle @low","Verifies that file deletion is recorded in the change history","passed",861,"2025-06-30T12:59:30.998Z","30. 06. 2025 14:59"
"Delete file and folder together in trash without template @high @middle @low","Delete created folder","passed",4865,"2025-06-30T12:59:35.892Z","30. 06. 2025 14:59"
"Delete file and folder together in trash without template @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",900,"2025-06-30T12:59:36.871Z","30. 06. 2025 14:59"
"Delete file and folder together in trash without template @high @middle @low","Delete folder and file in trash","passed",3598,"2025-06-30T12:59:40.510Z","30. 06. 2025 14:59"
"Delete folder and file in trash with template @high @middle @low","Create folder with template","passed",16393,"2025-06-30T12:59:57.815Z","30. 06. 2025 14:59"
"Delete folder and file in trash with template @high @middle @low","Verifies that created folder is recorded in the history","passed",1478,"2025-06-30T12:59:59.396Z","30. 06. 2025 14:59"
"Delete folder and file in trash with template @high @middle @low","Uploads the first file into the created folder","passed",9903,"2025-06-30T13:00:09.335Z","30. 06. 2025 15:00"
"Delete folder and file in trash with template @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",1180,"2025-06-30T13:00:10.598Z","30. 06. 2025 15:00"
"Delete folder and file in trash with template @high @middle @low","Downloads the first uploaded file and checks its contents","passed",9549,"2025-06-30T13:00:20.169Z","30. 06. 2025 15:00"
"Delete folder and file in trash with template @high @middle @low","Deletes the created file with template","passed",7011,"2025-06-30T13:00:27.243Z","30. 06. 2025 15:00"
"Delete folder and file in trash with template @high @middle @low","Verifies that file deletion is recorded in the change history","passed",892,"2025-06-30T13:00:28.223Z","30. 06. 2025 15:00"
"Delete folder and file in trash with template @high @middle @low","Delete created folder","passed",5126,"2025-06-30T13:00:33.377Z","30. 06. 2025 15:00"
"Delete folder and file in trash with template @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",863,"2025-06-30T13:00:34.344Z","30. 06. 2025 15:00"
"Delete folder and file in trash with template @high @middle @low","Delete folder and file in trash","passed",3504,"2025-06-30T13:00:37.894Z","30. 06. 2025 15:00"
"Delete company @high @middle @low","Delete company","passed",18734,"2025-06-30T13:00:57.456Z","30. 06. 2025 15:00"
