# Spuštění a vyhodnocení testů po Binově sprintu S165 vylepšení 34 - GAMA
"describe","test","status","duration","timestamp","timestampLocal"
"Registration test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",10230,"2025-08-25T10:07:01.305Z","25. 08. 2025 12:07"
"Registration test company @high @middle @low","Registration company","passed",11924,"2025-08-25T10:07:13.276Z","25. 08. 2025 12:07"
"Delete folder in trash @high @middle @low","Create folder without template","passed",15057,"2025-08-25T10:07:29.186Z","25. 08. 2025 12:07"
"Delete folder in trash @high @middle @low","Verifies that folder creation is recorded in the change history","passed",814,"2025-08-25T10:07:30.074Z","25. 08. 2025 12:07"
"Delete folder in trash @high @middle @low","Deletes the created folder without template","passed",3896,"2025-08-25T10:07:34.010Z","25. 08. 2025 12:07"
"Delete folder in trash @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",617,"2025-08-25T10:07:34.723Z","25. 08. 2025 12:07"
"Delete folder in trash @high @middle @low","Delete created folder in trash","passed",2569,"2025-08-25T10:07:37.365Z","25. 08. 2025 12:07"
"Delete folder without template with file @high @middle @low","Create folder without template","passed",12339,"2025-08-25T10:07:50.701Z","25. 08. 2025 12:07"
"Delete folder without template with file @high @middle @low","Verifies that created folder is recorded in the history","passed",919,"2025-08-25T10:07:51.705Z","25. 08. 2025 12:07"
"Delete folder without template with file @high @middle @low","Uploads the first file into the created folder","passed",4960,"2025-08-25T10:07:56.711Z","25. 08. 2025 12:07"
"Delete folder without template with file @high @middle @low","Verifies that the upload of the first file is recorded in the history","passed",642,"2025-08-25T10:07:57.452Z","25. 08. 2025 12:07"
"Delete folder without template with file @high @middle @low","Downloads the first uploaded file and checks its contents","passed",9046,"2025-08-25T10:08:06.548Z","25. 08. 2025 12:08"
"Delete folder without template with file @high @middle @low","Deletes the created folder without template","passed",3358,"2025-08-25T10:08:10.118Z","25. 08. 2025 12:08"
"Delete folder without template with file @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",685,"2025-08-25T10:08:11.070Z","25. 08. 2025 12:08"
"Delete folder without template with file @high @middle @low","Delete created folder in trash","passed",3042,"2025-08-25T10:08:14.324Z","25. 08. 2025 12:08"
"Delete folder with template without file @high @middle @low","Create folder with template","passed",17892,"2025-08-25T10:08:33.949Z","25. 08. 2025 12:08"
"Delete folder with template without file @high @middle @low","Verifies that created folder is recorded in the history","passed",802,"2025-08-25T10:08:35.026Z","25. 08. 2025 12:08"
"Delete folder with template without file @high @middle @low","Deletes the created folder without template","passed",4067,"2025-08-25T10:08:39.191Z","25. 08. 2025 12:08"
"Delete folder with template without file @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",785,"2025-08-25T10:08:40.211Z","25. 08. 2025 12:08"
"Delete folder with template without file @high @middle @low","Delete created folder in trash","passed",2661,"2025-08-25T10:08:42.980Z","25. 08. 2025 12:08"
"Delete folder with file and with template @high @middle @low","Create folder with template","passed",15981,"2025-08-25T10:09:00.297Z","25. 08. 2025 12:09"
"Delete folder with file and with template @high @middle @low","Verifies that created folder is recorded in the history","passed",584,"2025-08-25T10:09:01.134Z","25. 08. 2025 12:09"
"Delete folder with file and with template @high @middle @low","Uploads the first file into the created folder","passed",5915,"2025-08-25T10:09:07.096Z","25. 08. 2025 12:09"
"Delete folder with file and with template @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",752,"2025-08-25T10:09:07.950Z","25. 08. 2025 12:09"
"Delete folder with file and with template @high @middle @low","Downloads the first uploaded file and checks its contents","passed",8723,"2025-08-25T10:09:16.708Z","25. 08. 2025 12:09"
"Delete folder with file and with template @high @middle @low","Deletes the created folder with template","passed",3220,"2025-08-25T10:09:20.036Z","25. 08. 2025 12:09"
"Delete folder with file and with template @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",1067,"2025-08-25T10:09:21.313Z","25. 08. 2025 12:09"
"Delete folder with file and with template @high @middle @low","Delete created folder in trash","passed",2986,"2025-08-25T10:09:24.428Z","25. 08. 2025 12:09"
"Delete file in trash without template @high @middle @low","Create folder without template","passed",14118,"2025-08-25T10:09:40.176Z","25. 08. 2025 12:09"
"Delete file in trash without template @high @middle @low","Verifies that created folder is recorded in the history","passed",661,"2025-08-25T10:09:40.994Z","25. 08. 2025 12:09"
"Delete file in trash without template @high @middle @low","Uploads the first file into the created folder","passed",4848,"2025-08-25T10:09:45.900Z","25. 08. 2025 12:09"
"Delete file in trash without template @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",654,"2025-08-25T10:09:46.861Z","25. 08. 2025 12:09"
"Delete file in trash without template @high @middle @low","Downloads the first uploaded file and checks its contents","passed",7802,"2025-08-25T10:09:54.689Z","25. 08. 2025 12:09"
"Delete file in trash without template @high @middle @low","Deletes the created file with template","passed",4308,"2025-08-25T10:09:59.091Z","25. 08. 2025 12:09"
"Delete file in trash without template @high @middle @low","Verifies that file deletion is recorded in the change history","passed",588,"2025-08-25T10:09:59.775Z","25. 08. 2025 12:09"
"Delete file in trash without template @high @middle @low","Delete file in trash","passed",4340,"2025-08-25T10:10:04.241Z","25. 08. 2025 12:10"
"Delete file in trash without template @high @middle @low","Delete created folder","passed",3503,"2025-08-25T10:10:08.029Z","25. 08. 2025 12:10"
"Delete file in trash without template @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",726,"2025-08-25T10:10:08.916Z","25. 08. 2025 12:10"
"Delete file in trash without template @high @middle @low","Delete folder in trash","passed",2496,"2025-08-25T10:10:11.504Z","25. 08. 2025 12:10"
"Delete file in trash with template @high @middle @low","Create folder with template","passed",16762,"2025-08-25T10:10:30.642Z","25. 08. 2025 12:10"
"Delete file in trash with template @high @middle @low","Verifies that created folder is recorded in the history","passed",574,"2025-08-25T10:10:31.457Z","25. 08. 2025 12:10"
"Delete file in trash with template @high @middle @low","Uploads the first file into the created folder","passed",6181,"2025-08-25T10:10:37.703Z","25. 08. 2025 12:10"
"Delete file in trash with template @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",2200,"2025-08-25T10:10:40.240Z","25. 08. 2025 12:10"
"Delete file in trash with template @high @middle @low","Downloads the first uploaded file and checks its contents","passed",7369,"2025-08-25T10:10:47.697Z","25. 08. 2025 12:10"
"Delete file in trash with template @high @middle @low","Deletes the created file with template","passed",4928,"2025-08-25T10:10:52.746Z","25. 08. 2025 12:10"
"Delete file in trash with template @high @middle @low","Verifies that file deletion is recorded in the change history","passed",753,"2025-08-25T10:10:53.926Z","25. 08. 2025 12:10"
"Delete file in trash with template @high @middle @low","Delete file in trash","passed",3670,"2025-08-25T10:10:57.770Z","25. 08. 2025 12:10"
"Delete file in trash with template @high @middle @low","Delete created folder","passed",4050,"2025-08-25T10:11:01.934Z","25. 08. 2025 12:11"
"Delete file in trash with template @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",664,"2025-08-25T10:11:02.745Z","25. 08. 2025 12:11"
"Delete file in trash with template @high @middle @low","Delete folder in trash","passed",2797,"2025-08-25T10:11:05.624Z","25. 08. 2025 12:11"
"Delete file and folder together in trash without template @high @middle @low","Create folder without template","passed",16429,"2025-08-25T10:11:23.620Z","25. 08. 2025 12:11"
"Delete file and folder together in trash without template @high @middle @low","Verifies that created folder is recorded in the history","passed",877,"2025-08-25T10:11:24.776Z","25. 08. 2025 12:11"
"Delete file and folder together in trash without template @high @middle @low","Uploads the first file into the created folder","passed",5796,"2025-08-25T10:11:30.736Z","25. 08. 2025 12:11"
"Delete file and folder together in trash without template @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",1100,"2025-08-25T10:11:32.243Z","25. 08. 2025 12:11"
"Delete file and folder together in trash without template @high @middle @low","Downloads the first uploaded file and checks its contents","passed",9906,"2025-08-25T10:11:42.211Z","25. 08. 2025 12:11"
"Delete file and folder together in trash without template @high @middle @low","Deletes the created file without template","passed",5759,"2025-08-25T10:11:48.193Z","25. 08. 2025 12:11"
"Delete file and folder together in trash without template @high @middle @low","Verifies that file deletion is recorded in the change history","passed",1015,"2025-08-25T10:11:49.446Z","25. 08. 2025 12:11"
"Delete file and folder together in trash without template @high @middle @low","Delete created folder","passed",4506,"2025-08-25T10:11:54.036Z","25. 08. 2025 12:11"
"Delete file and folder together in trash without template @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",823,"2025-08-25T10:11:55.097Z","25. 08. 2025 12:11"
"Delete file and folder together in trash without template @high @middle @low","Delete folder and file in trash","passed",2984,"2025-08-25T10:11:58.153Z","25. 08. 2025 12:11"
"Delete folder and file in trash with template @high @middle @low","Create folder with template","passed",20125,"2025-08-25T10:12:20.367Z","25. 08. 2025 12:12"
"Delete folder and file in trash with template @high @middle @low","Verifies that created folder is recorded in the history","passed",1018,"2025-08-25T10:12:21.940Z","25. 08. 2025 12:12"
"Delete folder and file in trash with template @high @middle @low","Uploads the first file into the created folder","passed",6881,"2025-08-25T10:12:28.916Z","25. 08. 2025 12:12"
"Delete folder and file in trash with template @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",985,"2025-08-25T10:12:30.092Z","25. 08. 2025 12:12"
"Delete folder and file in trash with template @high @middle @low","Downloads the first uploaded file and checks its contents","passed",8262,"2025-08-25T10:12:38.412Z","25. 08. 2025 12:12"
"Delete folder and file in trash with template @high @middle @low","Deletes the created file with template","passed",6255,"2025-08-25T10:12:44.993Z","25. 08. 2025 12:12"
"Delete folder and file in trash with template @high @middle @low","Verifies that file deletion is recorded in the change history","passed",1147,"2025-08-25T10:12:46.471Z","25. 08. 2025 12:12"
"Delete folder and file in trash with template @high @middle @low","Delete created folder","passed",6972,"2025-08-25T10:12:53.623Z","25. 08. 2025 12:12"
"Delete folder and file in trash with template @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",1467,"2025-08-25T10:12:55.697Z","25. 08. 2025 12:12"
