# Spuštění testů na DMS BETA
"describe","test","status","duration","timestamp","timestampLocal"
"Registration test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",11252,"2025-09-03T09:32:15.383Z","03. 09. 2025 11:32"
"Registration test company @high @middle @low","Registration company","passed",11705,"2025-09-03T09:32:27.162Z","03. 09. 2025 11:32"
"Delete folder in trash @high @middle @low","Create folder without template","passed",13379,"2025-09-03T09:32:41.404Z","03. 09. 2025 11:32"
"Delete folder in trash @high @middle @low","Verifies that folder creation is recorded in the change history","passed",1124,"2025-09-03T09:32:42.654Z","03. 09. 2025 11:32"
"Delete folder in trash @high @middle @low","Deletes the created folder without template","passed",4202,"2025-09-03T09:32:46.915Z","03. 09. 2025 11:32"
"Delete folder in trash @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",986,"2025-09-03T09:32:47.972Z","03. 09. 2025 11:32"
"Delete folder in trash @high @middle @low","Delete created folder in trash","passed",2788,"2025-09-03T09:32:50.813Z","03. 09. 2025 11:32"
"Delete folder without template with file @high @middle @low","Create folder without template","passed",13873,"2025-09-03T09:33:05.727Z","03. 09. 2025 11:33"
"Delete folder without template with file @high @middle @low","Verifies that created folder is recorded in the history","passed",763,"2025-09-03T09:33:06.584Z","03. 09. 2025 11:33"
"Delete folder without template with file @high @middle @low","Uploads the first file into the created folder","passed",4723,"2025-09-03T09:33:11.380Z","03. 09. 2025 11:33"
"Delete folder without template with file @high @middle @low","Verifies that the upload of the first file is recorded in the history","passed",722,"2025-09-03T09:33:12.266Z","03. 09. 2025 11:33"
"Delete folder without template with file @high @middle @low","Downloads the first uploaded file and checks its contents","passed",7914,"2025-09-03T09:33:20.228Z","03. 09. 2025 11:33"
"Delete folder without template with file @high @middle @low","Deletes the created folder without template","passed",3123,"2025-09-03T09:33:23.525Z","03. 09. 2025 11:33"
"Delete folder without template with file @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",724,"2025-09-03T09:33:24.348Z","03. 09. 2025 11:33"
"Delete folder without template with file @high @middle @low","Delete created folder in trash","passed",2721,"2025-09-03T09:33:27.138Z","03. 09. 2025 11:33"
"Delete folder with template without file @high @middle @low","Create folder with template","passed",13793,"2025-09-03T09:33:42.868Z","03. 09. 2025 11:33"
"Delete folder with template without file @high @middle @low","Verifies that created folder is recorded in the history","passed",738,"2025-09-03T09:33:43.885Z","03. 09. 2025 11:33"
"Delete folder with template without file @high @middle @low","Deletes the created folder without template","passed",3995,"2025-09-03T09:33:47.967Z","03. 09. 2025 11:33"
"Delete folder with template without file @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",1089,"2025-09-03T09:33:49.373Z","03. 09. 2025 11:33"
"Delete folder with template without file @high @middle @low","Delete created folder in trash","passed",2622,"2025-09-03T09:33:52.167Z","03. 09. 2025 11:33"
"Delete folder with file and with template @high @middle @low","Create folder with template","passed",15299,"2025-09-03T09:34:09.039Z","03. 09. 2025 11:34"
"Delete folder with file and with template @high @middle @low","Verifies that created folder is recorded in the history","passed",661,"2025-09-03T09:34:09.923Z","03. 09. 2025 11:34"
"Delete folder with file and with template @high @middle @low","Uploads the first file into the created folder","passed",5319,"2025-09-03T09:34:15.315Z","03. 09. 2025 11:34"
"Delete folder with file and with template @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",708,"2025-09-03T09:34:16.244Z","03. 09. 2025 11:34"
"Delete folder with file and with template @high @middle @low","Downloads the first uploaded file and checks its contents","passed",11347,"2025-09-03T09:34:27.646Z","03. 09. 2025 11:34"
"Delete folder with file and with template @high @middle @low","Deletes the created folder with template","passed",3865,"2025-09-03T09:34:31.703Z","03. 09. 2025 11:34"
"Delete folder with file and with template @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",1345,"2025-09-03T09:34:33.307Z","03. 09. 2025 11:34"
"Delete folder with file and with template @high @middle @low","Delete created folder in trash","passed",2769,"2025-09-03T09:34:36.317Z","03. 09. 2025 11:34"
"Delete file in trash without template @high @middle @low","Create folder without template","passed",19226,"2025-09-03T09:34:57.743Z","03. 09. 2025 11:34"
"Delete file in trash without template @high @middle @low","Verifies that created folder is recorded in the history","passed",1147,"2025-09-03T09:34:59.533Z","03. 09. 2025 11:34"
"Delete file in trash without template @high @middle @low","Uploads the first file into the created folder","passed",7079,"2025-09-03T09:35:06.915Z","03. 09. 2025 11:35"
"Delete file in trash without template @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",952,"2025-09-03T09:35:08.355Z","03. 09. 2025 11:35"
"Delete file in trash without template @high @middle @low","Downloads the first uploaded file and checks its contents","passed",9333,"2025-09-03T09:35:17.957Z","03. 09. 2025 11:35"
"Delete file in trash without template @high @middle @low","Deletes the created file with template","passed",6644,"2025-09-03T09:35:24.846Z","03. 09. 2025 11:35"
"Delete file in trash without template @high @middle @low","Verifies that file deletion is recorded in the change history","passed",2243,"2025-09-03T09:35:27.874Z","03. 09. 2025 11:35"
"Delete file in trash without template @high @middle @low","Delete file in trash","passed",3538,"2025-09-03T09:35:31.769Z","03. 09. 2025 11:35"
"Delete file in trash without template @high @middle @low","Delete created folder","passed",7585,"2025-09-03T09:35:39.591Z","03. 09. 2025 11:35"
"Delete file in trash without template @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",1500,"2025-09-03T09:35:41.745Z","03. 09. 2025 11:35"
