# Rutinní pondělní spuštění E2E testů.
"describe","test","status","duration","timestamp","timestampLocal"
"Registration test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",11527,"2025-09-08T05:52:23.835Z","08. 09. 2025 07:52"
"Registration test company @high @middle @low","Registration company","passed",15633,"2025-09-08T05:52:39.530Z","08. 09. 2025 07:52"
"Delete folder in trash @high @middle @low","Create folder without template","passed",13938,"2025-09-08T05:52:54.674Z","08. 09. 2025 07:52"
"Delete folder in trash @high @middle @low","Verifies that folder creation is recorded in the change history","passed",733,"2025-09-08T05:52:55.527Z","08. 09. 2025 07:52"
"Delete folder in trash @high @middle @low","Deletes the created folder without template","passed",3815,"2025-09-08T05:52:59.378Z","08. 09. 2025 07:52"
"Delete folder in trash @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",759,"2025-09-08T05:53:00.407Z","08. 09. 2025 07:53"
"Delete folder in trash @high @middle @low","Delete created folder in trash","passed",2868,"2025-09-08T05:53:03.369Z","08. 09. 2025 07:53"
"Delete folder without template with file @high @middle @low","Create folder without template","passed",13882,"2025-09-08T05:53:18.596Z","08. 09. 2025 07:53"
"Delete folder without template with file @high @middle @low","Verifies that created folder is recorded in the history","passed",697,"2025-09-08T05:53:19.522Z","08. 09. 2025 07:53"
"Delete folder without template with file @high @middle @low","Uploads the first file into the created folder","passed",5435,"2025-09-08T05:53:25.028Z","08. 09. 2025 07:53"
"Delete folder without template with file @high @middle @low","Verifies that the upload of the first file is recorded in the history","passed",703,"2025-09-08T05:53:25.877Z","08. 09. 2025 07:53"
"Delete folder without template with file @high @middle @low","Downloads the first uploaded file and checks its contents","passed",8170,"2025-09-08T05:53:34.080Z","08. 09. 2025 07:53"
"Delete folder without template with file @high @middle @low","Deletes the created folder without template","passed",3250,"2025-09-08T05:53:37.514Z","08. 09. 2025 07:53"
"Delete folder without template with file @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",963,"2025-09-08T05:53:38.821Z","08. 09. 2025 07:53"
"Delete folder without template with file @high @middle @low","Delete created folder in trash","passed",2822,"2025-09-08T05:53:41.756Z","08. 09. 2025 07:53"
"Delete folder with template without file @high @middle @low","Create folder with template","passed",18680,"2025-09-08T05:54:02.756Z","08. 09. 2025 07:54"
"Delete folder with template without file @high @middle @low","Verifies that created folder is recorded in the history","passed",819,"2025-09-08T05:54:03.982Z","08. 09. 2025 07:54"
"Delete folder with template without file @high @middle @low","Deletes the created folder without template","passed",4503,"2025-09-08T05:54:08.557Z","08. 09. 2025 07:54"
"Delete folder with template without file @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",818,"2025-09-08T05:54:09.793Z","08. 09. 2025 07:54"
"Delete folder with template without file @high @middle @low","Delete created folder in trash","passed",3830,"2025-09-08T05:54:13.833Z","08. 09. 2025 07:54"
"Delete folder with file and with template @high @middle @low","Create folder with template","passed",16263,"2025-09-08T05:54:32.146Z","08. 09. 2025 07:54"
"Delete folder with file and with template @high @middle @low","Verifies that created folder is recorded in the history","passed",805,"2025-09-08T05:54:33.095Z","08. 09. 2025 07:54"
"Delete folder with file and with template @high @middle @low","Uploads the first file into the created folder","passed",5354,"2025-09-08T05:54:38.503Z","08. 09. 2025 07:54"
"Delete folder with file and with template @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",634,"2025-09-08T05:54:39.289Z","08. 09. 2025 07:54"
"Delete folder with file and with template @high @middle @low","Downloads the first uploaded file and checks its contents","passed",8394,"2025-09-08T05:54:47.720Z","08. 09. 2025 07:54"
"Delete folder with file and with template @high @middle @low","Deletes the created folder with template","passed",3806,"2025-09-08T05:54:51.752Z","08. 09. 2025 07:54"
