# Otestování po nasazení vylepšení 40
"describe","test","status","duration","timestamp","timestampLocal"
"Registration test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",10085,"2025-09-10T13:51:57.341Z","10. 09. 2025 15:51"
"Registration test company @high @middle @low","Registration company","passed",10179,"2025-09-10T13:52:07.802Z","10. 09. 2025 15:52"
"Delete folder in trash @high @middle @low","Create folder without template","passed",13469,"2025-09-10T13:52:22.234Z","10. 09. 2025 15:52"
"Delete folder in trash @high @middle @low","Verifies that folder creation is recorded in the change history","passed",826,"2025-09-10T13:52:23.187Z","10. 09. 2025 15:52"
"Delete folder in trash @high @middle @low","Deletes the created folder without template","passed",3881,"2025-09-10T13:52:27.115Z","10. 09. 2025 15:52"
"Delete folder in trash @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",711,"2025-09-10T13:52:27.914Z","10. 09. 2025 15:52"
"Delete folder in trash @high @middle @low","Delete created folder in trash","passed",3012,"2025-09-10T13:52:30.988Z","10. 09. 2025 15:52"
"Delete folder without template with file @high @middle @low","Create folder without template","passed",12809,"2025-09-10T13:52:44.755Z","10. 09. 2025 15:52"
"Delete folder without template with file @high @middle @low","Verifies that created folder is recorded in the history","passed",1622,"2025-09-10T13:52:46.484Z","10. 09. 2025 15:52"
"Delete folder without template with file @high @middle @low","Uploads the first file into the created folder","passed",4648,"2025-09-10T13:52:51.190Z","10. 09. 2025 15:52"
"Delete folder without template with file @high @middle @low","Verifies that the upload of the first file is recorded in the history","passed",591,"2025-09-10T13:52:51.890Z","10. 09. 2025 15:52"
"Delete folder without template with file @high @middle @low","Downloads the first uploaded file and checks its contents","passed",7214,"2025-09-10T13:52:59.142Z","10. 09. 2025 15:52"
"Delete folder without template with file @high @middle @low","Deletes the created folder without template","passed",3573,"2025-09-10T13:53:03.074Z","10. 09. 2025 15:53"
"Delete folder without template with file @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",780,"2025-09-10T13:53:03.972Z","10. 09. 2025 15:53"
"Delete folder without template with file @high @middle @low","Delete created folder in trash","passed",4012,"2025-09-10T13:53:08.052Z","10. 09. 2025 15:53"
"Delete folder with template without file @high @middle @low","Create folder with template","passed",17127,"2025-09-10T13:53:26.808Z","10. 09. 2025 15:53"
"Delete folder with template without file @high @middle @low","Verifies that created folder is recorded in the history","passed",1101,"2025-09-10T13:53:28.149Z","10. 09. 2025 15:53"
"Delete folder with template without file @high @middle @low","Deletes the created folder without template","passed",3901,"2025-09-10T13:53:32.147Z","10. 09. 2025 15:53"
"Delete folder with template without file @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",777,"2025-09-10T13:53:33.109Z","10. 09. 2025 15:53"
"Delete folder with template without file @high @middle @low","Delete created folder in trash","passed",2927,"2025-09-10T13:53:36.129Z","10. 09. 2025 15:53"
"Delete folder with file and with template @high @middle @low","Create folder with template","passed",15234,"2025-09-10T13:53:52.612Z","10. 09. 2025 15:53"
"Delete folder with file and with template @high @middle @low","Verifies that created folder is recorded in the history","passed",883,"2025-09-10T13:53:53.662Z","10. 09. 2025 15:53"
"Delete folder with file and with template @high @middle @low","Uploads the first file into the created folder","passed",5487,"2025-09-10T13:53:59.304Z","10. 09. 2025 15:53"
"Delete folder with file and with template @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",758,"2025-09-10T13:54:00.531Z","10. 09. 2025 15:54"
"Delete folder with file and with template @high @middle @low","Downloads the first uploaded file and checks its contents","passed",7632,"2025-09-10T13:54:08.196Z","10. 09. 2025 15:54"
"Delete folder with file and with template @high @middle @low","Deletes the created folder with template","passed",4098,"2025-09-10T13:54:12.436Z","10. 09. 2025 15:54"
"Delete folder with file and with template @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",1387,"2025-09-10T13:54:14.077Z","10. 09. 2025 15:54"
"Delete folder with file and with template @high @middle @low","Delete created folder in trash","passed",2837,"2025-09-10T13:54:17.073Z","10. 09. 2025 15:54"
"Delete file in trash without template @high @middle @low","Create folder without template","passed",14492,"2025-09-10T13:54:33.073Z","10. 09. 2025 15:54"
"Delete file in trash without template @high @middle @low","Verifies that created folder is recorded in the history","passed",722,"2025-09-10T13:54:34.045Z","10. 09. 2025 15:54"
"Delete file in trash without template @high @middle @low","Uploads the first file into the created folder","passed",5152,"2025-09-10T13:54:39.270Z","10. 09. 2025 15:54"
"Delete file in trash without template @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",691,"2025-09-10T13:54:40.065Z","10. 09. 2025 15:54"
"Delete file in trash without template @high @middle @low","Downloads the first uploaded file and checks its contents","passed",8724,"2025-09-10T13:54:48.820Z","10. 09. 2025 15:54"
"Delete file in trash without template @high @middle @low","Deletes the created file with template","passed",4782,"2025-09-10T13:54:53.884Z","10. 09. 2025 15:54"
"Delete file in trash without template @high @middle @low","Verifies that file deletion is recorded in the change history","passed",1065,"2025-09-10T13:54:55.107Z","10. 09. 2025 15:54"
"Delete file in trash without template @high @middle @low","Delete file in trash","passed",3600,"2025-09-10T13:54:58.879Z","10. 09. 2025 15:54"
"Delete file in trash without template @high @middle @low","Delete created folder","passed",4694,"2025-09-10T13:55:03.766Z","10. 09. 2025 15:55"
"Delete file in trash without template @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",619,"2025-09-10T13:55:04.523Z","10. 09. 2025 15:55"
"Delete file in trash without template @high @middle @low","Delete folder in trash","passed",4397,"2025-09-10T13:55:09.480Z","10. 09. 2025 15:55"
"Delete file in trash with template @high @middle @low","Create folder with template","passed",18206,"2025-09-10T13:55:30.047Z","10. 09. 2025 15:55"
"Delete file in trash with template @high @middle @low","Verifies that created folder is recorded in the history","passed",736,"2025-09-10T13:55:30.892Z","10. 09. 2025 15:55"
"Delete file in trash with template @high @middle @low","Uploads the first file into the created folder","passed",5086,"2025-09-10T13:55:36.034Z","10. 09. 2025 15:55"
"Delete file in trash with template @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",605,"2025-09-10T13:55:36.717Z","10. 09. 2025 15:55"
"Delete file in trash with template @high @middle @low","Downloads the first uploaded file and checks its contents","passed",8146,"2025-09-10T13:55:44.890Z","10. 09. 2025 15:55"
"Delete file in trash with template @high @middle @low","Deletes the created file with template","passed",4590,"2025-09-10T13:55:49.814Z","10. 09. 2025 15:55"
"Delete file in trash with template @high @middle @low","Verifies that file deletion is recorded in the change history","passed",605,"2025-09-10T13:55:50.524Z","10. 09. 2025 15:55"
"Delete file in trash with template @high @middle @low","Delete file in trash","passed",3694,"2025-09-10T13:55:54.379Z","10. 09. 2025 15:55"
"Delete file in trash with template @high @middle @low","Delete created folder","passed",3727,"2025-09-10T13:55:58.235Z","10. 09. 2025 15:55"
"Delete file in trash with template @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",630,"2025-09-10T13:55:59.001Z","10. 09. 2025 15:55"
"Delete file in trash with template @high @middle @low","Delete folder in trash","passed",2634,"2025-09-10T13:56:01.706Z","10. 09. 2025 15:56"
"Delete file and folder together in trash without template @high @middle @low","Create folder without template","passed",14562,"2025-09-10T13:56:17.737Z","10. 09. 2025 15:56"
"Delete file and folder together in trash without template @high @middle @low","Verifies that created folder is recorded in the history","passed",867,"2025-09-10T13:56:18.817Z","10. 09. 2025 15:56"
"Delete file and folder together in trash without template @high @middle @low","Uploads the first file into the created folder","passed",5269,"2025-09-10T13:56:24.251Z","10. 09. 2025 15:56"
"Delete file and folder together in trash without template @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",1819,"2025-09-10T13:56:26.546Z","10. 09. 2025 15:56"
"Delete file and folder together in trash without template @high @middle @low","Downloads the first uploaded file and checks its contents","passed",9655,"2025-09-10T13:56:36.325Z","10. 09. 2025 15:56"
"Delete file and folder together in trash without template @high @middle @low","Deletes the created file without template","passed",5360,"2025-09-10T13:56:41.858Z","10. 09. 2025 15:56"
"Delete file and folder together in trash without template @high @middle @low","Verifies that file deletion is recorded in the change history","passed",828,"2025-09-10T13:56:43.055Z","10. 09. 2025 15:56"
"Delete file and folder together in trash without template @high @middle @low","Delete created folder","passed",5655,"2025-09-10T13:56:48.767Z","10. 09. 2025 15:56"
"Delete file and folder together in trash without template @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",1014,"2025-09-10T13:56:50.075Z","10. 09. 2025 15:56"
"Delete file and folder together in trash without template @high @middle @low","Delete folder and file in trash","passed",3098,"2025-09-10T13:56:53.358Z","10. 09. 2025 15:56"
"Delete folder and file in trash with template @high @middle @low","Create folder with template","passed",25537,"2025-09-10T13:57:22.091Z","10. 09. 2025 15:57"
"Delete folder and file in trash with template @high @middle @low","Verifies that created folder is recorded in the history","passed",951,"2025-09-10T13:57:23.403Z","10. 09. 2025 15:57"
"Delete folder and file in trash with template @high @middle @low","Uploads the first file into the created folder","passed",5964,"2025-09-10T13:57:29.537Z","10. 09. 2025 15:57"
"Delete folder and file in trash with template @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",855,"2025-09-10T13:57:30.816Z","10. 09. 2025 15:57"
"Delete folder and file in trash with template @high @middle @low","Downloads the first uploaded file and checks its contents","passed",8371,"2025-09-10T13:57:39.249Z","10. 09. 2025 15:57"
"Delete folder and file in trash with template @high @middle @low","Deletes the created file with template","passed",5824,"2025-09-10T13:57:45.224Z","10. 09. 2025 15:57"
"Delete folder and file in trash with template @high @middle @low","Verifies that file deletion is recorded in the change history","passed",1048,"2025-09-10T13:57:46.592Z","10. 09. 2025 15:57"
"Delete folder and file in trash with template @high @middle @low","Delete created folder","passed",4742,"2025-09-10T13:57:51.411Z","10. 09. 2025 15:57"
"Delete folder and file in trash with template @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",1219,"2025-09-10T13:57:52.861Z","10. 09. 2025 15:57"
"Delete folder and file in trash with template @high @middle @low","Delete folder and file in trash","passed",3464,"2025-09-10T13:57:56.574Z","10. 09. 2025 15:57"
"Delete company @high @middle @low","Delete company","passed",14368,"2025-09-10T13:58:13.106Z","10. 09. 2025 15:58"
