# Testování po nasazení vylepšení 38 + 39
"describe","test","status","duration","timestamp","timestampLocal"
"Registration test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",10859,"2025-09-11T06:56:53.034Z","11. 09. 2025 08:56"
"Registration test company @high @middle @low","Registration company","passed",16583,"2025-09-11T06:57:09.666Z","11. 09. 2025 08:57"
"Delete folder in trash @high @middle @low","Create folder without template","passed",13417,"2025-09-11T06:57:24.324Z","11. 09. 2025 08:57"
"Delete folder in trash @high @middle @low","Verifies that folder creation is recorded in the change history","passed",952,"2025-09-11T06:57:25.422Z","11. 09. 2025 08:57"
"Delete folder in trash @high @middle @low","Deletes the created folder without template","passed",3713,"2025-09-11T06:57:29.215Z","11. 09. 2025 08:57"
"Delete folder in trash @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",751,"2025-09-11T06:57:30.185Z","11. 09. 2025 08:57"
"Delete folder in trash @high @middle @low","Delete created folder in trash","passed",2918,"2025-09-11T06:57:33.315Z","11. 09. 2025 08:57"
"Delete folder without template with file @high @middle @low","Create folder without template","passed",13587,"2025-09-11T06:57:49.050Z","11. 09. 2025 08:57"
"Delete folder without template with file @high @middle @low","Verifies that created folder is recorded in the history","passed",630,"2025-09-11T06:57:49.824Z","11. 09. 2025 08:57"
"Delete folder without template with file @high @middle @low","Uploads the first file into the created folder","passed",6704,"2025-09-11T06:57:56.648Z","11. 09. 2025 08:57"
"Delete folder without template with file @high @middle @low","Verifies that the upload of the first file is recorded in the history","passed",903,"2025-09-11T06:57:57.864Z","11. 09. 2025 08:57"
"Delete folder without template with file @high @middle @low","Downloads the first uploaded file and checks its contents","passed",9307,"2025-09-11T06:58:07.210Z","11. 09. 2025 08:58"
"Delete folder without template with file @high @middle @low","Deletes the created folder without template","passed",4237,"2025-09-11T06:58:11.617Z","11. 09. 2025 08:58"
"Delete folder without template with file @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",952,"2025-09-11T06:58:12.864Z","11. 09. 2025 08:58"
"Delete folder without template with file @high @middle @low","Delete created folder in trash","passed",3232,"2025-09-11T06:58:16.261Z","11. 09. 2025 08:58"
"Delete folder with template without file @high @middle @low","Create folder with template","passed",21936,"2025-09-11T06:58:40.506Z","11. 09. 2025 08:58"
"Delete folder with template without file @high @middle @low","Verifies that created folder is recorded in the history","passed",1151,"2025-09-11T06:58:41.882Z","11. 09. 2025 08:58"
"Delete folder with template without file @high @middle @low","Deletes the created folder without template","passed",3727,"2025-09-11T06:58:45.694Z","11. 09. 2025 08:58"
"Delete folder with template without file @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",1397,"2025-09-11T06:58:47.313Z","11. 09. 2025 08:58"
"Delete folder with template without file @high @middle @low","Delete created folder in trash","passed",2961,"2025-09-11T06:58:50.528Z","11. 09. 2025 08:58"
"Delete folder with file and with template @high @middle @low","Create folder with template","passed",20561,"2025-09-11T06:59:14.307Z","11. 09. 2025 08:59"
"Delete folder with file and with template @high @middle @low","Verifies that created folder is recorded in the history","passed",756,"2025-09-11T06:59:15.313Z","11. 09. 2025 08:59"
"Delete folder with file and with template @high @middle @low","Uploads the first file into the created folder","passed",7689,"2025-09-11T06:59:23.175Z","11. 09. 2025 08:59"
"Delete folder with file and with template @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",981,"2025-09-11T06:59:24.715Z","11. 09. 2025 08:59"
"Delete folder with file and with template @high @middle @low","Downloads the first uploaded file and checks its contents","passed",8659,"2025-09-11T06:59:33.461Z","11. 09. 2025 08:59"
"Delete folder with file and with template @high @middle @low","Deletes the created folder with template","passed",4267,"2025-09-11T06:59:37.959Z","11. 09. 2025 08:59"
"Delete folder with file and with template @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",1453,"2025-09-11T06:59:39.992Z","11. 09. 2025 08:59"
"Delete folder with file and with template @high @middle @low","Delete created folder in trash","passed",3493,"2025-09-11T06:59:43.609Z","11. 09. 2025 08:59"
"Delete file in trash without template @high @middle @low","Create folder without template","passed",15967,"2025-09-11T07:00:02.429Z","11. 09. 2025 09:00"
"Delete file in trash without template @high @middle @low","Verifies that created folder is recorded in the history","passed",768,"2025-09-11T07:00:03.384Z","11. 09. 2025 09:00"
"Delete file in trash without template @high @middle @low","Uploads the first file into the created folder","passed",6314,"2025-09-11T07:00:09.821Z","11. 09. 2025 09:00"
"Delete file in trash without template @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",807,"2025-09-11T07:00:10.934Z","11. 09. 2025 09:00"
"Delete file in trash without template @high @middle @low","Downloads the first uploaded file and checks its contents","passed",7918,"2025-09-11T07:00:18.913Z","11. 09. 2025 09:00"
"Delete file in trash without template @high @middle @low","Deletes the created file with template","passed",5720,"2025-09-11T07:00:24.807Z","11. 09. 2025 09:00"
"Delete file in trash without template @high @middle @low","Verifies that file deletion is recorded in the change history","passed",791,"2025-09-11T07:00:25.882Z","11. 09. 2025 09:00"
"Delete file in trash without template @high @middle @low","Delete file in trash","passed",5387,"2025-09-11T07:00:31.451Z","11. 09. 2025 09:00"
"Delete file in trash without template @high @middle @low","Delete created folder","passed",4452,"2025-09-11T07:00:36.068Z","11. 09. 2025 09:00"
"Delete file in trash without template @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",1221,"2025-09-11T07:00:38.047Z","11. 09. 2025 09:00"
"Delete file in trash without template @high @middle @low","Delete folder in trash","passed",3098,"2025-09-11T07:00:41.544Z","11. 09. 2025 09:00"
"Delete file in trash with template @high @middle @low","Create folder with template","passed",17286,"2025-09-11T07:01:00.592Z","11. 09. 2025 09:01"
"Delete file in trash with template @high @middle @low","Verifies that created folder is recorded in the history","passed",1353,"2025-09-11T07:01:02.118Z","11. 09. 2025 09:01"
"Delete file in trash with template @high @middle @low","Uploads the first file into the created folder","passed",5498,"2025-09-11T07:01:07.764Z","11. 09. 2025 09:01"
"Delete file in trash with template @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",822,"2025-09-11T07:01:08.770Z","11. 09. 2025 09:01"
"Delete file in trash with template @high @middle @low","Downloads the first uploaded file and checks its contents","passed",8354,"2025-09-11T07:01:17.191Z","11. 09. 2025 09:01"
"Delete file in trash with template @high @middle @low","Deletes the created file with template","passed",4454,"2025-09-11T07:01:21.738Z","11. 09. 2025 09:01"
