# Testy byli spuštěné před vylepšením 27, kde se opravovalo DMS hlavně řazení souborů, nahrávání a číselné řady
"describe","test","status","duration","timestamp","timestampLocal"
"Registration test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",13388,"2025-06-29T15:44:18.969Z","29. 06. 2025 17:44"
"Registration test company @high @middle @low","Registration company","passed",12193,"2025-06-29T15:44:31.199Z","29. 06. 2025 17:44"
"Invite user in company @high @middle @low","Send invitation to the user","passed",11725,"2025-06-29T15:44:43.586Z","29. 06. 2025 17:44"
"Invite user in company @high @middle @low","Accept invitation","passed",6502,"2025-06-29T15:44:50.108Z","29. 06. 2025 17:44"
"Restore folder without file without template - action button @high @middle @low","Create folder without template","passed",17257,"2025-06-29T15:45:08.074Z","29. 06. 2025 17:45"
"Restore folder without file without template - action button @high @middle @low","Verifies that folder creation is recorded in the change history","passed",1342,"2025-06-29T15:45:09.490Z","29. 06. 2025 17:45"
"Restore folder without file without template - action button @high @middle @low","Deletes the created folder without template","passed",5400,"2025-06-29T15:45:14.924Z","29. 06. 2025 17:45"
"Restore folder without file without template - action button @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",992,"2025-06-29T15:45:15.996Z","29. 06. 2025 17:45"
"Restore folder without file without template - action button @high @middle @low","Restore created folder with action button","passed",2842,"2025-06-29T15:45:18.863Z","29. 06. 2025 17:45"
"Restore folder without file without template - action button @high @middle @low","Verifies that folder restoration is recorded in the change history","passed",907,"2025-06-29T15:45:19.810Z","29. 06. 2025 17:45"
"Restore folder without file without template - action button @high @middle @low","Folder was restored and can be opened","passed",5518,"2025-06-29T15:45:25.345Z","29. 06. 2025 17:45"
"Restore folder without file without template - action button @high @middle @low","Deletes the created folder without template","passed",4578,"2025-06-29T15:45:30.004Z","29. 06. 2025 17:45"
"Restore folder without file without template - action button @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",1079,"2025-06-29T15:45:31.170Z","29. 06. 2025 17:45"
"Restore folder without file without template - action button @high @middle @low","Delete created folder in trash","passed",3757,"2025-06-29T15:45:34.973Z","29. 06. 2025 17:45"
"Restore folder without file without template- bulk action @high @middle @low","Create folder without template","passed",12011,"2025-06-29T15:45:47.018Z","29. 06. 2025 17:45"
"Restore folder without file without template- bulk action @high @middle @low","Verifies that folder creation is recorded in the change history","passed",922,"2025-06-29T15:45:48.012Z","29. 06. 2025 17:45"
"Restore folder without file without template- bulk action @high @middle @low","Deletes the created folder without template","passed",5094,"2025-06-29T15:45:53.130Z","29. 06. 2025 17:45"
"Restore folder without file without template- bulk action @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",1238,"2025-06-29T15:45:54.450Z","29. 06. 2025 17:45"
"Restore folder without file without template- bulk action @high @middle @low","Restore created folder with bulk action","passed",3109,"2025-06-29T15:45:57.591Z","29. 06. 2025 17:45"
"Restore folder without file without template- bulk action @high @middle @low","Verifies that folder restoration is recorded in the change history","passed",910,"2025-06-29T15:45:58.547Z","29. 06. 2025 17:45"
"Restore folder without file without template- bulk action @high @middle @low","Folder was restored and can be opened","passed",5428,"2025-06-29T15:46:03.993Z","29. 06. 2025 17:46"
"Restore folder without file without template- bulk action @high @middle @low","Deletes the created folder without template","passed",4995,"2025-06-29T15:46:09.044Z","29. 06. 2025 17:46"
"Restore folder without file without template- bulk action @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",1034,"2025-06-29T15:46:10.170Z","29. 06. 2025 17:46"
"Restore folder without file without template- bulk action @high @middle @low","Delete created folder in trash","passed",3431,"2025-06-29T15:46:13.645Z","29. 06. 2025 17:46"
"Restore folder without file with template - action button @high @middle @low","Create folder with template","passed",18820,"2025-06-29T15:46:33.230Z","29. 06. 2025 17:46"
"Restore folder without file with template - action button @high @middle @low","Verifies that folder creation is recorded in the change history","passed",1375,"2025-06-29T15:46:34.691Z","29. 06. 2025 17:46"
"Restore folder without file with template - action button @high @middle @low","Deletes the created folder without template","passed",4990,"2025-06-29T15:46:39.724Z","29. 06. 2025 17:46"
"Restore folder without file with template - action button @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",1354,"2025-06-29T15:46:41.164Z","29. 06. 2025 17:46"
"Restore folder without file with template - action button @high @middle @low","Restore created folder with action button","passed",4057,"2025-06-29T15:46:45.253Z","29. 06. 2025 17:46"
"Restore folder without file with template - action button @high @middle @low","Verifies that folder restoration is recorded in the change history","passed",983,"2025-06-29T15:46:46.284Z","29. 06. 2025 17:46"
"Restore folder without file with template - action button @high @middle @low","Folder was restored and can be opened","passed",6010,"2025-06-29T15:46:52.312Z","29. 06. 2025 17:46"
"Restore folder without file with template - action button @high @middle @low","Deletes the created folder with template","passed",5319,"2025-06-29T15:46:57.683Z","29. 06. 2025 17:46"
"Restore folder without file with template - action button @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",13626,"2025-06-29T15:47:11.378Z","29. 06. 2025 17:47"
"Restore folder without file with template - action button @high @middle @low","Delete created folder in trash","passed",6026,"2025-06-29T15:47:17.454Z","29. 06. 2025 17:47"
"Restore folder without file with template- bulk action @high @middle @low","Create folder with template","passed",16943,"2025-06-29T15:47:34.432Z","29. 06. 2025 17:47"
"Restore folder without file with template- bulk action @high @middle @low","Verifies that folder creation is recorded in the change history","passed",1585,"2025-06-29T15:47:36.115Z","29. 06. 2025 17:47"
"Restore folder without file with template- bulk action @high @middle @low","Deletes the created folder with template","passed",4420,"2025-06-29T15:47:40.569Z","29. 06. 2025 17:47"
"Restore folder without file with template- bulk action @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",1426,"2025-06-29T15:47:42.076Z","29. 06. 2025 17:47"
"Restore folder without file with template- bulk action @high @middle @low","Restore created folder with bulk action","passed",3303,"2025-06-29T15:47:45.410Z","29. 06. 2025 17:47"
"Restore folder without file with template- bulk action @high @middle @low","Verifies that folder restoration is recorded in the change history","passed",1152,"2025-06-29T15:47:46.619Z","29. 06. 2025 17:47"
"Restore folder without file with template- bulk action @high @middle @low","Folder was restored and can be opened","passed",6205,"2025-06-29T15:47:52.845Z","29. 06. 2025 17:47"
"Restore folder without file with template- bulk action @high @middle @low","Deletes the created folder with template","passed",4943,"2025-06-29T15:47:57.849Z","29. 06. 2025 17:47"
"Restore folder without file with template- bulk action @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",1056,"2025-06-29T15:47:58.989Z","29. 06. 2025 17:47"
"Restore folder without file with template- bulk action @high @middle @low","Delete created folder in trash","passed",3696,"2025-06-29T15:48:02.727Z","29. 06. 2025 17:48"
"Restore folder with file without template - action button @high @middle @low","Create folder without template","passed",21179,"2025-06-29T15:48:24.697Z","29. 06. 2025 17:48"
"Restore folder with file without template - action button @high @middle @low","Verifies that folder creation is recorded in the change history","passed",1071,"2025-06-29T15:48:25.843Z","29. 06. 2025 17:48"
"Restore folder with file without template - action button @high @middle @low","Uploads the first file into the created folder","passed",6940,"2025-06-29T15:48:32.813Z","29. 06. 2025 17:48"
"Restore folder with file without template - action button @high @middle @low","Verifies that the upload of the first file is recorded in the history","passed",1055,"2025-06-29T15:48:33.950Z","29. 06. 2025 17:48"
"Restore folder with file without template - action button @high @middle @low","Downloads the first uploaded file and checks its contents","passed",8932,"2025-06-29T15:48:42.920Z","29. 06. 2025 17:48"
"Restore folder with file without template - action button @high @middle @low","Deletes the created folder without template","passed",4627,"2025-06-29T15:48:47.600Z","29. 06. 2025 17:48"
"Restore folder with file without template - action button @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",1378,"2025-06-29T15:48:49.039Z","29. 06. 2025 17:48"
"Restore folder with file without template - action button @high @middle @low","Restore created folder with action button","passed",3421,"2025-06-29T15:48:52.504Z","29. 06. 2025 17:48"
"Restore folder with file without template - action button @high @middle @low","Verifies that folder restoration is recorded in the change history","passed",1099,"2025-06-29T15:48:53.656Z","29. 06. 2025 17:48"
"Restore folder with file without template - action button @high @middle @low","Folder was restored and can be opened","passed",6037,"2025-06-29T15:48:59.715Z","29. 06. 2025 17:48"
"Restore folder with file without template - action button @high @middle @low","File in restored folder is not corrupted and can be downloaded again","passed",8460,"2025-06-29T15:49:08.221Z","29. 06. 2025 17:49"
"Restore folder with file without template - action button @high @middle @low","Deletes the created folder without template","passed",4519,"2025-06-29T15:49:12.798Z","29. 06. 2025 17:49"
"Restore folder with file without template - action button @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",999,"2025-06-29T15:49:13.877Z","29. 06. 2025 17:49"
"Restore folder with file without template - action button @high @middle @low","Delete created folder in trash","passed",3642,"2025-06-29T15:49:17.560Z","29. 06. 2025 17:49"
"Restore folder with file without template - bulk action @high @middle @low","Create folder without template","passed",19581,"2025-06-29T15:49:37.910Z","29. 06. 2025 17:49"
"Restore folder with file without template - bulk action @high @middle @low","Verifies that folder creation is recorded in the change history","passed",1078,"2025-06-29T15:49:39.086Z","29. 06. 2025 17:49"
"Restore folder with file without template - bulk action @high @middle @low","Uploads the first file into the created folder","passed",7259,"2025-06-29T15:49:46.378Z","29. 06. 2025 17:49"
"Restore folder with file without template - bulk action @high @middle @low","Verifies that the upload of the first file is recorded in the history","passed",1154,"2025-06-29T15:49:47.630Z","29. 06. 2025 17:49"
"Restore folder with file without template - bulk action @high @middle @low","Downloads the first uploaded file and checks its contents","passed",8700,"2025-06-29T15:49:56.356Z","29. 06. 2025 17:49"
"Restore folder with file without template - bulk action @high @middle @low","Deletes the created folder without template","passed",3901,"2025-06-29T15:50:00.315Z","29. 06. 2025 17:50"
"Restore folder with file without template - bulk action @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",1369,"2025-06-29T15:50:01.769Z","29. 06. 2025 17:50"
"Restore folder with file without template - bulk action @high @middle @low","Restore created folder with bulk action","passed",3392,"2025-06-29T15:50:05.193Z","29. 06. 2025 17:50"
"Restore folder with file without template - bulk action @high @middle @low","Verifies that folder restoration is recorded in the change history","passed",1132,"2025-06-29T15:50:06.368Z","29. 06. 2025 17:50"
"Restore folder with file without template - bulk action @high @middle @low","Folder was restored and can be opened","passed",6281,"2025-06-29T15:50:12.664Z","29. 06. 2025 17:50"
"Restore folder with file without template - bulk action @high @middle @low","File in restored folder is not corrupted and can be downloaded again","passed",9577,"2025-06-29T15:50:22.277Z","29. 06. 2025 17:50"
"Restore folder with file without template - bulk action @high @middle @low","Deletes the created folder without template","passed",5128,"2025-06-29T15:50:27.459Z","29. 06. 2025 17:50"
"Restore folder with file without template - bulk action @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",1147,"2025-06-29T15:50:28.715Z","29. 06. 2025 17:50"
"Restore folder with file without template - bulk action @high @middle @low","Delete created folder in trash","passed",3814,"2025-06-29T15:50:32.574Z","29. 06. 2025 17:50"
"Restore folder with file with template - action button @high @middle @low","Create folder with template","passed",21180,"2025-06-29T15:50:54.495Z","29. 06. 2025 17:50"
"Restore folder with file with template - action button @high @middle @low","Verifies that folder creation is recorded in the change history","passed",1931,"2025-06-29T15:50:56.503Z","29. 06. 2025 17:50"
"Restore folder with file with template - action button @high @middle @low","Uploads the first file into the created folder","failed",11311,"2025-06-29T15:51:07.836Z","29. 06. 2025 17:51"
"Restore folder with file with template - action button @high @middle @low","Verifies that the upload of the first file is recorded in the history","passed",1195,"2025-06-29T15:51:09.131Z","29. 06. 2025 17:51"
"Restore folder with file with template - action button @high @middle @low","Downloads the first uploaded file and checks its contents","passed",8830,"2025-06-29T15:51:17.979Z","29. 06. 2025 17:51"
"Restore folder with file with template - action button @high @middle @low","Deletes the created folder with template","passed",4139,"2025-06-29T15:51:22.164Z","29. 06. 2025 17:51"
"Restore folder with file with template - action button @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",1550,"2025-06-29T15:51:23.788Z","29. 06. 2025 17:51"
"Restore folder with file with template - action button @high @middle @low","Restore created folder with action button","passed",2888,"2025-06-29T15:51:26.705Z","29. 06. 2025 17:51"
"Restore folder with file with template - action button @high @middle @low","Verifies that folder restoration is recorded in the change history","passed",1153,"2025-06-29T15:51:27.903Z","29. 06. 2025 17:51"
"Restore folder with file with template - action button @high @middle @low","Folder was restored and can be opened","passed",9495,"2025-06-29T15:51:37.415Z","29. 06. 2025 17:51"
"Restore folder with file with template - action button @high @middle @low","File in restored folder is not corrupted and can be downloaded again","passed",8816,"2025-06-29T15:51:46.275Z","29. 06. 2025 17:51"
"Restore folder with file with template - action button @high @middle @low","Deletes the created folder with template","passed",4545,"2025-06-29T15:51:50.863Z","29. 06. 2025 17:51"
"Restore folder with file with template - action button @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",1543,"2025-06-29T15:51:52.478Z","29. 06. 2025 17:51"
"Restore folder with file with template - action button @high @middle @low","Delete created folder in trash","passed",3850,"2025-06-29T15:51:56.356Z","29. 06. 2025 17:51"
"Restore folder with file with template - bulk action @high @middle @low","Create folder with template","passed",91177,"2025-06-29T15:53:28.337Z","29. 06. 2025 17:53"
"Restore folder with file with template - bulk action @high @middle @low","Verifies that folder creation is recorded in the change history","passed",2097,"2025-06-29T15:53:30.488Z","29. 06. 2025 17:53"
"Restore folder with file with template - bulk action @high @middle @low","Uploads the first file into the created folder","failed",11846,"2025-06-29T15:53:42.360Z","29. 06. 2025 17:53"
"Restore folder with file with template - bulk action @high @middle @low","Verifies that the upload of the first file is recorded in the history","passed",1943,"2025-06-29T15:53:44.393Z","29. 06. 2025 17:53"
"Restore folder with file with template - bulk action @high @middle @low","Downloads the first uploaded file and checks its contents","passed",9293,"2025-06-29T15:53:53.703Z","29. 06. 2025 17:53"
"Restore folder with file with template - bulk action @high @middle @low","Deletes the created folder without template","passed",4493,"2025-06-29T15:53:58.237Z","29. 06. 2025 17:53"
"Restore folder with file with template - bulk action @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",1168,"2025-06-29T15:53:59.491Z","29. 06. 2025 17:53"
"Restore folder with file with template - bulk action @high @middle @low","Restore created folder with bulk action","passed",3852,"2025-06-29T15:54:03.368Z","29. 06. 2025 17:54"
"Restore folder with file with template - bulk action @high @middle @low","Verifies that folder restoration is recorded in the change history","passed",1384,"2025-06-29T15:54:04.809Z","29. 06. 2025 17:54"
"Restore folder with file with template - bulk action @high @middle @low","Folder was restored and can be opened","passed",6569,"2025-06-29T15:54:11.400Z","29. 06. 2025 17:54"
"Restore folder with file with template - bulk action @high @middle @low","File in restored folder have template","failed",9208,"2025-06-29T15:54:20.665Z","29. 06. 2025 17:54"
"Restore folder with file with template - bulk action @high @middle @low","File in restored folder is not corrupted and can be downloaded again","passed",8212,"2025-06-29T15:54:28.932Z","29. 06. 2025 17:54"
"Restore folder with file with template - bulk action @high @middle @low","Deletes the created folder with template","passed",4617,"2025-06-29T15:54:33.588Z","29. 06. 2025 17:54"
"Restore folder with file with template - bulk action @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",1180,"2025-06-29T15:54:34.818Z","29. 06. 2025 17:54"
"Restore folder with file with template - bulk action @high @middle @low","Delete created folder in trash","passed",4182,"2025-06-29T15:54:39.027Z","29. 06. 2025 17:54"
"Restore folder to another location without file without template - action button @high @middle @low","Create folder without template","passed",20627,"2025-06-29T15:55:00.389Z","29. 06. 2025 17:55"
"Restore folder to another location without file without template - action button @high @middle @low","Verifies that folder creation is recorded in the change history","passed",1762,"2025-06-29T15:55:02.236Z","29. 06. 2025 17:55"
"Restore folder to another location without file without template - action button @high @middle @low","Deletes the created folder without template","passed",6167,"2025-06-29T15:55:08.434Z","29. 06. 2025 17:55"
"Restore folder to another location without file without template - action button @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",1794,"2025-06-29T15:55:10.314Z","29. 06. 2025 17:55"
"Restore folder to another location without file without template - action button @high @middle @low","Restore created folder with action button to another location","passed",3802,"2025-06-29T15:55:14.148Z","29. 06. 2025 17:55"
"Restore folder to another location without file without template - action button @high @middle @low","Verifies that folder restoration is recorded in the change history","passed",1411,"2025-06-29T15:55:15.582Z","29. 06. 2025 17:55"
"Restore folder to another location without file without template - action button @high @middle @low","Folder was restored and can be opened","passed",9504,"2025-06-29T15:55:25.128Z","29. 06. 2025 17:55"
