# Oprava vylepšení 27 jakub předělal řaezní souborů při nahrávání vše funguje
"describe","test","status","duration","timestamp","timestampLocal"
"Registration test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",14250,"2025-06-30T15:20:27.006Z","30. 06. 2025 17:20"
"Registration test company @high @middle @low","Registration company","passed",12455,"2025-06-30T15:20:39.497Z","30. 06. 2025 17:20"
"Invite user in company @high @middle @low","Send invitation to the user","passed",12265,"2025-06-30T15:20:52.466Z","30. 06. 2025 17:20"
"Invite user in company @high @middle @low","Accept invitation","passed",6214,"2025-06-30T15:20:58.710Z","30. 06. 2025 17:20"
"Restore folder without file without template - action button @high @middle @low","Create folder without template","passed",17113,"2025-06-30T15:21:17.671Z","30. 06. 2025 17:21"
"Restore folder without file without template - action button @high @middle @low","Verifies that folder creation is recorded in the change history","passed",1363,"2025-06-30T15:21:19.129Z","30. 06. 2025 17:21"
"Restore folder without file without template - action button @high @middle @low","Deletes the created folder without template","passed",5773,"2025-06-30T15:21:24.935Z","30. 06. 2025 17:21"
"Restore folder without file without template - action button @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",905,"2025-06-30T15:21:25.918Z","30. 06. 2025 17:21"
"Restore folder without file without template - action button @high @middle @low","Restore created folder with action button","passed",3338,"2025-06-30T15:21:29.281Z","30. 06. 2025 17:21"
"Restore folder without file without template - action button @high @middle @low","Verifies that folder restoration is recorded in the change history","passed",913,"2025-06-30T15:21:30.236Z","30. 06. 2025 17:21"
"Restore folder without file without template - action button @high @middle @low","Folder was restored and can be opened","passed",5934,"2025-06-30T15:21:36.208Z","30. 06. 2025 17:21"
"Restore folder without file without template - action button @high @middle @low","Deletes the created folder without template","passed",5193,"2025-06-30T15:21:41.457Z","30. 06. 2025 17:21"
"Restore folder without file without template - action button @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",885,"2025-06-30T15:21:42.424Z","30. 06. 2025 17:21"
"Restore folder without file without template - action button @high @middle @low","Delete created folder in trash","passed",4226,"2025-06-30T15:21:46.690Z","30. 06. 2025 17:21"
"Restore folder without file without template- bulk action @high @middle @low","Create folder without template","passed",10468,"2025-06-30T15:21:57.206Z","30. 06. 2025 17:21"
"Restore folder without file without template- bulk action @high @middle @low","Verifies that folder creation is recorded in the change history","passed",1078,"2025-06-30T15:21:58.368Z","30. 06. 2025 17:21"
"Restore folder without file without template- bulk action @high @middle @low","Deletes the created folder without template","passed",5305,"2025-06-30T15:22:03.702Z","30. 06. 2025 17:22"
"Restore folder without file without template- bulk action @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",1404,"2025-06-30T15:22:05.194Z","30. 06. 2025 17:22"
"Restore folder without file without template- bulk action @high @middle @low","Restore created folder with bulk action","passed",3598,"2025-06-30T15:22:08.838Z","30. 06. 2025 17:22"
"Restore folder without file without template- bulk action @high @middle @low","Verifies that folder restoration is recorded in the change history","passed",937,"2025-06-30T15:22:09.823Z","30. 06. 2025 17:22"
"Restore folder without file without template- bulk action @high @middle @low","Folder was restored and can be opened","passed",5698,"2025-06-30T15:22:15.548Z","30. 06. 2025 17:22"
"Restore folder without file without template- bulk action @high @middle @low","Deletes the created folder without template","passed",4799,"2025-06-30T15:22:20.410Z","30. 06. 2025 17:22"
"Restore folder without file without template- bulk action @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",863,"2025-06-30T15:22:21.347Z","30. 06. 2025 17:22"
"Restore folder without file without template- bulk action @high @middle @low","Delete created folder in trash","passed",4192,"2025-06-30T15:22:25.580Z","30. 06. 2025 17:22"
