# Spadl jeden test, protože asi server neodpovídal, ale vše funguje
"describe","test","status","duration","timestamp","timestampLocal"
"Registration test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",12252,"2025-07-17T20:50:46.573Z","17. 07. 2025 22:50"
"Registration test company @high @middle @low","Registration company","passed",13538,"2025-07-17T20:51:00.154Z","17. 07. 2025 22:51"
"Restore folder without file without template - action button @high @middle @low","Create folder without template","passed",14929,"2025-07-17T20:51:15.850Z","17. 07. 2025 22:51"
"Restore folder without file without template - action button @high @middle @low","Verifies that folder creation is recorded in the change history","passed",987,"2025-07-17T20:51:16.915Z","17. 07. 2025 22:51"
"Restore folder without file without template - action button @high @middle @low","Deletes the created folder without template","passed",4825,"2025-07-17T20:51:21.771Z","17. 07. 2025 22:51"
"Restore folder without file without template - action button @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",640,"2025-07-17T20:51:22.484Z","17. 07. 2025 22:51"
"Restore folder without file without template - action button @high @middle @low","Restore created folder with action button","passed",2945,"2025-07-17T20:51:25.457Z","17. 07. 2025 22:51"
"Restore folder without file without template - action button @high @middle @low","Verifies that folder restoration is recorded in the change history","passed",660,"2025-07-17T20:51:26.156Z","17. 07. 2025 22:51"
"Restore folder without file without template - action button @high @middle @low","Folder was restored and can be opened","passed",5291,"2025-07-17T20:51:31.471Z","17. 07. 2025 22:51"
"Restore folder without file without template - action button @high @middle @low","Deletes the created folder without template","passed",4475,"2025-07-17T20:51:36.000Z","17. 07. 2025 22:51"
"Restore folder without file without template - action button @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",674,"2025-07-17T20:51:36.742Z","17. 07. 2025 22:51"
"Restore folder without file without template - action button @high @middle @low","Delete created folder in trash","passed",3326,"2025-07-17T20:51:40.107Z","17. 07. 2025 22:51"
"Restore folder without file without template- bulk action @high @middle @low","Create folder without template","passed",9533,"2025-07-17T20:51:49.676Z","17. 07. 2025 22:51"
"Restore folder without file without template- bulk action @high @middle @low","Verifies that folder creation is recorded in the change history","passed",1224,"2025-07-17T20:51:50.971Z","17. 07. 2025 22:51"
"Restore folder without file without template- bulk action @high @middle @low","Deletes the created folder without template","passed",4388,"2025-07-17T20:51:55.395Z","17. 07. 2025 22:51"
"Restore folder without file without template- bulk action @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",834,"2025-07-17T20:51:56.303Z","17. 07. 2025 22:51"
"Restore folder without file without template- bulk action @high @middle @low","Restore created folder with bulk action","passed",2305,"2025-07-17T20:51:58.640Z","17. 07. 2025 22:51"
"Restore folder without file without template- bulk action @high @middle @low","Verifies that folder restoration is recorded in the change history","passed",732,"2025-07-17T20:51:59.394Z","17. 07. 2025 22:51"
"Restore folder without file without template- bulk action @high @middle @low","Folder was restored and can be opened","passed",5072,"2025-07-17T20:52:04.482Z","17. 07. 2025 22:52"
"Restore folder without file without template- bulk action @high @middle @low","Deletes the created folder without template","passed",4261,"2025-07-17T20:52:08.800Z","17. 07. 2025 22:52"
"Restore folder without file without template- bulk action @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",688,"2025-07-17T20:52:09.561Z","17. 07. 2025 22:52"
"Restore folder without file without template- bulk action @high @middle @low","Delete created folder in trash","passed",3403,"2025-07-17T20:52:13.001Z","17. 07. 2025 22:52"
"Restore folder without file with template - action button @high @middle @low","Create folder with template","passed",14774,"2025-07-17T20:52:28.507Z","17. 07. 2025 22:52"
"Restore folder without file with template - action button @high @middle @low","Verifies that folder creation is recorded in the change history","passed",1096,"2025-07-17T20:52:29.683Z","17. 07. 2025 22:52"
"Restore folder without file with template - action button @high @middle @low","Deletes the created folder without template","passed",4476,"2025-07-17T20:52:34.191Z","17. 07. 2025 22:52"
"Restore folder without file with template - action button @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",725,"2025-07-17T20:52:34.999Z","17. 07. 2025 22:52"
"Restore folder without file with template - action button @high @middle @low","Restore created folder with action button","passed",3334,"2025-07-17T20:52:38.372Z","17. 07. 2025 22:52"
"Restore folder without file with template - action button @high @middle @low","Verifies that folder restoration is recorded in the change history","passed",673,"2025-07-17T20:52:39.086Z","17. 07. 2025 22:52"
"Restore folder without file with template - action button @high @middle @low","Folder was restored and can be opened","passed",5220,"2025-07-17T20:52:44.327Z","17. 07. 2025 22:52"
"Restore folder without file with template - action button @high @middle @low","Deletes the created folder with template","passed",4519,"2025-07-17T20:52:48.904Z","17. 07. 2025 22:52"
"Restore folder without file with template - action button @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",667,"2025-07-17T20:52:49.639Z","17. 07. 2025 22:52"
"Restore folder without file with template - action button @high @middle @low","Delete created folder in trash","passed",3350,"2025-07-17T20:52:53.026Z","17. 07. 2025 22:52"
"Restore folder without file with template- bulk action @high @middle @low","Create folder with template","passed",9360,"2025-07-17T20:53:02.417Z","17. 07. 2025 22:53"
"Restore folder without file with template- bulk action @high @middle @low","Verifies that folder creation is recorded in the change history","passed",1313,"2025-07-17T20:53:03.803Z","17. 07. 2025 22:53"
"Restore folder without file with template- bulk action @high @middle @low","Deletes the created folder with template","passed",4359,"2025-07-17T20:53:08.196Z","17. 07. 2025 22:53"
"Restore folder without file with template- bulk action @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",668,"2025-07-17T20:53:08.938Z","17. 07. 2025 22:53"
"Restore folder without file with template- bulk action @high @middle @low","Restore created folder with bulk action","passed",3107,"2025-07-17T20:53:12.072Z","17. 07. 2025 22:53"
"Restore folder without file with template- bulk action @high @middle @low","Verifies that folder restoration is recorded in the change history","passed",676,"2025-07-17T20:53:12.788Z","17. 07. 2025 22:53"
"Restore folder without file with template- bulk action @high @middle @low","Folder was restored and can be opened","passed",5017,"2025-07-17T20:53:17.841Z","17. 07. 2025 22:53"
"Restore folder without file with template- bulk action @high @middle @low","Deletes the created folder with template","passed",4290,"2025-07-17T20:53:22.186Z","17. 07. 2025 22:53"
"Restore folder without file with template- bulk action @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",678,"2025-07-17T20:53:22.939Z","17. 07. 2025 22:53"
"Restore folder without file with template- bulk action @high @middle @low","Delete created folder in trash","passed",3359,"2025-07-17T20:53:26.331Z","17. 07. 2025 22:53"
"Restore folder with file without template - action button @high @middle @low","Create folder without template","passed",14549,"2025-07-17T20:53:41.633Z","17. 07. 2025 22:53"
"Restore folder with file without template - action button @high @middle @low","Verifies that folder creation is recorded in the change history","passed",1247,"2025-07-17T20:53:42.961Z","17. 07. 2025 22:53"
"Restore folder with file without template - action button @high @middle @low","Uploads the first file into the created folder","passed",6797,"2025-07-17T20:53:49.790Z","17. 07. 2025 22:53"
"Restore folder with file without template - action button @high @middle @low","Verifies that the upload of the first file is recorded in the history","passed",717,"2025-07-17T20:53:50.575Z","17. 07. 2025 22:53"
"Restore folder with file without template - action button @high @middle @low","Downloads the first uploaded file and checks its contents","passed",8190,"2025-07-17T20:53:58.782Z","17. 07. 2025 22:53"
"Restore folder with file without template - action button @high @middle @low","Deletes the created folder without template","passed",3382,"2025-07-17T20:54:02.223Z","17. 07. 2025 22:54"
"Restore folder with file without template - action button @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",943,"2025-07-17T20:54:03.244Z","17. 07. 2025 22:54"
"Restore folder with file without template - action button @high @middle @low","Restore created folder with action button","passed",2393,"2025-07-17T20:54:05.666Z","17. 07. 2025 22:54"
"Restore folder with file without template - action button @high @middle @low","Verifies that folder restoration is recorded in the change history","passed",685,"2025-07-17T20:54:06.398Z","17. 07. 2025 22:54"
"Restore folder with file without template - action button @high @middle @low","Folder was restored and can be opened","passed",5250,"2025-07-17T20:54:11.675Z","17. 07. 2025 22:54"
"Restore folder with file without template - action button @high @middle @low","File in restored folder is not corrupted and can be downloaded again","passed",7879,"2025-07-17T20:54:19.609Z","17. 07. 2025 22:54"
"Restore folder with file without template - action button @high @middle @low","Deletes the created folder without template","passed",3419,"2025-07-17T20:54:23.081Z","17. 07. 2025 22:54"
"Restore folder with file without template - action button @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",922,"2025-07-17T20:54:24.083Z","17. 07. 2025 22:54"
"Restore folder with file without template - action button @high @middle @low","Delete created folder in trash","passed",3105,"2025-07-17T20:54:27.238Z","17. 07. 2025 22:54"
"Restore folder with file without template - bulk action @high @middle @low","Create folder without template","passed",15588,"2025-07-17T20:54:43.552Z","17. 07. 2025 22:54"
"Restore folder with file without template - bulk action @high @middle @low","Verifies that folder creation is recorded in the change history","passed",1478,"2025-07-17T20:54:45.112Z","17. 07. 2025 22:54"
"Restore folder with file without template - bulk action @high @middle @low","Uploads the first file into the created folder","passed",6257,"2025-07-17T20:54:51.410Z","17. 07. 2025 22:54"
"Restore folder with file without template - bulk action @high @middle @low","Verifies that the upload of the first file is recorded in the history","passed",769,"2025-07-17T20:54:52.229Z","17. 07. 2025 22:54"
"Restore folder with file without template - bulk action @high @middle @low","Downloads the first uploaded file and checks its contents","passed",8279,"2025-07-17T20:55:00.523Z","17. 07. 2025 22:55"
"Restore folder with file without template - bulk action @high @middle @low","Deletes the created folder without template","passed",3838,"2025-07-17T20:55:04.418Z","17. 07. 2025 22:55"
"Restore folder with file without template - bulk action @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",731,"2025-07-17T20:55:05.220Z","17. 07. 2025 22:55"
"Restore folder with file without template - bulk action @high @middle @low","Restore created folder with bulk action","passed",2883,"2025-07-17T20:55:08.127Z","17. 07. 2025 22:55"
"Restore folder with file without template - bulk action @high @middle @low","Verifies that folder restoration is recorded in the change history","passed",718,"2025-07-17T20:55:08.887Z","17. 07. 2025 22:55"
"Restore folder with file without template - bulk action @high @middle @low","Folder was restored and can be opened","passed",5325,"2025-07-17T20:55:14.236Z","17. 07. 2025 22:55"
"Restore folder with file without template - bulk action @high @middle @low","File in restored folder is not corrupted and can be downloaded again","passed",7966,"2025-07-17T20:55:22.243Z","17. 07. 2025 22:55"
"Restore folder with file without template - bulk action @high @middle @low","Deletes the created folder without template","passed",3823,"2025-07-17T20:55:26.118Z","17. 07. 2025 22:55"
