# Testování na Beta serveru
"describe","test","status","duration","timestamp","timestampLocal"
"Registration test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",11332,"2025-09-03T09:32:15.487Z","03. 09. 2025 11:32"
"Registration test company @high @middle @low","Registration company","passed",12921,"2025-09-03T09:32:28.462Z","03. 09. 2025 11:32"
"Restore folder without file without template - action button @high @middle @low","Create folder without template","passed",14972,"2025-09-03T09:32:44.386Z","03. 09. 2025 11:32"
"Restore folder without file without template - action button @high @middle @low","Verifies that folder creation is recorded in the change history","passed",1206,"2025-09-03T09:32:45.702Z","03. 09. 2025 11:32"
"Restore folder without file without template - action button @high @middle @low","Deletes the created folder without template","passed",4160,"2025-09-03T09:32:49.915Z","03. 09. 2025 11:32"
"Restore folder without file without template - action button @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",547,"2025-09-03T09:32:50.562Z","03. 09. 2025 11:32"
"Restore folder without file without template - action button @high @middle @low","Restore created folder with action button","passed",2497,"2025-09-03T09:32:53.088Z","03. 09. 2025 11:32"
"Restore folder without file without template - action button @high @middle @low","Verifies that folder restoration is recorded in the change history","passed",533,"2025-09-03T09:32:53.674Z","03. 09. 2025 11:32"
"Restore folder without file without template - action button @high @middle @low","Folder was restored and can be opened","passed",4670,"2025-09-03T09:32:58.387Z","03. 09. 2025 11:32"
"Restore folder without file without template - action button @high @middle @low","Deletes the created folder without template","passed",3069,"2025-09-03T09:33:01.563Z","03. 09. 2025 11:33"
"Restore folder without file without template - action button @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",625,"2025-09-03T09:33:02.273Z","03. 09. 2025 11:33"
"Restore folder without file without template - action button @high @middle @low","Delete created folder in trash","passed",2503,"2025-09-03T09:33:04.854Z","03. 09. 2025 11:33"
"Restore folder without file without template- bulk action @high @middle @low","Create folder without template","passed",7475,"2025-09-03T09:33:12.409Z","03. 09. 2025 11:33"
"Restore folder without file without template- bulk action @high @middle @low","Verifies that folder creation is recorded in the change history","passed",814,"2025-09-03T09:33:13.312Z","03. 09. 2025 11:33"
"Restore folder without file without template- bulk action @high @middle @low","Deletes the created folder without template","passed",3747,"2025-09-03T09:33:17.098Z","03. 09. 2025 11:33"
"Restore folder without file without template- bulk action @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",605,"2025-09-03T09:33:17.823Z","03. 09. 2025 11:33"
"Restore folder without file without template- bulk action @high @middle @low","Restore created folder with bulk action","passed",2532,"2025-09-03T09:33:20.397Z","03. 09. 2025 11:33"
"Restore folder without file without template- bulk action @high @middle @low","Verifies that folder restoration is recorded in the change history","passed",624,"2025-09-03T09:33:21.145Z","03. 09. 2025 11:33"
"Restore folder without file without template- bulk action @high @middle @low","Folder was restored and can be opened","passed",4110,"2025-09-03T09:33:25.296Z","03. 09. 2025 11:33"
"Restore folder without file without template- bulk action @high @middle @low","Deletes the created folder without template","passed",3869,"2025-09-03T09:33:29.252Z","03. 09. 2025 11:33"
"Restore folder without file without template- bulk action @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",852,"2025-09-03T09:33:30.272Z","03. 09. 2025 11:33"
"Restore folder without file without template- bulk action @high @middle @low","Delete created folder in trash","passed",2617,"2025-09-03T09:33:32.961Z","03. 09. 2025 11:33"
"Restore folder without file with template - action button @high @middle @low","Create folder with template","passed",14269,"2025-09-03T09:33:48.659Z","03. 09. 2025 11:33"
"Restore folder without file with template - action button @high @middle @low","Verifies that folder creation is recorded in the change history","passed",1136,"2025-09-03T09:33:50.037Z","03. 09. 2025 11:33"
"Restore folder without file with template - action button @high @middle @low","Deletes the created folder without template","passed",3749,"2025-09-03T09:33:53.971Z","03. 09. 2025 11:33"
"Restore folder without file with template - action button @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",907,"2025-09-03T09:33:55.275Z","03. 09. 2025 11:33"
"Restore folder without file with template - action button @high @middle @low","Restore created folder with action button","passed",2603,"2025-09-03T09:33:57.946Z","03. 09. 2025 11:33"
"Restore folder without file with template - action button @high @middle @low","Verifies that folder restoration is recorded in the change history","passed",564,"2025-09-03T09:33:58.577Z","03. 09. 2025 11:33"
"Restore folder without file with template - action button @high @middle @low","Folder was restored and can be opened","passed",4783,"2025-09-03T09:34:03.433Z","03. 09. 2025 11:34"
"Restore folder without file with template - action button @high @middle @low","Deletes the created folder with template","passed",3771,"2025-09-03T09:34:07.367Z","03. 09. 2025 11:34"
"Restore folder without file with template - action button @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",813,"2025-09-03T09:34:08.356Z","03. 09. 2025 11:34"
"Restore folder without file with template - action button @high @middle @low","Delete created folder in trash","passed",2652,"2025-09-03T09:34:11.141Z","03. 09. 2025 11:34"
"Restore folder without file with template- bulk action @high @middle @low","Create folder with template","passed",12091,"2025-09-03T09:34:23.436Z","03. 09. 2025 11:34"
"Restore folder without file with template- bulk action @high @middle @low","Verifies that folder creation is recorded in the change history","passed",1529,"2025-09-03T09:34:25.625Z","03. 09. 2025 11:34"
"Restore folder without file with template- bulk action @high @middle @low","Deletes the created folder with template","passed",3963,"2025-09-03T09:34:29.994Z","03. 09. 2025 11:34"
"Restore folder without file with template- bulk action @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",891,"2025-09-03T09:34:31.153Z","03. 09. 2025 11:34"
"Restore folder without file with template- bulk action @high @middle @low","Restore created folder with bulk action","passed",2920,"2025-09-03T09:34:34.179Z","03. 09. 2025 11:34"
"Restore folder without file with template- bulk action @high @middle @low","Verifies that folder restoration is recorded in the change history","passed",849,"2025-09-03T09:34:35.186Z","03. 09. 2025 11:34"
"Restore folder without file with template- bulk action @high @middle @low","Folder was restored and can be opened","passed",5584,"2025-09-03T09:34:40.913Z","03. 09. 2025 11:34"
"Restore folder without file with template- bulk action @high @middle @low","Deletes the created folder with template","passed",3191,"2025-09-03T09:34:44.342Z","03. 09. 2025 11:34"
"Restore folder without file with template- bulk action @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",983,"2025-09-03T09:34:45.660Z","03. 09. 2025 11:34"
"Restore folder without file with template- bulk action @high @middle @low","Delete created folder in trash","passed",4741,"2025-09-03T09:34:50.724Z","03. 09. 2025 11:34"
"Restore folder with file without template - action button @high @middle @low","Create folder without template","passed",17217,"2025-09-03T09:35:12.644Z","03. 09. 2025 11:35"
"Restore folder with file without template - action button @high @middle @low","Verifies that folder creation is recorded in the change history","passed",1235,"2025-09-03T09:35:14.410Z","03. 09. 2025 11:35"
"Restore folder with file without template - action button @high @middle @low","Uploads the first file into the created folder","passed",5861,"2025-09-03T09:35:20.446Z","03. 09. 2025 11:35"
"Restore folder with file without template - action button @high @middle @low","Verifies that the upload of the first file is recorded in the history","passed",1614,"2025-09-03T09:35:22.636Z","03. 09. 2025 11:35"
"Restore folder with file without template - action button @high @middle @low","Downloads the first uploaded file and checks its contents","passed",12016,"2025-09-03T09:35:34.869Z","03. 09. 2025 11:35"
"Restore folder with file without template - action button @high @middle @low","Deletes the created folder without template","passed",6983,"2025-09-03T09:35:42.555Z","03. 09. 2025 11:35"
"Restore folder with file without template - action button @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",1242,"2025-09-03T09:35:44.081Z","03. 09. 2025 11:35"
"Restore folder with file without template - action button @high @middle @low","Restore created folder with action button","passed",4504,"2025-09-03T09:35:48.836Z","03. 09. 2025 11:35"
"Restore folder with file without template - action button @high @middle @low","Verifies that folder restoration is recorded in the change history","passed",1016,"2025-09-03T09:35:50.078Z","03. 09. 2025 11:35"
"Restore folder with file without template - action button @high @middle @low","Folder was restored and can be opened","passed",6202,"2025-09-03T09:35:56.378Z","03. 09. 2025 11:35"
"Restore folder with file without template - action button @high @middle @low","File in restored folder is not corrupted and can be downloaded again","passed",6913,"2025-09-03T09:36:03.394Z","03. 09. 2025 11:36"
"Restore folder with file without template - action button @high @middle @low","Deletes the created folder without template","passed",3045,"2025-09-03T09:36:06.608Z","03. 09. 2025 11:36"
"Restore folder with file without template - action button @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",890,"2025-09-03T09:36:07.863Z","03. 09. 2025 11:36"
"Restore folder with file without template - action button @high @middle @low","Delete created folder in trash","passed",2938,"2025-09-03T09:36:10.907Z","03. 09. 2025 11:36"
"Restore folder with file without template - bulk action @high @middle @low","Create folder without template","passed",12996,"2025-09-03T09:36:25.935Z","03. 09. 2025 11:36"
"Restore folder with file without template - bulk action @high @middle @low","Verifies that folder creation is recorded in the change history","passed",818,"2025-09-03T09:36:26.869Z","03. 09. 2025 11:36"
"Restore folder with file without template - bulk action @high @middle @low","Uploads the first file into the created folder","passed",5072,"2025-09-03T09:36:31.993Z","03. 09. 2025 11:36"
"Restore folder with file without template - bulk action @high @middle @low","Verifies that the upload of the first file is recorded in the history","passed",879,"2025-09-03T09:36:33.164Z","03. 09. 2025 11:36"
"Restore folder with file without template - bulk action @high @middle @low","Downloads the first uploaded file and checks its contents","passed",8105,"2025-09-03T09:36:41.335Z","03. 09. 2025 11:36"
