# Spuštění testů po opravě vylepšení 27 testy jsou funkční
"describe","test","status","duration","timestamp","timestampLocal"
"Registration test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",12341,"2025-06-30T07:39:21.695Z","30. 06. 2025 09:39"
"Registration test company @high @middle @low","Registration company","passed",13169,"2025-06-30T07:39:34.921Z","30. 06. 2025 09:39"
"Invite user in company @high @middle @low","Send invitation to the user","passed",11453,"2025-06-30T07:39:47.211Z","30. 06. 2025 09:39"
"Invite user in company @high @middle @low","Accept invitation","passed",28943,"2025-06-30T07:40:16.185Z","30. 06. 2025 09:40"
"Restore file to folder without template - action button @high @middle @low","Creates a new DMS folder for file uploads without template","passed",24114,"2025-06-30T07:40:41.248Z","30. 06. 2025 09:40"
"Restore file to folder without template - action button @high @middle @low","Verifies that created folder is recorded in the history","passed",2188,"2025-06-30T07:40:43.518Z","30. 06. 2025 09:40"
"Restore file to folder without template - action button @high @middle @low","Uploads the first file into the created folder","passed",8479,"2025-06-30T07:40:52.052Z","30. 06. 2025 09:40"
"Restore file to folder without template - action button @high @middle @low","Verifies that the upload of the first file is recorded in the history","passed",883,"2025-06-30T07:40:53.004Z","30. 06. 2025 09:40"
"Restore file to folder without template - action button @high @middle @low","Downloads the first uploaded file and checks its contents","passed",9241,"2025-06-30T07:41:02.261Z","30. 06. 2025 09:41"
"Restore file to folder without template - action button @high @middle @low","Deletes the file in created without template","passed",7070,"2025-06-30T07:41:09.390Z","30. 06. 2025 09:41"
"Restore file to folder without template - action button @high @middle @low","Restore created file with action button","passed",2642,"2025-06-30T07:41:12.098Z","30. 06. 2025 09:41"
"Restore file to folder without template - action button @high @middle @low","Download the restored files","passed",8085,"2025-06-30T07:41:20.201Z","30. 06. 2025 09:41"
"Restore file to folder without template - action button @high @middle @low","Deletes the created folder without template","passed",4405,"2025-06-30T07:41:24.668Z","30. 06. 2025 09:41"
"Restore file to folder without template - action button @high @middle @low","Delete created folder in trash","passed",2940,"2025-06-30T07:41:27.680Z","30. 06. 2025 09:41"
"Restore file to folder without template - bulk action @high @middle @low","Creates a new DMS folder for file uploads without template","passed",11361,"2025-06-30T07:41:39.095Z","30. 06. 2025 09:41"
"Restore file to folder without template - bulk action @high @middle @low","Verifies that created folder is recorded in the history","passed",1139,"2025-06-30T07:41:40.307Z","30. 06. 2025 09:41"
"Restore file to folder without template - bulk action @high @middle @low","Uploads the first file into the created folder","passed",7961,"2025-06-30T07:41:48.307Z","30. 06. 2025 09:41"
"Restore file to folder without template - bulk action @high @middle @low","Verifies that the upload of the first file is recorded in the history","passed",960,"2025-06-30T07:41:49.363Z","30. 06. 2025 09:41"
"Restore file to folder without template - bulk action @high @middle @low","Downloads the first uploaded file and checks its contents","passed",9216,"2025-06-30T07:41:58.591Z","30. 06. 2025 09:41"
"Restore file to folder without template - bulk action @high @middle @low","Deletes the file in created without template","passed",6186,"2025-06-30T07:42:04.848Z","30. 06. 2025 09:42"
"Restore file to folder without template - bulk action @high @middle @low","Restore created file with bulk action","passed",3205,"2025-06-30T07:42:08.117Z","30. 06. 2025 09:42"
"Restore file to folder without template - bulk action @high @middle @low","Download the restored files","passed",8320,"2025-06-30T07:42:16.456Z","30. 06. 2025 09:42"
"Restore file to folder without template - bulk action @high @middle @low","Deletes the created folder without template","passed",3978,"2025-06-30T07:42:20.491Z","30. 06. 2025 09:42"
"Restore file to folder without template - bulk action @high @middle @low","Delete created folder in trash","passed",3307,"2025-06-30T07:42:23.872Z","30. 06. 2025 09:42"
"Restore file to folder with template - action button @high @middle @low","Creates a new DMS folder for file uploads with template","passed",16056,"2025-06-30T07:42:40.891Z","30. 06. 2025 09:42"
"Restore file to folder with template - action button @high @middle @low","Verifies that folder creation is recorded in the change history","passed",1609,"2025-06-30T07:42:42.578Z","30. 06. 2025 09:42"
"Restore file to folder with template - action button @high @middle @low","Uploads the first file into the created folder","passed",7391,"2025-06-30T07:42:50.011Z","30. 06. 2025 09:42"
"Restore file to folder with template - action button @high @middle @low","Verifies that the upload of the first file is recorded in the history","passed",813,"2025-06-30T07:42:50.900Z","30. 06. 2025 09:42"
"Restore file to folder with template - action button @high @middle @low","Downloads the first uploaded file and checks its contents","passed",9394,"2025-06-30T07:43:00.308Z","30. 06. 2025 09:43"
"Restore file to folder with template - action button @high @middle @low","Deletes the file in created with template","passed",6586,"2025-06-30T07:43:06.958Z","30. 06. 2025 09:43"
"Restore file to folder with template - action button @high @middle @low","Restore created file with action button","passed",2720,"2025-06-30T07:43:09.749Z","30. 06. 2025 09:43"
"Restore file to folder with template - action button @high @middle @low","Restored file still have template","passed",5488,"2025-06-30T07:43:15.288Z","30. 06. 2025 09:43"
"Restore file to folder with template - action button @high @middle @low","Download the restored files","passed",8996,"2025-06-30T07:43:24.342Z","30. 06. 2025 09:43"
"Restore file to folder with template - action button @high @middle @low","Deletes the created folder without template","passed",4606,"2025-06-30T07:43:29.010Z","30. 06. 2025 09:43"
"Restore file to folder with template - action button @high @middle @low","Delete created folder in trash","passed",2898,"2025-06-30T07:43:31.985Z","30. 06. 2025 09:43"
"Restore file to folder with template - bulk action @high @middle @low","Creates a new DMS folder for file uploads with template","passed",11107,"2025-06-30T07:43:43.155Z","30. 06. 2025 09:43"
"Restore file to folder with template - bulk action @high @middle @low","Verifies that folder creation is recorded in the change history","passed",1970,"2025-06-30T07:43:45.197Z","30. 06. 2025 09:43"
"Restore file to folder with template - bulk action @high @middle @low","Uploads the first file into the created folder","passed",7571,"2025-06-30T07:43:52.814Z","30. 06. 2025 09:43"
"Restore file to folder with template - bulk action @high @middle @low","Verifies that the upload of the first file is recorded in the history","passed",1032,"2025-06-30T07:43:53.926Z","30. 06. 2025 09:43"
"Restore file to folder with template - bulk action @high @middle @low","Downloads the first uploaded file and checks its contents","passed",8795,"2025-06-30T07:44:02.740Z","30. 06. 2025 09:44"
"Restore file to folder with template - bulk action @high @middle @low","Deletes the file in created with template","passed",7231,"2025-06-30T07:44:10.027Z","30. 06. 2025 09:44"
"Restore file to folder with template - bulk action @high @middle @low","Restore created file with bulk action","passed",3002,"2025-06-30T07:44:13.093Z","30. 06. 2025 09:44"
"Restore file to folder with template - bulk action @high @middle @low","Restored file still have template","passed",5502,"2025-06-30T07:44:18.633Z","30. 06. 2025 09:44"
"Restore file to folder with template - bulk action @high @middle @low","Download the restored files","passed",8959,"2025-06-30T07:44:27.649Z","30. 06. 2025 09:44"
"Restore file to folder with template - bulk action @high @middle @low","Deletes the created folder with template","passed",4508,"2025-06-30T07:44:32.218Z","30. 06. 2025 09:44"
"Restore file to folder with template - bulk action @high @middle @low","Delete created folder in trash","passed",2914,"2025-06-30T07:44:35.218Z","30. 06. 2025 09:44"
"Restore file to folder without template to another location - action button @high @middle @low","Creates a new DMS folder for file uploads without template","passed",17066,"2025-06-30T07:44:53.304Z","30. 06. 2025 09:44"
"Restore file to folder without template to another location - action button @high @middle @low","Verifies that created folder is recorded in the history","passed",1587,"2025-06-30T07:44:54.971Z","30. 06. 2025 09:44"
"Restore file to folder without template to another location - action button @high @middle @low","Uploads the first file into the created folder","passed",7575,"2025-06-30T07:45:02.588Z","30. 06. 2025 09:45"
"Restore file to folder without template to another location - action button @high @middle @low","Verifies that the upload of the first file is recorded in the history","passed",853,"2025-06-30T07:45:03.521Z","30. 06. 2025 09:45"
"Restore file to folder without template to another location - action button @high @middle @low","Downloads the first uploaded file and checks its contents","passed",9451,"2025-06-30T07:45:12.989Z","30. 06. 2025 09:45"
"Restore file to folder without template to another location - action button @high @middle @low","Deletes the file in created folder without template","passed",6708,"2025-06-30T07:45:19.789Z","30. 06. 2025 09:45"
"Restore file to folder without template to another location - action button @high @middle @low","Restore created file to another location with action button","passed",3147,"2025-06-30T07:45:23.005Z","30. 06. 2025 09:45"
"Restore file to folder without template to another location - action button @high @middle @low","Download the restored files","passed",11714,"2025-06-30T07:45:34.739Z","30. 06. 2025 09:45"
"Restore file to folder without template to another location - action button @high @middle @low","File inside restored folder have template","passed",8245,"2025-06-30T07:45:43.062Z","30. 06. 2025 09:45"
"Restore file to folder without template to another location - action button @high @middle @low","Deletes the created folder without template","passed",5155,"2025-06-30T07:45:48.306Z","30. 06. 2025 09:45"
"Restore file to folder without template to another location - action button @high @middle @low","Deletes the restored file","passed",9677,"2025-06-30T07:45:58.048Z","30. 06. 2025 09:45"
"Restore file to folder without template to another location - action button @high @middle @low","Delete created folder in trash","passed",2927,"2025-06-30T07:46:01.054Z","30. 06. 2025 09:46"
"Restore file to folder without template to another location - bulk action @high @middle @low","Creates a new DMS folder for file uploads without template","passed",11328,"2025-06-30T07:46:12.431Z","30. 06. 2025 09:46"
"Restore file to folder without template to another location - bulk action @high @middle @low","Verifies that created folder is recorded in the history","passed",1580,"2025-06-30T07:46:14.081Z","30. 06. 2025 09:46"
"Restore file to folder without template to another location - bulk action @high @middle @low","Uploads the first file into the created folder","passed",7594,"2025-06-30T07:46:21.720Z","30. 06. 2025 09:46"
"Restore file to folder without template to another location - bulk action @high @middle @low","Verifies that the upload of the first file is recorded in the history","passed",886,"2025-06-30T07:46:22.685Z","30. 06. 2025 09:46"
