# Oprava číselných řad, kdy se nám po úpravě nahrávání souborů nahráli dvě stejná čísla do složky
"describe","test","status","duration","timestamp","timestampLocal"
"Registration test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",12254,"2025-07-02T13:05:52.116Z","02. 07. 2025 15:05"
"Registration test company @high @middle @low","Registration company","passed",13007,"2025-07-02T13:06:05.157Z","02. 07. 2025 15:06"
"Invite user in company @high @middle @low","Send invitation to the user","passed",10988,"2025-07-02T13:06:16.946Z","02. 07. 2025 15:06"
"Invite user in company @high @middle @low","Accept invitation","passed",7006,"2025-07-02T13:06:23.983Z","02. 07. 2025 15:06"
"Restore file to folder without template - action button @high @middle @low","Creates a new DMS folder for file uploads without template","passed",16379,"2025-07-02T13:06:41.364Z","02. 07. 2025 15:06"
"Restore file to folder without template - action button @high @middle @low","Verifies that created folder is recorded in the history","passed",1386,"2025-07-02T13:06:42.853Z","02. 07. 2025 15:06"
"Restore file to folder without template - action button @high @middle @low","Uploads the first file into the created folder","passed",7488,"2025-07-02T13:06:50.388Z","02. 07. 2025 15:06"
"Restore file to folder without template - action button @high @middle @low","Verifies that the upload of the first file is recorded in the history","passed",866,"2025-07-02T13:06:51.328Z","02. 07. 2025 15:06"
"Restore file to folder without template - action button @high @middle @low","Downloads the first uploaded file and checks its contents","passed",8589,"2025-07-02T13:06:59.934Z","02. 07. 2025 15:06"
"Restore file to folder without template - action button @high @middle @low","Deletes the file in created without template","passed",6277,"2025-07-02T13:07:06.270Z","02. 07. 2025 15:07"
"Restore file to folder without template - action button @high @middle @low","Restore created file with action button","passed",2579,"2025-07-02T13:07:08.916Z","02. 07. 2025 15:07"
"Restore file to folder without template - action button @high @middle @low","Download the restored files","passed",7952,"2025-07-02T13:07:16.885Z","02. 07. 2025 15:07"
"Restore file to folder without template - action button @high @middle @low","Deletes the created folder without template","passed",4306,"2025-07-02T13:07:21.247Z","02. 07. 2025 15:07"
"Restore file to folder without template - action button @high @middle @low","Delete created folder in trash","passed",2718,"2025-07-02T13:07:24.038Z","02. 07. 2025 15:07"
"Restore file to folder without template - bulk action @high @middle @low","Creates a new DMS folder for file uploads without template","passed",11170,"2025-07-02T13:07:35.256Z","02. 07. 2025 15:07"
"Restore file to folder without template - bulk action @high @middle @low","Verifies that created folder is recorded in the history","passed",1215,"2025-07-02T13:07:36.543Z","02. 07. 2025 15:07"
"Restore file to folder without template - bulk action @high @middle @low","Uploads the first file into the created folder","passed",6624,"2025-07-02T13:07:43.214Z","02. 07. 2025 15:07"
"Restore file to folder without template - bulk action @high @middle @low","Verifies that the upload of the first file is recorded in the history","passed",1112,"2025-07-02T13:07:44.393Z","02. 07. 2025 15:07"
"Restore file to folder without template - bulk action @high @middle @low","Downloads the first uploaded file and checks its contents","passed",8935,"2025-07-02T13:07:53.348Z","02. 07. 2025 15:07"
"Restore file to folder without template - bulk action @high @middle @low","Deletes the file in created without template","passed",6060,"2025-07-02T13:07:59.465Z","02. 07. 2025 15:07"
"Restore file to folder without template - bulk action @high @middle @low","Restore created file with bulk action","passed",2658,"2025-07-02T13:08:02.187Z","02. 07. 2025 15:08"
"Restore file to folder without template - bulk action @high @middle @low","Download the restored files","passed",8113,"2025-07-02T13:08:10.320Z","02. 07. 2025 15:08"
"Restore file to folder without template - bulk action @high @middle @low","Deletes the created folder without template","passed",3849,"2025-07-02T13:08:14.229Z","02. 07. 2025 15:08"
"Restore file to folder without template - bulk action @high @middle @low","Delete created folder in trash","passed",3070,"2025-07-02T13:08:17.377Z","02. 07. 2025 15:08"
"Restore file to folder with template - action button @high @middle @low","Creates a new DMS folder for file uploads with template","passed",16130,"2025-07-02T13:08:34.461Z","02. 07. 2025 15:08"
"Restore file to folder with template - action button @high @middle @low","Verifies that folder creation is recorded in the change history","passed",1537,"2025-07-02T13:08:36.076Z","02. 07. 2025 15:08"
"Restore file to folder with template - action button @high @middle @low","Uploads the first file into the created folder","passed",7301,"2025-07-02T13:08:43.430Z","02. 07. 2025 15:08"
"Restore file to folder with template - action button @high @middle @low","Verifies that the upload of the first file is recorded in the history","passed",810,"2025-07-02T13:08:44.319Z","02. 07. 2025 15:08"
"Restore file to folder with template - action button @high @middle @low","Downloads the first uploaded file and checks its contents","passed",8987,"2025-07-02T13:08:53.323Z","02. 07. 2025 15:08"
"Restore file to folder with template - action button @high @middle @low","Deletes the file in created with template","passed",5767,"2025-07-02T13:08:59.147Z","02. 07. 2025 15:08"
"Restore file to folder with template - action button @high @middle @low","Restore created file with action button","passed",2982,"2025-07-02T13:09:02.196Z","02. 07. 2025 15:09"
"Restore file to folder with template - action button @high @middle @low","Restored file still have template","passed",4979,"2025-07-02T13:09:07.208Z","02. 07. 2025 15:09"
"Restore file to folder with template - action button @high @middle @low","Download the restored files","passed",8703,"2025-07-02T13:09:15.967Z","02. 07. 2025 15:09"
"Restore file to folder with template - action button @high @middle @low","Deletes the created folder without template","passed",4306,"2025-07-02T13:09:20.338Z","02. 07. 2025 15:09"
"Restore file to folder with template - action button @high @middle @low","Delete created folder in trash","passed",2931,"2025-07-02T13:09:23.350Z","02. 07. 2025 15:09"
"Restore file to folder with template - bulk action @high @middle @low","Creates a new DMS folder for file uploads with template","passed",10742,"2025-07-02T13:09:34.144Z","02. 07. 2025 15:09"
"Restore file to folder with template - bulk action @high @middle @low","Verifies that folder creation is recorded in the change history","passed",1478,"2025-07-02T13:09:35.693Z","02. 07. 2025 15:09"
