# Spuštění testů DMS po úpravě řazení v DMS
"describe","test","status","duration","timestamp","timestampLocal"
"Registration test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",12962,"2025-07-09T07:44:05.768Z","09. 07. 2025 09:44"
"Registration test company @high @middle @low","Registration company","passed",12792,"2025-07-09T07:44:18.609Z","09. 07. 2025 09:44"
"Invite user in company @high @middle @low","Send invitation to the user","passed",11016,"2025-07-09T07:44:30.417Z","09. 07. 2025 09:44"
"Invite user in company @high @middle @low","Accept invitation","passed",7237,"2025-07-09T07:44:37.678Z","09. 07. 2025 09:44"
"Restore file to folder without template - action button @high @middle @low","Creates a new DMS folder for file uploads without template","passed",16616,"2025-07-09T07:44:55.223Z","09. 07. 2025 09:44"
"Restore file to folder without template - action button @high @middle @low","Verifies that created folder is recorded in the history","passed",1452,"2025-07-09T07:44:56.757Z","09. 07. 2025 09:44"
"Restore file to folder without template - action button @high @middle @low","Uploads the first file into the created folder","passed",7207,"2025-07-09T07:45:04.024Z","09. 07. 2025 09:45"
"Restore file to folder without template - action button @high @middle @low","Verifies that the upload of the first file is recorded in the history","passed",1100,"2025-07-09T07:45:05.209Z","09. 07. 2025 09:45"
"Restore file to folder without template - action button @high @middle @low","Downloads the first uploaded file and checks its contents","passed",8753,"2025-07-09T07:45:13.987Z","09. 07. 2025 09:45"
"Restore file to folder without template - action button @high @middle @low","Deletes the file in created without template","passed",6352,"2025-07-09T07:45:20.401Z","09. 07. 2025 09:45"
"Restore file to folder without template - action button @high @middle @low","Restore created file with action button","passed",2880,"2025-07-09T07:45:23.349Z","09. 07. 2025 09:45"
"Restore file to folder without template - action button @high @middle @low","Download the restored files","passed",7972,"2025-07-09T07:45:31.340Z","09. 07. 2025 09:45"
"Restore file to folder without template - action button @high @middle @low","Deletes the created folder without template","passed",4958,"2025-07-09T07:45:36.352Z","09. 07. 2025 09:45"
"Restore file to folder without template - action button @high @middle @low","Delete created folder in trash","passed",2967,"2025-07-09T07:45:39.392Z","09. 07. 2025 09:45"
