# Testy spuštěné po převodu na server - vše funguje
"describe","test","status","duration","timestamp","timestampLocal"
"Registration test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",11860,"2025-07-24T13:16:37.509Z","24. 07. 2025 15:16"
"Registration test company @high @middle @low","Registration company","passed",14091,"2025-07-24T13:16:51.738Z","24. 07. 2025 15:16"
"Restore file to folder without template - action button @high @middle @low","Creates a new DMS folder for file uploads without template","passed",14656,"2025-07-24T13:17:08.278Z","24. 07. 2025 15:17"
"Restore file to folder without template - action button @high @middle @low","Verifies that created folder is recorded in the history","passed",751,"2025-07-24T13:17:09.296Z","24. 07. 2025 15:17"
"Restore file to folder without template - action button @high @middle @low","Uploads the first file into the created folder","passed",6059,"2025-07-24T13:17:15.560Z","24. 07. 2025 15:17"
"Restore file to folder without template - action button @high @middle @low","Verifies that the upload of the first file is recorded in the history","passed",1317,"2025-07-24T13:17:17.231Z","24. 07. 2025 15:17"
"Restore file to folder without template - action button @high @middle @low","Downloads the first uploaded file and checks its contents","passed",8615,"2025-07-24T13:17:25.958Z","24. 07. 2025 15:17"
"Restore file to folder without template - action button @high @middle @low","Deletes the file in created without template","passed",4774,"2025-07-24T13:17:31.087Z","24. 07. 2025 15:17"
"Restore file to folder without template - action button @high @middle @low","Restore created file with action button","passed",2536,"2025-07-24T13:17:34.686Z","24. 07. 2025 15:17"
"Restore file to folder without template - action button @high @middle @low","Download the restored files","passed",8020,"2025-07-24T13:17:42.829Z","24. 07. 2025 15:17"
"Restore file to folder without template - action button @high @middle @low","Deletes the created folder without template","passed",4752,"2025-07-24T13:17:47.939Z","24. 07. 2025 15:17"
"Restore file to folder without template - action button @high @middle @low","Delete created folder in trash","passed",2617,"2025-07-24T13:17:50.964Z","24. 07. 2025 15:17"
"Restore file to folder without template - bulk action @high @middle @low","Creates a new DMS folder for file uploads without template","passed",9891,"2025-07-24T13:18:01.262Z","24. 07. 2025 15:18"
"Restore file to folder without template - bulk action @high @middle @low","Verifies that created folder is recorded in the history","passed",1256,"2025-07-24T13:18:03.062Z","24. 07. 2025 15:18"
"Restore file to folder without template - bulk action @high @middle @low","Uploads the first file into the created folder","passed",6935,"2025-07-24T13:18:10.283Z","24. 07. 2025 15:18"
"Restore file to folder without template - bulk action @high @middle @low","Verifies that the upload of the first file is recorded in the history","passed",851,"2025-07-24T13:18:11.451Z","24. 07. 2025 15:18"
"Restore file to folder without template - bulk action @high @middle @low","Downloads the first uploaded file and checks its contents","passed",12885,"2025-07-24T13:18:24.414Z","24. 07. 2025 15:18"
"Restore file to folder without template - bulk action @high @middle @low","Deletes the file in created without template","passed",12944,"2025-07-24T13:18:38.236Z","24. 07. 2025 15:18"
"Restore file to folder without template - bulk action @high @middle @low","Restore created file with bulk action","passed",3780,"2025-07-24T13:18:42.804Z","24. 07. 2025 15:18"
"Restore file to folder without template - bulk action @high @middle @low","Download the restored files","passed",12797,"2025-07-24T13:18:55.983Z","24. 07. 2025 15:18"
"Restore file to folder without template - bulk action @high @middle @low","Deletes the created folder without template","passed",6626,"2025-07-24T13:19:03.291Z","24. 07. 2025 15:19"
"Restore file to folder without template - bulk action @high @middle @low","Delete created folder in trash","passed",5185,"2025-07-24T13:19:09.374Z","24. 07. 2025 15:19"
"Restore file to folder with template - action button @high @middle @low","Creates a new DMS folder for file uploads with template","passed",27522,"2025-07-24T13:19:43.761Z","24. 07. 2025 15:19"
"Restore file to folder with template - action button @high @middle @low","Verifies that folder creation is recorded in the change history","passed",1440,"2025-07-24T13:19:46.159Z","24. 07. 2025 15:19"
"Restore file to folder with template - action button @high @middle @low","Uploads the first file into the created folder","passed",7349,"2025-07-24T13:19:53.804Z","24. 07. 2025 15:19"
"Restore file to folder with template - action button @high @middle @low","Verifies that the upload of the first file is recorded in the history","passed",1057,"2025-07-24T13:19:55.274Z","24. 07. 2025 15:19"
"Restore file to folder with template - action button @high @middle @low","Downloads the first uploaded file and checks its contents","passed",10328,"2025-07-24T13:20:05.793Z","24. 07. 2025 15:20"
"Restore file to folder with template - action button @high @middle @low","Deletes the file in created with template","passed",5538,"2025-07-24T13:20:11.821Z","24. 07. 2025 15:20"
"Restore file to folder with template - action button @high @middle @low","Restore created file with action button","passed",2471,"2025-07-24T13:20:14.658Z","24. 07. 2025 15:20"
"Restore file to folder with template - action button @high @middle @low","Restored file still have template","passed",5956,"2025-07-24T13:20:20.780Z","24. 07. 2025 15:20"
"Restore file to folder with template - action button @high @middle @low","Download the restored files","passed",11548,"2025-07-24T13:20:32.716Z","24. 07. 2025 15:20"
"Restore file to folder with template - action button @high @middle @low","Deletes the created folder without template","passed",5249,"2025-07-24T13:20:38.510Z","24. 07. 2025 15:20"
"Restore file to folder with template - action button @high @middle @low","Delete created folder in trash","passed",2127,"2025-07-24T13:20:40.975Z","24. 07. 2025 15:20"
"Restore file to folder with template - bulk action @high @middle @low","Creates a new DMS folder for file uploads with template","passed",11280,"2025-07-24T13:20:52.513Z","24. 07. 2025 15:20"
"Restore file to folder with template - bulk action @high @middle @low","Verifies that folder creation is recorded in the change history","passed",978,"2025-07-24T13:20:53.906Z","24. 07. 2025 15:20"
"Restore file to folder with template - bulk action @high @middle @low","Uploads the first file into the created folder","passed",6214,"2025-07-24T13:21:00.315Z","24. 07. 2025 15:21"
"Restore file to folder with template - bulk action @high @middle @low","Verifies that the upload of the first file is recorded in the history","passed",1152,"2025-07-24T13:21:02.152Z","24. 07. 2025 15:21"
"Restore file to folder with template - bulk action @high @middle @low","Downloads the first uploaded file and checks its contents","passed",14677,"2025-07-24T13:21:16.986Z","24. 07. 2025 15:21"
"Restore file to folder with template - bulk action @high @middle @low","Deletes the file in created with template","passed",13722,"2025-07-24T13:21:31.508Z","24. 07. 2025 15:21"
"Restore file to folder with template - bulk action @high @middle @low","Restore created file with bulk action","passed",3830,"2025-07-24T13:21:35.897Z","24. 07. 2025 15:21"
"Restore file to folder with template - bulk action @high @middle @low","Restored file still have template","passed",6480,"2025-07-24T13:21:42.659Z","24. 07. 2025 15:21"
"Restore file to folder with template - bulk action @high @middle @low","Download the restored files","passed",15599,"2025-07-24T13:21:58.551Z","24. 07. 2025 15:21"
"Restore file to folder with template - bulk action @high @middle @low","Deletes the created folder with template","passed",5152,"2025-07-24T13:22:04.195Z","24. 07. 2025 15:22"
"Restore file to folder with template - bulk action @high @middle @low","Delete created folder in trash","passed",4249,"2025-07-24T13:22:09.385Z","24. 07. 2025 15:22"
"Restore file to folder without template to another location - action button @high @middle @low","Creates a new DMS folder for file uploads without template","passed",22354,"2025-07-24T13:22:36.489Z","24. 07. 2025 15:22"
"Restore file to folder without template to another location - action button @high @middle @low","Verifies that created folder is recorded in the history","passed",1847,"2025-07-24T13:22:39.027Z","24. 07. 2025 15:22"
"Restore file to folder without template to another location - action button @high @middle @low","Uploads the first file into the created folder","passed",4980,"2025-07-24T13:22:44.744Z","24. 07. 2025 15:22"
"Restore file to folder without template to another location - action button @high @middle @low","Verifies that the upload of the first file is recorded in the history","passed",1217,"2025-07-24T13:22:46.563Z","24. 07. 2025 15:22"
"Restore file to folder without template to another location - action button @high @middle @low","Downloads the first uploaded file and checks its contents","passed",7439,"2025-07-24T13:22:54.091Z","24. 07. 2025 15:22"
"Restore file to folder without template to another location - action button @high @middle @low","Deletes the file in created folder without template","passed",4888,"2025-07-24T13:22:59.310Z","24. 07. 2025 15:22"
"Restore file to folder without template to another location - action button @high @middle @low","Restore created file to another location with action button","passed",3348,"2025-07-24T13:23:02.994Z","24. 07. 2025 15:23"
"Restore file to folder without template to another location - action button @high @middle @low","Download the restored files","passed",12263,"2025-07-24T13:23:15.384Z","24. 07. 2025 15:23"
"Restore file to folder without template to another location - action button @high @middle @low","File inside restored folder have template","passed",11149,"2025-07-24T13:23:27.014Z","24. 07. 2025 15:23"
"Restore file to folder without template to another location - action button @high @middle @low","Deletes the created folder without template","passed",3919,"2025-07-24T13:23:31.451Z","24. 07. 2025 15:23"
"Restore file to folder without template to another location - action button @high @middle @low","Deletes the restored file","passed",8086,"2025-07-24T13:23:39.979Z","24. 07. 2025 15:23"
"Restore file to folder without template to another location - action button @high @middle @low","Delete created folder in trash","passed",2054,"2025-07-24T13:23:42.467Z","24. 07. 2025 15:23"
"Restore file to folder without template to another location - bulk action @high @middle @low","Creates a new DMS folder for file uploads without template","passed",9606,"2025-07-24T13:23:52.193Z","24. 07. 2025 15:23"
