"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9574","Deletes the restored file","","Sat Jun 28 08:56:13 CEST 2025","passed","Sat Jun 28 08:56:22 CEST 2025","","Restore file to folder with template to another location - bulk action @high @middle @low","",""
"","1510","Verifies that the upload of the first file is recorded in the history","","Sat Jun 28 08:55:24 CEST 2025","passed","Sat Jun 28 08:55:26 CEST 2025","","Restore file to folder with template to another location - bulk action @high @middle @low","",""
"","2604","Restore created file to another location with action button","","Sat Jun 28 08:54:14 CEST 2025","passed","Sat Jun 28 08:54:16 CEST 2025","","Restore file to folder with template to another location - action button @high @middle @low","",""
"","16158","Repeatedly checks and deletes companies until none remain","","Sat Jun 28 08:45:09 CEST 2025","passed","Sat Jun 28 08:45:25 CEST 2025","","Registration test company @high @middle @low","",""
"","2325","Verifies that created folder is recorded in the history","","Sat Jun 28 08:55:10 CEST 2025","passed","Sat Jun 28 08:55:12 CEST 2025","","Restore file to folder with template to another location - bulk action @high @middle @low","",""
"","11095","Creates a new DMS folder for file uploads without template","","Sat Jun 28 08:51:56 CEST 2025","passed","Sat Jun 28 08:52:07 CEST 2025","","Restore file to folder without template to another location - bulk action @high @middle @low","",""
"","11424","Download the restored files","","Sat Jun 28 08:55:45 CEST 2025","passed","Sat Jun 28 08:55:56 CEST 2025","","Restore file to folder with template to another location - bulk action @high @middle @low","",""
"","3326","Restore created file with bulk action","","Sat Jun 28 08:49:54 CEST 2025","passed","Sat Jun 28 08:49:57 CEST 2025","","Restore file to folder with template - bulk action @high @middle @low","",""
"","6083","Deletes the file in created without template","","Sat Jun 28 08:47:30 CEST 2025","passed","Sat Jun 28 08:47:36 CEST 2025","","Restore file to folder without template - bulk action @high @middle @low","",""
"","13718","Registration company","","Sat Jun 28 08:45:25 CEST 2025","passed","Sat Jun 28 08:45:39 CEST 2025","","Registration test company @high @middle @low","",""
"","12384","File inside restored folder have template","","Sat Jun 28 08:55:56 CEST 2025","failed","Sat Jun 28 08:56:09 CEST 2025","","Restore file to folder with template to another location - bulk action @high @middle @low","",""
"","2091","Verifies that folder creation is recorded in the change history","","Sat Jun 28 08:49:22 CEST 2025","passed","Sat Jun 28 08:49:24 CEST 2025","","Restore file to folder with template - bulk action @high @middle @low","",""
"","7036","Accept invitation","","Sat Jun 28 08:45:52 CEST 2025","passed","Sat Jun 28 08:45:59 CEST 2025","","Invite user in company @high @middle @low","",""
"","6316","Deletes the file in created folder with template","","Sat Jun 28 08:55:35 CEST 2025","passed","Sat Jun 28 08:55:42 CEST 2025","","Restore file to folder with template to another location - bulk action @high @middle @low","",""
"","2504","Restore created file with action button","","Sat Jun 28 08:48:41 CEST 2025","passed","Sat Jun 28 08:48:43 CEST 2025","","Restore file to folder with template - action button @high @middle @low","",""
"","9148","Downloads the first uploaded file and checks its contents","","Sat Jun 28 08:55:26 CEST 2025","passed","Sat Jun 28 08:55:35 CEST 2025","","Restore file to folder with template to another location - bulk action @high @middle @low","",""
"","9294","Restored file still have template","","Sat Jun 28 08:49:57 CEST 2025","failed","Sat Jun 28 08:50:07 CEST 2025","","Restore file to folder with template - bulk action @high @middle @low","",""
"","6051","Send invitation to the user","","Sat Jun 28 08:45:46 CEST 2025","passed","Sat Jun 28 08:45:52 CEST 2025","","Invite user in company @high @middle @low","",""
"","3784","Deletes the created folder with template","","Sat Jun 28 08:56:09 CEST 2025","passed","Sat Jun 28 08:56:12 CEST 2025","","Restore file to folder with template to another location - bulk action @high @middle @low","",""
"","6493","Deletes the file in created folder without template","","Sat Jun 28 08:52:26 CEST 2025","passed","Sat Jun 28 08:52:33 CEST 2025","","Restore file to folder without template to another location - bulk action @high @middle @low","",""
"","4762","Deletes the created folder without template","","Sat Jun 28 08:53:02 CEST 2025","passed","Sat Jun 28 08:53:07 CEST 2025","","Restore file to folder without template to another location - bulk action @high @middle @low","",""
"","6501","Deletes the file in created with template","","Sat Jun 28 08:49:48 CEST 2025","passed","Sat Jun 28 08:49:54 CEST 2025","","Restore file to folder with template - bulk action @high @middle @low","",""
"","3005","Restore created file to another location with bulk action","","Sat Jun 28 08:55:42 CEST 2025","passed","Sat Jun 28 08:55:45 CEST 2025","","Restore file to folder with template to another location - bulk action @high @middle @low","",""
"","11010","Creates a new DMS folder for file uploads with template","","Sat Jun 28 08:54:59 CEST 2025","passed","Sat Jun 28 08:55:10 CEST 2025","","Restore file to folder with template to another location - bulk action @high @middle @low","",""
"","18129","Delete company","","Sat Jun 28 08:56:26 CEST 2025","passed","Sat Jun 28 08:56:44 CEST 2025","","Delete company @high @middle @low","",""
"","2897","Delete created folder in trash","","Sat Jun 28 08:56:22 CEST 2025","passed","Sat Jun 28 08:56:25 CEST 2025","","Restore file to folder with template to another location - bulk action @high @middle @low","",""
"","11982","Uploads the first file into the created folder","","Sat Jun 28 08:55:12 CEST 2025","failed","Sat Jun 28 08:55:24 CEST 2025","","Restore file to folder with template to another location - bulk action @high @middle @low","",""
