#První spuštění testů na smazání dokladů v dokladujto a propisování do modulu faktury a DMS
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",12746,"2025-07-16T06:34:30.094Z","16. 07. 2025 08:34"
"Registration of a test company @high @middle @low","Registers a new company","passed",14795,"2025-07-16T06:34:44.925Z","16. 07. 2025 08:34"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",13872,"2025-07-16T06:34:59.671Z","16. 07. 2025 08:34"
"Delete invoice item in invoice module and in DMS module @high @middle @low","Delete invoice in invoice module action button delete","passed",46724,"2025-07-16T06:35:47.534Z","16. 07. 2025 08:35"
"Delete invoice item in invoice module and in DMS module @high @middle @low","Delete invoice in invoice module bulk action delete","passed",39195,"2025-07-16T06:36:26.837Z","16. 07. 2025 08:36"
"Delete invoice item in invoice module and in DMS module @high @middle @low","Delete invoice with action button in dms module","passed",30041,"2025-07-16T06:36:57.015Z","16. 07. 2025 08:36"
"Delete invoice item in invoice module and in DMS module @high @middle @low","Delete invoice with bulk action in dms module","passed",32051,"2025-07-16T06:37:29.142Z","16. 07. 2025 08:37"
"Delete invoice item in invoice module and in DMS module @high @middle @low","Invoice can be deleted in document","passed",34761,"2025-07-16T06:38:03.997Z","16. 07. 2025 08:38"
"Delete proforma item in invoice module and in DMS module @middle @low","Delete proforma in invoice module action button delete","passed",45216,"2025-07-16T06:38:50.421Z","16. 07. 2025 08:38"
"Delete proforma item in invoice module and in DMS module @middle @low","Delete proforma in invoice module bulk action delete","passed",40140,"2025-07-16T06:39:30.695Z","16. 07. 2025 08:39"
"Delete proforma item in invoice module and in DMS module @middle @low","Delete proforma with action button in dms module","passed",31683,"2025-07-16T06:40:02.513Z","16. 07. 2025 08:40"
"Delete proforma item in invoice module and in DMS module @middle @low","Delete proforma with bulk action in dms module","passed",36733,"2025-07-16T06:40:39.325Z","16. 07. 2025 08:40"
"Delete proforma item in invoice module and in DMS module @middle @low","Proforma can be deleted in document","passed",38039,"2025-07-16T06:41:17.451Z","16. 07. 2025 08:41"
"Delete proforma deposit final invoice in invoice module @high @middle @low","Delete proforma deposit final invoice in invoice module action button delete","passed",95120,"2025-07-16T06:42:53.738Z","16. 07. 2025 08:42"
"Delete proforma deposit final invoice in invoice module @high @middle @low","Delete proforma deposit final invoice in invoice bulk action","passed",73372,"2025-07-16T06:44:07.269Z","16. 07. 2025 08:44"
"Delete proforma deposit final invoice in invoice module @high @middle @low","Delete proforma deposit final invoice in dms module action button delete","passed",73481,"2025-07-16T06:45:22.110Z","16. 07. 2025 08:45"
"Delete proforma deposit final invoice in invoice module @high @middle @low","Delete proforma deposit final invoice in document","passed",86553,"2025-07-16T06:46:48.799Z","16. 07. 2025 08:46"
"Delete corrective in invoice module and in DMS module @high @middle @low","Delete invoice in invoice module action button delete","passed",73937,"2025-07-16T06:48:03.896Z","16. 07. 2025 08:48"
"Delete corrective in invoice module and in DMS module @high @middle @low","Delete corrective in invoice module bulk action delete","passed",61416,"2025-07-16T06:49:05.432Z","16. 07. 2025 08:49"
"Delete corrective in dms module @high @middle @low","Deletecorrective in dms module action button delete","passed",60370,"2025-07-16T06:50:07.015Z","16. 07. 2025 08:50"
"Delete corrective in dms module @high @middle @low","Delete corrective in document","passed",65596,"2025-07-16T06:51:12.720Z","16. 07. 2025 08:51"
"Smazání firmy @high @middle @low","Smazat firmu","passed",18385,"2025-07-16T06:51:31.961Z","16. 07. 2025 08:51"
