# Testy spuštěné po převodu na server - vše funguje padnul pouze jeden flaky test na smazání firmy
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",12274,"2025-07-24T13:16:37.979Z","24. 07. 2025 15:16"
"Registration of a test company @high @middle @low","Registers a new company","passed",15492,"2025-07-24T13:16:53.553Z","24. 07. 2025 15:16"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",12490,"2025-07-24T13:17:07.837Z","24. 07. 2025 15:17"
"Delete invoice item in invoice module and in DMS module @high @middle @low","Delete invoice in invoice module action button delete","passed",52511,"2025-07-24T13:18:03.567Z","24. 07. 2025 15:18"
"Delete invoice item in invoice module and in DMS module @high @middle @low","Delete invoice in invoice module bulk action delete","passed",65570,"2025-07-24T13:19:09.811Z","24. 07. 2025 15:19"
"Delete invoice item in invoice module and in DMS module @high @middle @low","Delete invoice with action button in dms module","passed",46277,"2025-07-24T13:19:57.738Z","24. 07. 2025 15:19"
"Delete invoice item in invoice module and in DMS module @high @middle @low","Delete invoice with bulk action in dms module","passed",39553,"2025-07-24T13:20:38.099Z","24. 07. 2025 15:20"
"Delete invoice item in invoice module and in DMS module @high @middle @low","Invoice can be deleted in document","passed",53773,"2025-07-24T13:21:32.465Z","24. 07. 2025 15:21"
"Delete proforma item in invoice module and in DMS module @middle @low","Delete proforma in invoice module action button delete","passed",62386,"2025-07-24T13:22:42.631Z","24. 07. 2025 15:22"
"Delete proforma item in invoice module and in DMS module @middle @low","Delete proforma in invoice module bulk action delete","passed",42611,"2025-07-24T13:23:25.566Z","24. 07. 2025 15:23"
"Delete proforma item in invoice module and in DMS module @middle @low","Delete proforma with action button in dms module","passed",30800,"2025-07-24T13:23:57.544Z","24. 07. 2025 15:23"
"Delete proforma item in invoice module and in DMS module @middle @low","Delete proforma with bulk action in dms module","passed",44193,"2025-07-24T13:24:43.487Z","24. 07. 2025 15:24"
"Delete proforma item in invoice module and in DMS module @middle @low","Proforma can be deleted in document","passed",53297,"2025-07-24T13:25:37.431Z","24. 07. 2025 15:25"
"Delete proforma deposit final invoice in invoice module @high @middle @low","Delete proforma deposit final invoice in invoice module action button delete","passed",92504,"2025-07-24T13:27:14.782Z","24. 07. 2025 15:27"
"Delete proforma deposit final invoice in invoice module @high @middle @low","Delete proforma deposit final invoice in invoice bulk action","passed",83020,"2025-07-24T13:28:38.971Z","24. 07. 2025 15:28"
"Delete proforma deposit final invoice in invoice module @high @middle @low","Delete proforma deposit final invoice in dms module action button delete","passed",57400,"2025-07-24T13:29:40.099Z","24. 07. 2025 15:29"
"Delete proforma deposit final invoice in invoice module @high @middle @low","Delete proforma deposit final invoice in document","passed",66143,"2025-07-24T13:30:46.630Z","24. 07. 2025 15:30"
"Delete corrective in invoice module and in DMS module @high @middle @low","Delete invoice in invoice module action button delete","passed",50150,"2025-07-24T13:31:39.125Z","24. 07. 2025 15:31"
"Delete corrective in invoice module and in DMS module @high @middle @low","Delete corrective in invoice module bulk action delete","passed",42588,"2025-07-24T13:32:22.052Z","24. 07. 2025 15:32"
"Delete corrective in dms module @high @middle @low","Deletecorrective in dms module action button delete","passed",40805,"2025-07-24T13:33:05.710Z","24. 07. 2025 15:33"
"Delete corrective in dms module @high @middle @low","Delete corrective in document","passed",42633,"2025-07-24T13:33:48.555Z","24. 07. 2025 15:33"
"Smazání firmy @high @middle @low","Smazat firmu","failed",18048,"2025-07-24T13:34:07.939Z","24. 07. 2025 15:34"
