#Poslední test překazilo upozornění o nespolehlivém plátci, jinak testy fungují
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",11842,"2025-08-18T05:41:08.699Z","18. 08. 2025 07:41"
"Registration of a test company @high @middle @low","Registers a new company","passed",15647,"2025-08-18T05:41:24.395Z","18. 08. 2025 07:41"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",16088,"2025-08-18T05:41:41.442Z","18. 08. 2025 07:41"
"Delete invoice item in invoice module and in DMS module @high @middle @low","Delete invoice in invoice module action button delete","passed",36304,"2025-08-18T05:42:19.112Z","18. 08. 2025 07:42"
"Delete invoice item in invoice module and in DMS module @high @middle @low","Delete invoice in invoice module bulk action delete","passed",29722,"2025-08-18T05:42:49.011Z","18. 08. 2025 07:42"
"Delete invoice item in invoice module and in DMS module @high @middle @low","Delete invoice with action button in dms module","passed",23809,"2025-08-18T05:43:13.094Z","18. 08. 2025 07:43"
"Delete invoice item in invoice module and in DMS module @high @middle @low","Delete invoice with bulk action in dms module","passed",24173,"2025-08-18T05:43:37.502Z","18. 08. 2025 07:43"
"Delete invoice item in invoice module and in DMS module @high @middle @low","Invoice can be deleted in document","passed",27288,"2025-08-18T05:44:04.940Z","18. 08. 2025 07:44"
"Delete proforma item in invoice module and in DMS module @middle @low","Delete proforma in invoice module action button delete","passed",32615,"2025-08-18T05:44:39.183Z","18. 08. 2025 07:44"
"Delete proforma item in invoice module and in DMS module @middle @low","Delete proforma in invoice module bulk action delete","passed",26666,"2025-08-18T05:45:05.993Z","18. 08. 2025 07:45"
"Delete proforma item in invoice module and in DMS module @middle @low","Delete proforma with action button in dms module","passed",20285,"2025-08-18T05:45:26.474Z","18. 08. 2025 07:45"
"Delete proforma item in invoice module and in DMS module @middle @low","Delete proforma with bulk action in dms module","passed",21467,"2025-08-18T05:45:48.039Z","18. 08. 2025 07:45"
"Delete proforma item in invoice module and in DMS module @middle @low","Proforma can be deleted in document","passed",27502,"2025-08-18T05:46:15.663Z","18. 08. 2025 07:46"
"Delete proforma deposit final invoice in invoice module @high @middle @low","Delete proforma deposit final invoice in invoice module action button delete","passed",58256,"2025-08-18T05:47:15.867Z","18. 08. 2025 07:47"
"Delete proforma deposit final invoice in invoice module @high @middle @low","Delete proforma deposit final invoice in invoice bulk action","passed",49005,"2025-08-18T05:48:05.098Z","18. 08. 2025 07:48"
"Delete proforma deposit final invoice in invoice module @high @middle @low","Delete proforma deposit final invoice in dms module action button delete","passed",52416,"2025-08-18T05:48:59.123Z","18. 08. 2025 07:48"
"Delete proforma deposit final invoice in invoice module @high @middle @low","Delete proforma deposit final invoice in dms bulk action","passed",47365,"2025-08-18T05:49:46.673Z","18. 08. 2025 07:49"
"Delete proforma deposit final invoice in invoice module @high @middle @low","Delete proforma deposit final invoice in document","passed",57712,"2025-08-18T05:50:44.613Z","18. 08. 2025 07:50"
"Delete corrective in invoice module and in DMS module @high @middle @low","Delete invoice in invoice module action button delete","passed",48128,"2025-08-18T05:51:34.374Z","18. 08. 2025 07:51"
"Delete corrective in invoice module and in DMS module @high @middle @low","Delete corrective in invoice module bulk action delete","passed",42215,"2025-08-18T05:52:16.784Z","18. 08. 2025 07:52"
"Delete corrective in dms module @high @middle @low","Deletecorrective in dms module action button delete","passed",43399,"2025-08-18T05:53:01.571Z","18. 08. 2025 07:53"
"Delete corrective in dms module @high @middle @low","Delete corrective in dms bulk action","passed",42463,"2025-08-18T05:53:44.182Z","18. 08. 2025 07:53"
"Delete corrective in dms module @high @middle @low","Delete corrective in document","passed",48332,"2025-08-18T05:54:32.686Z","18. 08. 2025 07:54"
"Smazání firmy @high @middle @low","Smazat firmu","failed",9910,"2025-08-18T05:54:43.877Z","18. 08. 2025 07:54"
