# Totálně se rozbilo mazání dokumentů po Binovo úpravě musí se před nasazením opravit
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",9387,"2025-08-19T12:11:17.181Z","19. 08. 2025 14:11"
"Registration of a test company @high @middle @low","Registers a new company","passed",17080,"2025-08-19T12:11:34.297Z","19. 08. 2025 14:11"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",12663,"2025-08-19T12:11:48.441Z","19. 08. 2025 14:11"
"Delete invoice item in invoice module and in DMS module @high @middle @low","Delete invoice in invoice module action button delete","failed",42616,"2025-08-19T12:12:32.637Z","19. 08. 2025 14:12"
"Delete invoice item in invoice module and in DMS module @high @middle @low","Delete invoice in invoice module bulk action delete","failed",29737,"2025-08-19T12:13:02.974Z","19. 08. 2025 14:13"
"Delete invoice item in invoice module and in DMS module @high @middle @low","Delete invoice with action button in dms module","failed",31039,"2025-08-19T12:13:34.407Z","19. 08. 2025 14:13"
"Delete invoice item in invoice module and in DMS module @high @middle @low","Delete invoice with bulk action in dms module","failed",29189,"2025-08-19T12:14:04.022Z","19. 08. 2025 14:14"
"Delete invoice item in invoice module and in DMS module @high @middle @low","Invoice can be deleted in document","failed",35822,"2025-08-19T12:14:40.222Z","19. 08. 2025 14:14"
"Delete proforma item in invoice module and in DMS module @middle @low","Delete proforma in invoice module action button delete","failed",33188,"2025-08-19T12:15:17.231Z","19. 08. 2025 14:15"
"Delete proforma item in invoice module and in DMS module @middle @low","Delete proforma in invoice module bulk action delete","failed",27801,"2025-08-19T12:15:45.383Z","19. 08. 2025 14:15"
"Delete proforma item in invoice module and in DMS module @middle @low","Delete proforma with action button in dms module","failed",33470,"2025-08-19T12:16:19.257Z","19. 08. 2025 14:16"
"Delete proforma item in invoice module and in DMS module @middle @low","Delete proforma with bulk action in dms module","failed",31249,"2025-08-19T12:16:51.027Z","19. 08. 2025 14:16"
"Delete proforma item in invoice module and in DMS module @middle @low","Proforma can be deleted in document","failed",30469,"2025-08-19T12:17:21.818Z","19. 08. 2025 14:17"
"Delete proforma deposit final invoice in invoice module @high @middle @low","Delete proforma deposit final invoice in invoice module action button delete","failed",55342,"2025-08-19T12:18:19.176Z","19. 08. 2025 14:18"
"Delete proforma deposit final invoice in invoice module @high @middle @low","Delete proforma deposit final invoice in invoice bulk action","failed",62274,"2025-08-19T12:19:21.714Z","19. 08. 2025 14:19"
"Delete proforma deposit final invoice in invoice module @high @middle @low","Delete proforma deposit final invoice in dms module action button delete","failed",53034,"2025-08-19T12:20:17.298Z","19. 08. 2025 14:20"
"Delete proforma deposit final invoice in invoice module @high @middle @low","Delete proforma deposit final invoice in dms bulk action","failed",50180,"2025-08-19T12:21:07.638Z","19. 08. 2025 14:21"
"Delete proforma deposit final invoice in invoice module @high @middle @low","Delete proforma deposit final invoice in document","failed",52139,"2025-08-19T12:22:00.058Z","19. 08. 2025 14:22"
"Delete corrective in invoice module and in DMS module @high @middle @low","Delete invoice in invoice module action button delete","failed",42569,"2025-08-19T12:22:44.692Z","19. 08. 2025 14:22"
"Delete corrective in invoice module and in DMS module @high @middle @low","Delete corrective in invoice module bulk action delete","failed",41330,"2025-08-19T12:23:26.170Z","19. 08. 2025 14:23"
"Delete corrective in dms module @high @middle @low","Deletecorrective in dms module action button delete","failed",47222,"2025-08-19T12:24:14.905Z","19. 08. 2025 14:24"
"Delete corrective in dms module @high @middle @low","Delete corrective in dms bulk action","failed",42753,"2025-08-19T12:24:57.816Z","19. 08. 2025 14:24"
"Delete corrective in dms module @high @middle @low","Delete corrective in document","failed",41595,"2025-08-19T12:25:40.026Z","19. 08. 2025 14:25"
"Smazání firmy @high @middle @low","Smazat firmu","passed",13993,"2025-08-19T12:25:55.100Z","19. 08. 2025 14:25"
