#Testy po opravě fungují
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",7611,"2025-08-20T07:44:27.855Z","20. 08. 2025 09:44"
"Registration of a test company @high @middle @low","Registers a new company","passed",11179,"2025-08-20T07:44:39.074Z","20. 08. 2025 09:44"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",10373,"2025-08-20T07:44:50.222Z","20. 08. 2025 09:44"
"Delete invoice item in invoice module and in DMS module @high @middle @low","Delete invoice in invoice module action button delete","passed",29681,"2025-08-20T07:45:20.823Z","20. 08. 2025 09:45"
"Delete invoice item in invoice module and in DMS module @high @middle @low","Delete invoice in invoice module bulk action delete","passed",25431,"2025-08-20T07:45:46.311Z","20. 08. 2025 09:45"
"Delete invoice item in invoice module and in DMS module @high @middle @low","Delete invoice with action button in dms module","passed",19791,"2025-08-20T07:46:06.180Z","20. 08. 2025 09:46"
"Delete invoice item in invoice module and in DMS module @high @middle @low","Delete invoice with bulk action in dms module","passed",20440,"2025-08-20T07:46:26.675Z","20. 08. 2025 09:46"
"Delete invoice item in invoice module and in DMS module @high @middle @low","Invoice can be deleted in document","passed",23521,"2025-08-20T07:46:50.257Z","20. 08. 2025 09:46"
"Delete proforma item in invoice module and in DMS module @middle @low","Delete proforma in invoice module action button delete","passed",30319,"2025-08-20T07:47:21.493Z","20. 08. 2025 09:47"
"Delete proforma item in invoice module and in DMS module @middle @low","Delete proforma in invoice module bulk action delete","passed",24966,"2025-08-20T07:47:46.520Z","20. 08. 2025 09:47"
"Delete proforma item in invoice module and in DMS module @middle @low","Delete proforma with action button in dms module","passed",19382,"2025-08-20T07:48:05.972Z","20. 08. 2025 09:48"
"Delete proforma item in invoice module and in DMS module @middle @low","Delete proforma with bulk action in dms module","passed",20422,"2025-08-20T07:48:26.457Z","20. 08. 2025 09:48"
"Delete proforma item in invoice module and in DMS module @middle @low","Proforma can be deleted in document","passed",24035,"2025-08-20T07:48:50.550Z","20. 08. 2025 09:48"
"Delete proforma deposit final invoice in invoice module @high @middle @low","Delete proforma deposit final invoice in invoice module action button delete","passed",54832,"2025-08-20T07:49:46.286Z","20. 08. 2025 09:49"
"Delete proforma deposit final invoice in invoice module @high @middle @low","Delete proforma deposit final invoice in invoice bulk action","passed",45572,"2025-08-20T07:50:31.927Z","20. 08. 2025 09:50"
"Delete proforma deposit final invoice in invoice module @high @middle @low","Delete proforma deposit final invoice in dms module action button delete","passed",46584,"2025-08-20T07:51:19.487Z","20. 08. 2025 09:51"
"Delete proforma deposit final invoice in invoice module @high @middle @low","Delete proforma deposit final invoice in dms bulk action","passed",45630,"2025-08-20T07:52:05.187Z","20. 08. 2025 09:52"
"Delete proforma deposit final invoice in invoice module @high @middle @low","Delete proforma deposit final invoice in document","passed",53854,"2025-08-20T07:52:59.111Z","20. 08. 2025 09:52"
"Delete corrective in invoice module and in DMS module @high @middle @low","Delete invoice in invoice module action button delete","passed",46804,"2025-08-20T07:53:46.848Z","20. 08. 2025 09:53"
"Delete corrective in invoice module and in DMS module @high @middle @low","Delete corrective in invoice module bulk action delete","passed",40288,"2025-08-20T07:54:27.206Z","20. 08. 2025 09:54"
"Delete corrective in dms module @high @middle @low","Deletecorrective in dms module action button delete","passed",40407,"2025-08-20T07:55:08.538Z","20. 08. 2025 09:55"
"Delete corrective in dms module @high @middle @low","Delete corrective in dms bulk action","passed",39930,"2025-08-20T07:55:48.541Z","20. 08. 2025 09:55"
"Delete corrective in dms module @high @middle @low","Delete corrective in document","passed",43246,"2025-08-20T07:56:31.855Z","20. 08. 2025 09:56"
"Smazání firmy @high @middle @low","Smazat firmu","passed",14194,"2025-08-20T07:56:46.723Z","20. 08. 2025 09:56"
