# Spuštění a vyhodnocení testů po Binově sprintu S165 vylepšení 34
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",14755,"2025-08-25T10:07:05.849Z","25. 08. 2025 12:07"
"Registration of a test company @high @middle @low","Registers a new company","passed",15199,"2025-08-25T10:07:21.103Z","25. 08. 2025 12:07"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",12316,"2025-08-25T10:07:34.352Z","25. 08. 2025 12:07"
"Delete invoice item in invoice module and in DMS module @high @middle @low","Delete invoice in invoice module action button delete","passed",38848,"2025-08-25T10:08:14.651Z","25. 08. 2025 12:08"
"Delete invoice item in invoice module and in DMS module @high @middle @low","Delete invoice in invoice module bulk action delete","passed",38913,"2025-08-25T10:08:53.776Z","25. 08. 2025 12:08"
"Delete invoice item in invoice module and in DMS module @high @middle @low","Delete invoice with action button in dms module","passed",26268,"2025-08-25T10:09:20.336Z","25. 08. 2025 12:09"
"Delete invoice item in invoice module and in DMS module @high @middle @low","Delete invoice with bulk action in dms module","passed",26772,"2025-08-25T10:09:47.273Z","25. 08. 2025 12:09"
"Delete invoice item in invoice module and in DMS module @high @middle @low","Invoice can be deleted in document","passed",33366,"2025-08-25T10:10:20.850Z","25. 08. 2025 12:10"
"Delete proforma item in invoice module and in DMS module @middle @low","Delete proforma in invoice module action button delete","passed",43649,"2025-08-25T10:11:06.805Z","25. 08. 2025 12:11"
"Delete proforma item in invoice module and in DMS module @middle @low","Delete proforma in invoice module bulk action delete","passed",41468,"2025-08-25T10:11:48.472Z","25. 08. 2025 12:11"
"Delete proforma item in invoice module and in DMS module @middle @low","Delete proforma with action button in dms module","passed",30845,"2025-08-25T10:12:19.604Z","25. 08. 2025 12:12"
"Delete proforma item in invoice module and in DMS module @middle @low","Delete proforma with bulk action in dms module","passed",35985,"2025-08-25T10:12:56.301Z","25. 08. 2025 12:12"
"Delete proforma item in invoice module and in DMS module @middle @low","Proforma can be deleted in document","passed",35460,"2025-08-25T10:13:32.305Z","25. 08. 2025 12:13"
"Delete proforma deposit final invoice in invoice module @high @middle @low","Delete proforma deposit final invoice in invoice module action button delete","passed",74186,"2025-08-25T10:14:48.871Z","25. 08. 2025 12:14"
"Delete proforma deposit final invoice in invoice module @high @middle @low","Delete proforma deposit final invoice in invoice bulk action","passed",66711,"2025-08-25T10:15:56.082Z","25. 08. 2025 12:15"
"Delete proforma deposit final invoice in invoice module @high @middle @low","Delete proforma deposit final invoice in dms module action button delete","passed",57901,"2025-08-25T10:16:57.037Z","25. 08. 2025 12:16"
"Delete proforma deposit final invoice in invoice module @high @middle @low","Delete proforma deposit final invoice in dms bulk action","passed",59077,"2025-08-25T10:17:56.324Z","25. 08. 2025 12:17"
"Delete proforma deposit final invoice in invoice module @high @middle @low","Delete proforma deposit final invoice in document","passed",63306,"2025-08-25T10:18:59.787Z","25. 08. 2025 12:18"
"Delete corrective in invoice module and in DMS module @high @middle @low","Delete invoice in invoice module action button delete","passed",55209,"2025-08-25T10:19:56.244Z","25. 08. 2025 12:19"
"Delete corrective in invoice module and in DMS module @high @middle @low","Delete corrective in invoice module bulk action delete","passed",48566,"2025-08-25T10:20:44.991Z","25. 08. 2025 12:20"
"Delete corrective in dms module @high @middle @low","Deletecorrective in dms module action button delete","passed",43160,"2025-08-25T10:21:29.583Z","25. 08. 2025 12:21"
"Delete corrective in dms module @high @middle @low","Delete corrective in dms bulk action","passed",46382,"2025-08-25T10:22:16.100Z","25. 08. 2025 12:22"
"Delete corrective in dms module @high @middle @low","Delete corrective in document","passed",49327,"2025-08-25T10:23:05.544Z","25. 08. 2025 12:23"
"Smazání firmy @high @middle @low","Smazat firmu","passed",15093,"2025-08-25T10:23:21.471Z","25. 08. 2025 12:23"
