# Mazání dokladů beta funguje, spadli pouze testy, které ted opravuje Bin
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",9087,"2025-09-02T09:19:08.481Z","02. 09. 2025 11:19"
"Registration of a test company @high @middle @low","Registers a new company","passed",11055,"2025-09-02T09:19:19.569Z","02. 09. 2025 11:19"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",11207,"2025-09-02T09:19:31.540Z","02. 09. 2025 11:19"
"Delete invoice item in invoice module and in DMS module @high @middle @low","Delete invoice in invoice module action button delete","passed",33019,"2025-09-02T09:20:05.422Z","02. 09. 2025 11:20"
"Delete invoice item in invoice module and in DMS module @high @middle @low","Delete invoice in invoice module bulk action delete","passed",28374,"2025-09-02T09:20:33.859Z","02. 09. 2025 11:20"
"Delete invoice item in invoice module and in DMS module @high @middle @low","Delete invoice with action button in dms module","passed",21827,"2025-09-02T09:20:55.761Z","02. 09. 2025 11:20"
"Delete invoice item in invoice module and in DMS module @high @middle @low","Delete invoice with bulk action in dms module","passed",21903,"2025-09-02T09:21:17.728Z","02. 09. 2025 11:21"
"Delete invoice item in invoice module and in DMS module @high @middle @low","Invoice can be deleted in document","passed",26192,"2025-09-02T09:21:43.978Z","02. 09. 2025 11:21"
"Delete proforma item in invoice module and in DMS module @middle @low","Delete proforma in invoice module action button delete","passed",32582,"2025-09-02T09:22:17.491Z","02. 09. 2025 11:22"
"Delete proforma item in invoice module and in DMS module @middle @low","Delete proforma in invoice module bulk action delete","passed",28453,"2025-09-02T09:22:46.006Z","02. 09. 2025 11:22"
"Delete proforma item in invoice module and in DMS module @middle @low","Delete proforma with action button in dms module","passed",21687,"2025-09-02T09:23:07.774Z","02. 09. 2025 11:23"
"Delete proforma item in invoice module and in DMS module @middle @low","Delete proforma with bulk action in dms module","passed",22079,"2025-09-02T09:23:29.907Z","02. 09. 2025 11:23"
"Delete proforma item in invoice module and in DMS module @middle @low","Proforma can be deleted in document","passed",25737,"2025-09-02T09:23:55.701Z","02. 09. 2025 11:23"
"Delete proforma deposit final invoice in invoice module @high @middle @low","Delete proforma deposit final invoice in invoice module action button delete","passed",62380,"2025-09-02T09:24:58.959Z","02. 09. 2025 11:24"
"Delete proforma deposit final invoice in invoice module @high @middle @low","Delete proforma deposit final invoice in invoice bulk action","passed",50878,"2025-09-02T09:25:49.910Z","02. 09. 2025 11:25"
"Delete proforma deposit final invoice in invoice module @high @middle @low","Delete proforma deposit final invoice in dms module action button delete","passed",50940,"2025-09-02T09:26:41.810Z","02. 09. 2025 11:26"
"Delete proforma deposit final invoice in invoice module @high @middle @low","Delete proforma deposit final invoice in dms bulk action","passed",49895,"2025-09-02T09:27:31.780Z","02. 09. 2025 11:27"
"Delete proforma deposit final invoice in invoice module @high @middle @low","Delete proforma deposit final invoice in document","passed",58087,"2025-09-02T09:28:29.943Z","02. 09. 2025 11:28"
"Delete corrective in invoice module and in DMS module @high @middle @low","Delete invoice in invoice module action button delete","passed",52092,"2025-09-02T09:29:22.915Z","02. 09. 2025 11:29"
"Delete corrective in invoice module and in DMS module @high @middle @low","Delete corrective in invoice module bulk action delete","passed",44334,"2025-09-02T09:30:07.320Z","02. 09. 2025 11:30"
"Delete corrective in dms module @high @middle @low","Deletecorrective in dms module action button delete","passed",43171,"2025-09-02T09:30:51.391Z","02. 09. 2025 11:30"
"Delete corrective in dms module @high @middle @low","Delete corrective in dms bulk action","passed",42937,"2025-09-02T09:31:34.401Z","02. 09. 2025 11:31"
"Delete corrective in dms module @high @middle @low","Delete corrective in document","passed",43647,"2025-09-02T09:32:18.118Z","02. 09. 2025 11:32"
"Connected proforma and deposit cant be deleted @high @middle @low","Create test invoice","passed",39757,"2025-09-02T09:32:58.942Z","02. 09. 2025 11:32"
"Connected proforma and deposit cant be deleted @high @middle @low","Connected proforma and deposit cant be deleted by action button in invoice module","passed",9267,"2025-09-02T09:33:08.254Z","02. 09. 2025 11:33"
"Connected proforma and deposit cant be deleted @high @middle @low","Connected proforma and deposit cant be deleted by action button in DMS module","failed",11633,"2025-09-02T09:33:19.935Z","02. 09. 2025 11:33"
"Connected proforma and deposit cant be deleted @high @middle @low","Delete proforma deposit final invoice after test","passed",8084,"2025-09-02T09:33:28.095Z","02. 09. 2025 11:33"
"Connected invoice and corrective cant be deleted @high @middle @low","Create test invoice","passed",33191,"2025-09-02T09:34:02.161Z","02. 09. 2025 11:34"
"Connected invoice and corrective cant be deleted @high @middle @low","Connected invoice and corrective cant be deleted by action button in invoice module","failed",5810,"2025-09-02T09:34:08.001Z","02. 09. 2025 11:34"
"Connected invoice and corrective cant be deleted @high @middle @low","Connected invoice and corrective cant be deleted by action button in DMS module","failed",10332,"2025-09-02T09:34:18.368Z","02. 09. 2025 11:34"
"Connected invoice and corrective cant be deleted @high @middle @low","Delete invoice and corrective after test","passed",7572,"2025-09-02T09:34:25.998Z","02. 09. 2025 11:34"
"Smazání firmy @high @middle @low","Smazat firmu","passed",11808,"2025-09-02T09:34:38.445Z","02. 09. 2025 11:34"
