# Testování na Beta serveru - nefungují pouze testy které teď upravuje Bin
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",11386,"2025-09-03T09:32:15.551Z","03. 09. 2025 11:32"
"Registration of a test company @high @middle @low","Registers a new company","passed",14262,"2025-09-03T09:32:29.855Z","03. 09. 2025 11:32"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",13578,"2025-09-03T09:32:44.352Z","03. 09. 2025 11:32"
"Delete invoice item in invoice module and in DMS module @high @middle @low","Delete invoice in invoice module action button delete","passed",38590,"2025-09-03T09:33:24.469Z","03. 09. 2025 11:33"
"Delete invoice item in invoice module and in DMS module @high @middle @low","Delete invoice in invoice module bulk action delete","passed",32966,"2025-09-03T09:33:57.673Z","03. 09. 2025 11:33"
"Delete invoice item in invoice module and in DMS module @high @middle @low","Delete invoice with action button in dms module","passed",30096,"2025-09-03T09:34:27.994Z","03. 09. 2025 11:34"
"Delete invoice item in invoice module and in DMS module @high @middle @low","Delete invoice with bulk action in dms module","passed",36104,"2025-09-03T09:35:04.423Z","03. 09. 2025 11:35"
"Delete invoice item in invoice module and in DMS module @high @middle @low","Invoice can be deleted in document","passed",49672,"2025-09-03T09:35:54.677Z","03. 09. 2025 11:35"
"Delete proforma item in invoice module and in DMS module @middle @low","Delete proforma in invoice module action button delete","passed",37070,"2025-09-03T09:36:35.196Z","03. 09. 2025 11:36"
"Delete proforma item in invoice module and in DMS module @middle @low","Delete proforma in invoice module bulk action delete","passed",32613,"2025-09-03T09:37:08.070Z","03. 09. 2025 11:37"
"Delete proforma item in invoice module and in DMS module @middle @low","Delete proforma with action button in dms module","passed",24740,"2025-09-03T09:37:33.175Z","03. 09. 2025 11:37"
"Delete proforma item in invoice module and in DMS module @middle @low","Delete proforma with bulk action in dms module","passed",46401,"2025-09-03T09:38:19.903Z","03. 09. 2025 11:38"
"Delete proforma item in invoice module and in DMS module @middle @low","Proforma can be deleted in document","passed",40108,"2025-09-03T09:39:00.646Z","03. 09. 2025 11:39"
"Delete proforma deposit final invoice in invoice module @high @middle @low","Delete proforma deposit final invoice in invoice module action button delete","passed",72637,"2025-09-03T09:40:16.693Z","03. 09. 2025 11:40"
"Delete proforma deposit final invoice in invoice module @high @middle @low","Delete proforma deposit final invoice in invoice bulk action","passed",62272,"2025-09-03T09:41:19.699Z","03. 09. 2025 11:41"
"Delete proforma deposit final invoice in invoice module @high @middle @low","Delete proforma deposit final invoice in dms module action button delete","passed",55326,"2025-09-03T09:42:19.106Z","03. 09. 2025 11:42"
"Delete proforma deposit final invoice in invoice module @high @middle @low","Delete proforma deposit final invoice in dms bulk action","passed",55750,"2025-09-03T09:43:15.018Z","03. 09. 2025 11:43"
"Delete proforma deposit final invoice in invoice module @high @middle @low","Delete proforma deposit final invoice in document","passed",67863,"2025-09-03T09:44:23.320Z","03. 09. 2025 11:44"
"Delete corrective in invoice module and in DMS module @high @middle @low","Delete invoice in invoice module action button delete","passed",56033,"2025-09-03T09:45:21.945Z","03. 09. 2025 11:45"
"Delete corrective in invoice module and in DMS module @high @middle @low","Delete corrective in invoice module bulk action delete","passed",46880,"2025-09-03T09:46:09.030Z","03. 09. 2025 11:46"
"Delete corrective in dms module @high @middle @low","Deletecorrective in dms module action button delete","passed",43929,"2025-09-03T09:46:54.526Z","03. 09. 2025 11:46"
"Delete corrective in dms module @high @middle @low","Delete corrective in dms bulk action","passed",44167,"2025-09-03T09:47:38.945Z","03. 09. 2025 11:47"
"Delete corrective in dms module @high @middle @low","Delete corrective in document","passed",46326,"2025-09-03T09:48:25.592Z","03. 09. 2025 11:48"
"Connected proforma and deposit cant be deleted @low","Create test invoice","passed",43763,"2025-09-03T09:49:10.915Z","03. 09. 2025 11:49"
"Connected proforma and deposit cant be deleted @low","Connected proforma and deposit cant be deleted by action button in invoice module","passed",9820,"2025-09-03T09:49:20.859Z","03. 09. 2025 11:49"
"Connected proforma and deposit cant be deleted @low","Connected proforma and deposit cant be deleted by action button in DMS module","failed",12729,"2025-09-03T09:49:33.676Z","03. 09. 2025 11:49"
"Connected proforma and deposit cant be deleted @low","Delete proforma deposit final invoice after test","passed",8382,"2025-09-03T09:49:42.263Z","03. 09. 2025 11:49"
"Connected invoice and corrective cant be deleted @low","Create test invoice","passed",31386,"2025-09-03T09:50:14.908Z","03. 09. 2025 11:50"
"Connected invoice and corrective cant be deleted @low","Connected invoice and corrective cant be deleted by action button in invoice module","failed",5751,"2025-09-03T09:50:20.720Z","03. 09. 2025 11:50"
"Connected invoice and corrective cant be deleted @low","Connected invoice and corrective cant be deleted by action button in DMS module","failed",10472,"2025-09-03T09:50:31.233Z","03. 09. 2025 11:50"
"Connected invoice and corrective cant be deleted @low","Delete invoice and corrective after test","passed",7910,"2025-09-03T09:50:39.237Z","03. 09. 2025 11:50"
"Smazání firmy @high @middle @low","Smazat firmu","passed",12463,"2025-09-03T09:50:52.713Z","03. 09. 2025 11:50"
