# Otestování po nasazení vylepšení 40 - Nefungují testy na smazání dokladů jsou připravené až nasadí Bin opravu
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",11258,"2025-09-10T13:51:58.550Z","10. 09. 2025 15:51"
"Registration of a test company @high @middle @low","Registers a new company","passed",14528,"2025-09-10T13:52:13.131Z","10. 09. 2025 15:52"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",12060,"2025-09-10T13:52:26.444Z","10. 09. 2025 15:52"
"Delete invoice item in invoice module and in DMS module @high @middle @low","Delete invoice in invoice module action button delete","passed",37089,"2025-09-10T13:53:04.902Z","10. 09. 2025 15:53"
"Delete invoice item in invoice module and in DMS module @high @middle @low","Delete invoice in invoice module bulk action delete","passed",38349,"2025-09-10T13:53:43.535Z","10. 09. 2025 15:53"
"Delete invoice item in invoice module and in DMS module @high @middle @low","Delete invoice with action button in dms module","passed",25036,"2025-09-10T13:54:08.830Z","10. 09. 2025 15:54"
"Delete invoice item in invoice module and in DMS module @high @middle @low","Delete invoice with bulk action in dms module","passed",28792,"2025-09-10T13:54:37.928Z","10. 09. 2025 15:54"
"Delete invoice item in invoice module and in DMS module @high @middle @low","Invoice can be deleted in document","passed",36788,"2025-09-10T13:55:15.048Z","10. 09. 2025 15:55"
"Delete proforma item in invoice module and in DMS module @middle @low","Delete proforma in invoice module action button delete","passed",39678,"2025-09-10T13:55:57.823Z","10. 09. 2025 15:55"
"Delete proforma item in invoice module and in DMS module @middle @low","Delete proforma in invoice module bulk action delete","passed",38285,"2025-09-10T13:56:36.432Z","10. 09. 2025 15:56"
"Delete proforma item in invoice module and in DMS module @middle @low","Delete proforma with action button in dms module","passed",35423,"2025-09-10T13:57:12.147Z","10. 09. 2025 15:57"
"Delete proforma item in invoice module and in DMS module @middle @low","Delete proforma with bulk action in dms module","passed",30891,"2025-09-10T13:57:43.272Z","10. 09. 2025 15:57"
"Delete proforma item in invoice module and in DMS module @middle @low","Proforma can be deleted in document","passed",37975,"2025-09-10T13:58:21.586Z","10. 09. 2025 15:58"
"Delete proforma deposit final invoice in invoice module @high @middle @low","Delete proforma deposit final invoice in invoice module action button delete","passed",70296,"2025-09-10T13:59:34.321Z","10. 09. 2025 15:59"
"Delete proforma deposit final invoice in invoice module @high @middle @low","Delete proforma deposit final invoice in invoice bulk action","passed",57103,"2025-09-10T14:00:31.645Z","10. 09. 2025 16:00"
"Delete proforma deposit final invoice in invoice module @high @middle @low","Delete proforma deposit final invoice in dms module action button delete","passed",53920,"2025-09-10T14:01:27.637Z","10. 09. 2025 16:01"
"Delete proforma deposit final invoice in invoice module @high @middle @low","Delete proforma deposit final invoice in dms bulk action","passed",56792,"2025-09-10T14:02:24.603Z","10. 09. 2025 16:02"
"Delete proforma deposit final invoice in invoice module @high @middle @low","Delete proforma deposit final invoice in document","passed",63510,"2025-09-10T14:03:28.439Z","10. 09. 2025 16:03"
"Delete corrective in invoice module and in DMS module @high @middle @low","Delete invoice in invoice module action button delete","passed",56959,"2025-09-10T14:04:27.015Z","10. 09. 2025 16:04"
"Delete corrective in invoice module and in DMS module @high @middle @low","Delete corrective in invoice module bulk action delete","passed",46017,"2025-09-10T14:05:13.330Z","10. 09. 2025 16:05"
"Delete corrective in dms module @high @middle @low","Deletecorrective in dms module action button delete","passed",42633,"2025-09-10T14:05:57.560Z","10. 09. 2025 16:05"
"Delete corrective in dms module @high @middle @low","Delete corrective in dms bulk action","passed",41332,"2025-09-10T14:06:39.034Z","10. 09. 2025 16:06"
"Delete corrective in dms module @high @middle @low","Delete corrective in document","passed",49222,"2025-09-10T14:07:28.428Z","10. 09. 2025 16:07"
"Connected proforma and deposit cant be deleted @low","Create test invoice","passed",42127,"2025-09-10T14:08:11.955Z","10. 09. 2025 16:08"
"Connected proforma and deposit cant be deleted @low","Connected proforma and deposit cant be deleted by action button in invoice module","passed",9219,"2025-09-10T14:08:21.242Z","10. 09. 2025 16:08"
"Connected proforma and deposit cant be deleted @low","Connected proforma and deposit cant be deleted by action button in DMS module","failed",11672,"2025-09-10T14:08:32.979Z","10. 09. 2025 16:08"
"Connected proforma and deposit cant be deleted @low","Delete proforma deposit final invoice after test","passed",8969,"2025-09-10T14:08:42.099Z","10. 09. 2025 16:08"
"Connected invoice and corrective cant be deleted @low","Create test invoice","passed",35660,"2025-09-10T14:09:19.300Z","10. 09. 2025 16:09"
"Connected invoice and corrective cant be deleted @low","Connected invoice and corrective cant be deleted by action button in invoice module","failed",5855,"2025-09-10T14:09:25.221Z","10. 09. 2025 16:09"
"Connected invoice and corrective cant be deleted @low","Connected invoice and corrective cant be deleted by action button in DMS module","failed",11441,"2025-09-10T14:09:36.719Z","10. 09. 2025 16:09"
"Connected invoice and corrective cant be deleted @low","Delete invoice and corrective after test","passed",8504,"2025-09-10T14:09:45.354Z","10. 09. 2025 16:09"
"Smazání firmy @high @middle @low","Smazat firmu","passed",12103,"2025-09-10T14:09:58.362Z","10. 09. 2025 16:09"
