# Testování po nasazení vylepšení 38 + 39 - testy měli začít fungovat ale nefungují budu dávat Binovi k opravě
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",15988,"2025-09-11T08:00:04.725Z","11. 09. 2025 10:00"
"Registration of a test company @high @middle @low","Registers a new company","passed",10779,"2025-09-11T08:00:15.552Z","11. 09. 2025 10:00"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",12049,"2025-09-11T08:00:28.418Z","11. 09. 2025 10:00"
"Delete invoice item in invoice module and in DMS module @high @middle @low","Delete invoice in invoice module action button delete","passed",35262,"2025-09-11T08:01:04.767Z","11. 09. 2025 10:01"
"Delete invoice item in invoice module and in DMS module @high @middle @low","Delete invoice in invoice module bulk action delete","passed",29073,"2025-09-11T08:01:33.992Z","11. 09. 2025 10:01"
"Delete invoice item in invoice module and in DMS module @high @middle @low","Delete invoice with action button in dms module","passed",22354,"2025-09-11T08:01:56.496Z","11. 09. 2025 10:01"
"Delete invoice item in invoice module and in DMS module @high @middle @low","Delete invoice with bulk action in dms module","passed",22935,"2025-09-11T08:02:19.560Z","11. 09. 2025 10:02"
"Delete invoice item in invoice module and in DMS module @high @middle @low","Invoice can be deleted in document","passed",26927,"2025-09-11T08:02:46.632Z","11. 09. 2025 10:02"
"Delete proforma item in invoice module and in DMS module @middle @low","Delete proforma in invoice module action button delete","passed",34271,"2025-09-11T08:03:22.066Z","11. 09. 2025 10:03"
"Delete proforma item in invoice module and in DMS module @middle @low","Delete proforma in invoice module bulk action delete","passed",28737,"2025-09-11T08:03:50.951Z","11. 09. 2025 10:03"
"Delete proforma item in invoice module and in DMS module @middle @low","Delete proforma with action button in dms module","passed",22497,"2025-09-11T08:04:13.636Z","11. 09. 2025 10:04"
"Delete proforma item in invoice module and in DMS module @middle @low","Delete proforma with bulk action in dms module","passed",22869,"2025-09-11T08:04:36.626Z","11. 09. 2025 10:04"
"Delete proforma item in invoice module and in DMS module @middle @low","Proforma can be deleted in document","passed",26583,"2025-09-11T08:05:03.307Z","11. 09. 2025 10:05"
"Delete proforma deposit final invoice in invoice module @high @middle @low","Delete proforma deposit final invoice in invoice module action button delete","passed",62999,"2025-09-11T08:06:07.467Z","11. 09. 2025 10:06"
"Delete proforma deposit final invoice in invoice module @high @middle @low","Delete proforma deposit final invoice in invoice bulk action","passed",53311,"2025-09-11T08:07:00.942Z","11. 09. 2025 10:07"
"Delete proforma deposit final invoice in invoice module @high @middle @low","Delete proforma deposit final invoice in dms module action button delete","passed",51797,"2025-09-11T08:07:54.117Z","11. 09. 2025 10:07"
"Delete proforma deposit final invoice in invoice module @high @middle @low","Delete proforma deposit final invoice in dms bulk action","passed",52201,"2025-09-11T08:08:46.506Z","11. 09. 2025 10:08"
"Delete proforma deposit final invoice in invoice module @high @middle @low","Delete proforma deposit final invoice in document","passed",61867,"2025-09-11T08:09:48.573Z","11. 09. 2025 10:09"
"Delete corrective in invoice module and in DMS module @high @middle @low","Delete invoice in invoice module action button delete","passed",54891,"2025-09-11T08:10:44.780Z","11. 09. 2025 10:10"
"Delete corrective in invoice module and in DMS module @high @middle @low","Delete corrective in invoice module bulk action delete","passed",45449,"2025-09-11T08:11:30.465Z","11. 09. 2025 10:11"
"Delete corrective in dms module @high @middle @low","Deletecorrective in dms module action button delete","passed",44028,"2025-09-11T08:12:15.764Z","11. 09. 2025 10:12"
"Delete corrective in dms module @high @middle @low","Delete corrective in dms bulk action","passed",44075,"2025-09-11T08:12:59.981Z","11. 09. 2025 10:12"
"Delete corrective in dms module @high @middle @low","Delete corrective in document","passed",48528,"2025-09-11T08:13:48.646Z","11. 09. 2025 10:13"
"Connected proforma and deposit cant be deleted @low","Create test invoice","passed",41335,"2025-09-11T08:14:31.194Z","11. 09. 2025 10:14"
"Connected proforma and deposit cant be deleted @low","Connected proforma and deposit cant be deleted by action button in invoice module","passed",9450,"2025-09-11T08:14:40.739Z","11. 09. 2025 10:14"
"Connected proforma and deposit cant be deleted @low","Connected proforma and deposit cant be deleted by action button in DMS module","failed",11287,"2025-09-11T08:14:52.104Z","11. 09. 2025 10:14"
"Connected proforma and deposit cant be deleted @low","Delete proforma deposit final invoice after test","passed",8601,"2025-09-11T08:15:00.884Z","11. 09. 2025 10:15"
"Connected invoice and corrective cant be deleted @low","Create test invoice","passed",34154,"2025-09-11T08:15:36.288Z","11. 09. 2025 10:15"
"Connected invoice and corrective cant be deleted @low","Connected invoice and corrective cant be deleted by action button in invoice module","failed",5737,"2025-09-11T08:15:42.088Z","11. 09. 2025 10:15"
"Connected invoice and corrective cant be deleted @low","Connected invoice and corrective cant be deleted by action button in DMS module","failed",10419,"2025-09-11T08:15:52.550Z","11. 09. 2025 10:15"
"Connected invoice and corrective cant be deleted @low","Delete invoice and corrective after test","passed",8526,"2025-09-11T08:16:01.247Z","11. 09. 2025 10:16"
"Smazání firmy @high @middle @low","Smazat firmu","passed",10826,"2025-09-11T08:16:12.839Z","11. 09. 2025 10:16"
