# První test spuštění paralellních testů pro neplátce DPH
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",14330,"2025-07-09T19:04:48.047Z","09. 07. 2025 21:04"
"Registration of a test company @high @middle @low","Registers a new company","passed",16385,"2025-07-09T19:05:04.475Z","09. 07. 2025 21:05"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",18683,"2025-07-09T19:05:23.982Z","09. 07. 2025 21:05"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",4950,"2025-07-09T19:05:29.045Z","09. 07. 2025 21:05"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",13111,"2025-07-09T19:05:43.125Z","09. 07. 2025 21:05"
"Create invoice without rounding @high @middle @low","Log: All invoice variables to console","passed",6211,"2025-07-09T19:05:50.859Z","09. 07. 2025 21:05"
"Create invoice without rounding @high @middle @low","Create testing invoice","passed",22974,"2025-07-09T19:06:14.031Z","09. 07. 2025 21:06"
"Create invoice without rounding @high @middle @low","Checks that the downloaded invoice PDF contains correct data","passed",5382,"2025-07-09T19:06:19.497Z","09. 07. 2025 21:06"
"Create invoice without rounding @high @middle @low","Testing invoice can be edited","passed",18712,"2025-07-09T19:06:38.305Z","09. 07. 2025 21:06"
"Create invoice without rounding @high @middle @low","Download edited invoice","passed",5079,"2025-07-09T19:06:43.425Z","09. 07. 2025 21:06"
"Test invoice with rounding @low","Log: All invoice variables to console","passed",5413,"2025-07-09T19:06:50.054Z","09. 07. 2025 21:06"
"Test invoice with rounding @low","Create testing invoice with rounding","passed",24721,"2025-07-09T19:07:14.850Z","09. 07. 2025 21:07"
"Test proforma no rounding @low","Log: All invoice variables to console","passed",6535,"2025-07-09T19:07:22.440Z","09. 07. 2025 21:07"
"Test proforma no rounding @low","Create testing proforma","passed",22254,"2025-07-09T19:07:44.766Z","09. 07. 2025 21:07"
"Test proforma no rounding @low","Checks that the downloaded proforma PDF contains correct data","passed",6211,"2025-07-09T19:07:51.021Z","09. 07. 2025 21:07"
"Test proforma no rounding @low","Testing proforma can be edited","passed",17495,"2025-07-09T19:08:08.575Z","09. 07. 2025 21:08"
"Test proforma no rounding @low","Download edited proforma","passed",5574,"2025-07-09T19:08:14.184Z","09. 07. 2025 21:08"
"Test proforma with rounding @high @middle @low","Log: All invoice variables to console","passed",6339,"2025-07-09T19:08:21.708Z","09. 07. 2025 21:08"
"Test proforma with rounding @high @middle @low","Create testing invoice with rounding","passed",24308,"2025-07-09T19:08:46.096Z","09. 07. 2025 21:08"
"Test Corrective and edit corrective @high @middle @low","Log: All invoice variables to console","passed",5690,"2025-07-09T19:08:52.864Z","09. 07. 2025 21:08"
"Test Corrective and edit corrective @high @middle @low","Create testing invoice","passed",25214,"2025-07-09T19:09:18.139Z","09. 07. 2025 21:09"
"Test Corrective and edit corrective @high @middle @low","Create corrective and control layout","passed",20361,"2025-07-09T19:09:38.589Z","09. 07. 2025 21:09"
"Delete Company @high @middle @low","Delete company","passed",18364,"2025-07-09T19:09:57.754Z","09. 07. 2025 21:09"
