"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",9170,"2025-08-11T12:39:58.350Z","11. 08. 2025 14:39"
"Registration of a test company @high @middle @low","Registers a new company","passed",14916,"2025-08-11T12:40:13.302Z","11. 08. 2025 14:40"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",13199,"2025-08-11T12:40:27.435Z","11. 08. 2025 14:40"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",2351,"2025-08-11T12:40:30.066Z","11. 08. 2025 14:40"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",10435,"2025-08-11T12:40:41.960Z","11. 08. 2025 14:40"
"Create invoice without rounding @high @middle @low","Log: All invoice variables to console","passed",3903,"2025-08-11T12:40:47.249Z","11. 08. 2025 14:40"
"Create invoice without rounding @high @middle @low","Create testing invoice","passed",18050,"2025-08-11T12:41:05.402Z","11. 08. 2025 14:41"
"Create invoice without rounding @high @middle @low","Checks that the downloaded invoice PDF contains correct data","passed",4276,"2025-08-11T12:41:09.725Z","11. 08. 2025 14:41"
"Create invoice without rounding @high @middle @low","Testing invoice can be edited","passed",14821,"2025-08-11T12:41:24.653Z","11. 08. 2025 14:41"
"Create invoice without rounding @high @middle @low","Download edited invoice","passed",4186,"2025-08-11T12:41:28.927Z","11. 08. 2025 14:41"
"Test invoice with rounding @low","Log: All invoice variables to console","passed",3922,"2025-08-11T12:41:34.238Z","11. 08. 2025 14:41"
"Test invoice with rounding @low","Create testing invoice with rounding","passed",20581,"2025-08-11T12:41:54.917Z","11. 08. 2025 14:41"
"Test proforma no rounding @low","Log: All invoice variables to console","passed",3830,"2025-08-11T12:42:00.431Z","11. 08. 2025 14:42"
"Test proforma no rounding @low","Create testing proforma","passed",18428,"2025-08-11T12:42:18.931Z","11. 08. 2025 14:42"
"Test proforma no rounding @low","Checks that the downloaded proforma PDF contains correct data","passed",4424,"2025-08-11T12:42:23.405Z","11. 08. 2025 14:42"
"Test proforma no rounding @low","Testing proforma can be edited","passed",14844,"2025-08-11T12:42:38.330Z","11. 08. 2025 14:42"
"Test proforma no rounding @low","Download edited proforma","passed",4222,"2025-08-11T12:42:42.629Z","11. 08. 2025 14:42"
"Test proforma with rounding @high @middle @low","Log: All invoice variables to console","passed",3858,"2025-08-11T12:42:48.092Z","11. 08. 2025 14:42"
"Test proforma with rounding @high @middle @low","Create testing invoice with rounding","passed",19894,"2025-08-11T12:43:08.075Z","11. 08. 2025 14:43"
"Test Corrective and edit corrective @high @middle @low","Log: All invoice variables to console","passed",4039,"2025-08-11T12:43:13.954Z","11. 08. 2025 14:43"
"Test Corrective and edit corrective @high @middle @low","Create testing invoice","passed",19262,"2025-08-11T12:43:33.310Z","11. 08. 2025 14:43"
"Test Corrective and edit corrective @high @middle @low","Create corrective and control layout","passed",15523,"2025-08-11T12:43:48.997Z","11. 08. 2025 14:43"
"Delete Company @high @middle @low","Delete company","passed",14381,"2025-08-11T12:44:04.311Z","11. 08. 2025 14:44"
