# Spuštění a vyhodnocení testů po Binově sprintu S165 vylepšení 34 - GAMA
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",11747,"2025-08-25T11:59:49.116Z","25. 08. 2025 13:59"
"Registration of a test company @high @middle @low","Registers a new company","passed",14390,"2025-08-25T12:00:03.572Z","25. 08. 2025 14:00"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",19202,"2025-08-25T12:00:23.680Z","25. 08. 2025 14:00"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",3629,"2025-08-25T12:00:27.485Z","25. 08. 2025 14:00"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",14849,"2025-08-25T12:00:44.531Z","25. 08. 2025 14:00"
"Create invoice without rounding @high @middle @low","Log: All invoice variables to console","passed",4962,"2025-08-25T12:00:51.090Z","25. 08. 2025 14:00"
"Create invoice without rounding @high @middle @low","Create testing invoice","passed",19234,"2025-08-25T12:01:10.414Z","25. 08. 2025 14:01"
"Create invoice without rounding @high @middle @low","Checks that the downloaded invoice PDF contains correct data","passed",5171,"2025-08-25T12:01:15.680Z","25. 08. 2025 14:01"
"Create invoice without rounding @high @middle @low","Testing invoice can be edited","passed",18159,"2025-08-25T12:01:33.957Z","25. 08. 2025 14:01"
"Create invoice without rounding @high @middle @low","Download edited invoice","passed",4273,"2025-08-25T12:01:38.285Z","25. 08. 2025 14:01"
"Test invoice with rounding @low","Log: All invoice variables to console","passed",40525,"2025-08-25T12:02:20.286Z","25. 08. 2025 14:02"
"Test invoice with rounding @low","Create testing invoice with rounding","passed",20160,"2025-08-25T12:02:40.557Z","25. 08. 2025 14:02"
"Test proforma no rounding @low","Log: All invoice variables to console","passed",5670,"2025-08-25T12:02:47.587Z","25. 08. 2025 14:02"
"Test proforma no rounding @low","Create testing proforma","passed",22234,"2025-08-25T12:03:09.925Z","25. 08. 2025 14:03"
"Test proforma no rounding @low","Checks that the downloaded proforma PDF contains correct data","passed",5244,"2025-08-25T12:03:15.233Z","25. 08. 2025 14:03"
"Test proforma no rounding @low","Testing proforma can be edited","passed",16869,"2025-08-25T12:03:32.205Z","25. 08. 2025 14:03"
"Test proforma no rounding @low","Download edited proforma","passed",4503,"2025-08-25T12:03:36.787Z","25. 08. 2025 14:03"
"Test proforma with rounding @high @middle @low","Log: All invoice variables to console","passed",6861,"2025-08-25T12:03:45.603Z","25. 08. 2025 14:03"
"Test proforma with rounding @high @middle @low","Create testing invoice with rounding","passed",20630,"2025-08-25T12:04:06.334Z","25. 08. 2025 14:04"
"Test Corrective and edit corrective @high @middle @low","Log: All invoice variables to console","passed",4625,"2025-08-25T12:04:12.529Z","25. 08. 2025 14:04"
"Test Corrective and edit corrective @high @middle @low","Create testing invoice","passed",21853,"2025-08-25T12:04:34.460Z","25. 08. 2025 14:04"
"Test Corrective and edit corrective @high @middle @low","Create corrective and control layout","passed",16552,"2025-08-25T12:04:51.223Z","25. 08. 2025 14:04"
"Delete Company @high @middle @low","Delete company","passed",16365,"2025-08-25T12:05:09.081Z","25. 08. 2025 14:05"
