# Testování Beta po nasazení vylepšení 35 od Jakuba ISDOC
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",12270,"2025-08-31T18:02:47.147Z","31. 08. 2025 20:02"
"Registration of a test company @high @middle @low","Registers a new company","passed",15883,"2025-08-31T18:03:03.094Z","31. 08. 2025 20:03"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",15614,"2025-08-31T18:03:19.920Z","31. 08. 2025 20:03"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",3288,"2025-08-31T18:03:23.500Z","31. 08. 2025 20:03"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",13748,"2025-08-31T18:03:38.776Z","31. 08. 2025 20:03"
"Create invoice without rounding @high @middle @low","Log: All invoice variables to console","passed",5464,"2025-08-31T18:03:46.577Z","31. 08. 2025 20:03"
"Create invoice without rounding @high @middle @low","Create testing invoice","passed",19717,"2025-08-31T18:04:06.391Z","31. 08. 2025 20:04"
"Create invoice without rounding @high @middle @low","Checks that the downloaded invoice PDF contains correct data","passed",5433,"2025-08-31T18:04:11.877Z","31. 08. 2025 20:04"
"Create invoice without rounding @high @middle @low","Testing invoice can be edited","passed",18082,"2025-08-31T18:04:30.161Z","31. 08. 2025 20:04"
"Create invoice without rounding @high @middle @low","Download edited invoice","passed",4546,"2025-08-31T18:04:34.795Z","31. 08. 2025 20:04"
"Test invoice with rounding @low","Log: All invoice variables to console","passed",4861,"2025-08-31T18:04:41.504Z","31. 08. 2025 20:04"
"Test invoice with rounding @low","Create testing invoice with rounding","passed",19310,"2025-08-31T18:05:00.881Z","31. 08. 2025 20:05"
"Test proforma no rounding @low","Log: All invoice variables to console","passed",4764,"2025-08-31T18:05:07.208Z","31. 08. 2025 20:05"
"Test proforma no rounding @low","Create testing proforma","passed",18662,"2025-08-31T18:05:25.936Z","31. 08. 2025 20:05"
"Test proforma no rounding @low","Checks that the downloaded proforma PDF contains correct data","passed",4408,"2025-08-31T18:05:30.392Z","31. 08. 2025 20:05"
"Test proforma no rounding @low","Testing proforma can be edited","passed",14352,"2025-08-31T18:05:44.823Z","31. 08. 2025 20:05"
"Test proforma no rounding @low","Download edited proforma","passed",4869,"2025-08-31T18:05:49.736Z","31. 08. 2025 20:05"
"Test proforma with rounding @high @middle @low","Log: All invoice variables to console","passed",4519,"2025-08-31T18:05:55.490Z","31. 08. 2025 20:05"
"Test proforma with rounding @high @middle @low","Create testing invoice with rounding","passed",19113,"2025-08-31T18:06:14.684Z","31. 08. 2025 20:06"
"Test Corrective and edit corrective @high @middle @low","Log: All invoice variables to console","passed",4815,"2025-08-31T18:06:20.711Z","31. 08. 2025 20:06"
"Test Corrective and edit corrective @high @middle @low","Create testing invoice","passed",19549,"2025-08-31T18:06:40.333Z","31. 08. 2025 20:06"
"Test Corrective and edit corrective @high @middle @low","Create corrective and control layout","passed",15745,"2025-08-31T18:06:56.156Z","31. 08. 2025 20:06"
"Delete Company @high @middle @low","Delete company","passed",20284,"2025-08-31T18:07:17.278Z","31. 08. 2025 20:07"
