# Testování Beta
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",14868,"2025-09-03T16:25:45.786Z","03. 09. 2025 18:25"
"Registration of a test company @high @middle @low","Registers a new company","passed",14856,"2025-09-03T16:26:00.675Z","03. 09. 2025 18:26"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",20180,"2025-09-03T16:26:21.604Z","03. 09. 2025 18:26"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",3027,"2025-09-03T16:26:24.754Z","03. 09. 2025 18:26"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",14261,"2025-09-03T16:26:39.988Z","03. 09. 2025 18:26"
"Create invoice without rounding @high @middle @low","Log: All invoice variables to console","passed",5896,"2025-09-03T16:26:47.027Z","03. 09. 2025 18:26"
"Create invoice without rounding @high @middle @low","Create testing invoice","passed",18744,"2025-09-03T16:27:05.831Z","03. 09. 2025 18:27"
"Create invoice without rounding @high @middle @low","Checks that the downloaded invoice PDF contains correct data","passed",4651,"2025-09-03T16:27:10.533Z","03. 09. 2025 18:27"
"Create invoice without rounding @high @middle @low","Testing invoice can be edited","passed",15848,"2025-09-03T16:27:26.437Z","03. 09. 2025 18:27"
"Create invoice without rounding @high @middle @low","Download edited invoice","passed",4557,"2025-09-03T16:27:31.042Z","03. 09. 2025 18:27"
"Test invoice with rounding @low","Log: All invoice variables to console","passed",5286,"2025-09-03T16:27:37.364Z","03. 09. 2025 18:27"
"Test invoice with rounding @low","Create testing invoice with rounding","passed",20279,"2025-09-03T16:27:57.717Z","03. 09. 2025 18:27"
"Test proforma no rounding @low","Log: All invoice variables to console","passed",5211,"2025-09-03T16:28:03.942Z","03. 09. 2025 18:28"
"Test proforma no rounding @low","Create testing proforma","passed",20287,"2025-09-03T16:28:24.289Z","03. 09. 2025 18:28"
"Test proforma no rounding @low","Checks that the downloaded proforma PDF contains correct data","passed",4211,"2025-09-03T16:28:28.563Z","03. 09. 2025 18:28"
"Test proforma no rounding @low","Testing proforma can be edited","passed",15693,"2025-09-03T16:28:44.328Z","03. 09. 2025 18:28"
"Test proforma no rounding @low","Download edited proforma","passed",4621,"2025-09-03T16:28:48.984Z","03. 09. 2025 18:28"
"Test proforma with rounding @high @middle @low","Log: All invoice variables to console","passed",5449,"2025-09-03T16:28:55.508Z","03. 09. 2025 18:28"
"Test proforma with rounding @high @middle @low","Create testing invoice with rounding","passed",21071,"2025-09-03T16:29:16.663Z","03. 09. 2025 18:29"
"Test Corrective and edit corrective @high @middle @low","Log: All invoice variables to console","passed",6037,"2025-09-03T16:29:24.439Z","03. 09. 2025 18:29"
"Test Corrective and edit corrective @high @middle @low","Create testing invoice","passed",21192,"2025-09-03T16:29:45.749Z","03. 09. 2025 18:29"
"Test Corrective and edit corrective @high @middle @low","Create corrective and control layout","passed",15272,"2025-09-03T16:30:01.115Z","03. 09. 2025 18:30"
"Delete Company @high @middle @low","Delete company","passed",17643,"2025-09-03T16:30:20.043Z","03. 09. 2025 18:30"
