# Rutinní pondělní spuštění E2E testů.
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",11500,"2025-09-08T08:17:49.160Z","08. 09. 2025 10:17"
"Registration of a test company @high @middle @low","Registers a new company","passed",15101,"2025-09-08T08:18:04.310Z","08. 09. 2025 10:18"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",14864,"2025-09-08T08:18:20.197Z","08. 09. 2025 10:18"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",3921,"2025-09-08T08:18:24.579Z","08. 09. 2025 10:18"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",12898,"2025-09-08T08:18:39.554Z","08. 09. 2025 10:18"
"Create invoice without rounding @high @middle @low","Log: All invoice variables to console","passed",7725,"2025-09-08T08:18:48.846Z","08. 09. 2025 10:18"
"Create invoice without rounding @high @middle @low","Create testing invoice","passed",20214,"2025-09-08T08:19:09.386Z","08. 09. 2025 10:19"
"Create invoice without rounding @high @middle @low","Checks that the downloaded invoice PDF contains correct data","passed",5141,"2025-09-08T08:19:14.667Z","08. 09. 2025 10:19"
"Create invoice without rounding @high @middle @low","Testing invoice can be edited","passed",15013,"2025-09-08T08:19:29.845Z","08. 09. 2025 10:19"
"Create invoice without rounding @high @middle @low","Download edited invoice","passed",4229,"2025-09-08T08:19:34.128Z","08. 09. 2025 10:19"
"Test invoice with rounding @low","Log: All invoice variables to console","passed",5428,"2025-09-08T08:19:40.878Z","08. 09. 2025 10:19"
"Test invoice with rounding @low","Create testing invoice with rounding","passed",21020,"2025-09-08T08:20:02.011Z","08. 09. 2025 10:20"
"Test proforma no rounding @low","Log: All invoice variables to console","passed",4808,"2025-09-08T08:20:09.142Z","08. 09. 2025 10:20"
"Test proforma no rounding @low","Create testing proforma","passed",19878,"2025-09-08T08:20:29.107Z","08. 09. 2025 10:20"
"Test proforma no rounding @low","Checks that the downloaded proforma PDF contains correct data","passed",4815,"2025-09-08T08:20:33.997Z","08. 09. 2025 10:20"
"Test proforma no rounding @low","Testing proforma can be edited","passed",15902,"2025-09-08T08:20:49.971Z","08. 09. 2025 10:20"
"Test proforma no rounding @low","Download edited proforma","passed",4646,"2025-09-08T08:20:54.711Z","08. 09. 2025 10:20"
"Test proforma with rounding @high @middle @low","Log: All invoice variables to console","passed",5252,"2025-09-08T08:21:02.213Z","08. 09. 2025 10:21"
"Test proforma with rounding @high @middle @low","Create testing invoice with rounding","passed",22239,"2025-09-08T08:21:24.583Z","08. 09. 2025 10:21"
"Test Corrective and edit corrective @high @middle @low","Log: All invoice variables to console","passed",5222,"2025-09-08T08:21:32.032Z","08. 09. 2025 10:21"
"Test Corrective and edit corrective @high @middle @low","Create testing invoice","passed",21324,"2025-09-08T08:21:53.459Z","08. 09. 2025 10:21"
"Test Corrective and edit corrective @high @middle @low","Create corrective and control layout","passed",17111,"2025-09-08T08:22:10.730Z","08. 09. 2025 10:22"
"Delete Company @high @middle @low","Delete company","passed",16649,"2025-09-08T08:22:29.748Z","08. 09. 2025 10:22"
