# Otestování po nasazení vylepšení 40
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",11302,"2025-09-10T15:30:05.249Z","10. 09. 2025 17:30"
"Registration of a test company @high @middle @low","Registers a new company","passed",12541,"2025-09-10T15:30:17.878Z","10. 09. 2025 17:30"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",16823,"2025-09-10T15:30:35.540Z","10. 09. 2025 17:30"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",3124,"2025-09-10T15:30:38.886Z","10. 09. 2025 17:30"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",12495,"2025-09-10T15:30:53.129Z","10. 09. 2025 17:30"
"Create invoice without rounding @high @middle @low","Log: All invoice variables to console","passed",5730,"2025-09-10T15:31:00.443Z","10. 09. 2025 17:31"
"Create invoice without rounding @high @middle @low","Create testing invoice","passed",20228,"2025-09-10T15:31:20.763Z","10. 09. 2025 17:31"
"Create invoice without rounding @high @middle @low","Checks that the downloaded invoice PDF contains correct data","passed",4381,"2025-09-10T15:31:25.225Z","10. 09. 2025 17:31"
"Create invoice without rounding @high @middle @low","Testing invoice can be edited","passed",16086,"2025-09-10T15:31:41.501Z","10. 09. 2025 17:31"
"Create invoice without rounding @high @middle @low","Download edited invoice","passed",5288,"2025-09-10T15:31:46.960Z","10. 09. 2025 17:31"
"Test invoice with rounding @low","Log: All invoice variables to console","passed",5120,"2025-09-10T15:31:54.320Z","10. 09. 2025 17:31"
"Test invoice with rounding @low","Create testing invoice with rounding","passed",21102,"2025-09-10T15:32:15.578Z","10. 09. 2025 17:32"
"Test proforma no rounding @low","Log: All invoice variables to console","passed",5111,"2025-09-10T15:32:22.973Z","10. 09. 2025 17:32"
"Test proforma no rounding @low","Create testing proforma","passed",22318,"2025-09-10T15:32:45.407Z","10. 09. 2025 17:32"
"Test proforma no rounding @low","Checks that the downloaded proforma PDF contains correct data","passed",4760,"2025-09-10T15:32:50.232Z","10. 09. 2025 17:32"
"Test proforma no rounding @low","Testing proforma can be edited","passed",17439,"2025-09-10T15:33:07.835Z","10. 09. 2025 17:33"
"Test proforma no rounding @low","Download edited proforma","passed",5066,"2025-09-10T15:33:13.091Z","10. 09. 2025 17:33"
"Test proforma with rounding @high @middle @low","Log: All invoice variables to console","passed",5367,"2025-09-10T15:33:20.337Z","10. 09. 2025 17:33"
"Test proforma with rounding @high @middle @low","Create testing invoice with rounding","passed",24156,"2025-09-10T15:33:44.656Z","10. 09. 2025 17:33"
"Test Corrective and edit corrective @high @middle @low","Log: All invoice variables to console","passed",6218,"2025-09-10T15:33:52.908Z","10. 09. 2025 17:33"
"Test Corrective and edit corrective @high @middle @low","Create testing invoice","passed",23947,"2025-09-10T15:34:16.954Z","10. 09. 2025 17:34"
"Test Corrective and edit corrective @high @middle @low","Create corrective and control layout","passed",19653,"2025-09-10T15:34:37.010Z","10. 09. 2025 17:34"
"Delete Company @high @middle @low","Delete company","passed",15628,"2025-09-10T15:34:55.953Z","10. 09. 2025 17:34"
