# Testování po nasazení vylepšení 38 + 39
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",12194,"2025-09-11T14:43:10.073Z","11. 09. 2025 16:43"
"Registration of a test company @high @middle @low","Registers a new company","passed",12046,"2025-09-11T14:43:22.171Z","11. 09. 2025 16:43"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",18183,"2025-09-11T14:43:41.277Z","11. 09. 2025 16:43"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",3080,"2025-09-11T14:43:44.662Z","11. 09. 2025 16:43"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",14271,"2025-09-11T14:44:00.830Z","11. 09. 2025 16:44"
"Create invoice without rounding @high @middle @low","Log: All invoice variables to console","passed",4898,"2025-09-11T14:44:07.386Z","11. 09. 2025 16:44"
"Create invoice without rounding @high @middle @low","Create testing invoice","passed",19484,"2025-09-11T14:44:26.946Z","11. 09. 2025 16:44"
"Create invoice without rounding @high @middle @low","Checks that the downloaded invoice PDF contains correct data","passed",5075,"2025-09-11T14:44:32.078Z","11. 09. 2025 16:44"
"Create invoice without rounding @high @middle @low","Testing invoice can be edited","passed",16938,"2025-09-11T14:44:49.136Z","11. 09. 2025 16:44"
"Create invoice without rounding @high @middle @low","Download edited invoice","passed",4636,"2025-09-11T14:44:53.831Z","11. 09. 2025 16:44"
"Test invoice with rounding @low","Log: All invoice variables to console","passed",5448,"2025-09-11T14:45:00.780Z","11. 09. 2025 16:45"
"Test invoice with rounding @low","Create testing invoice with rounding","passed",20500,"2025-09-11T14:45:21.370Z","11. 09. 2025 16:45"
"Test proforma no rounding @low","Log: All invoice variables to console","passed",4751,"2025-09-11T14:45:27.853Z","11. 09. 2025 16:45"
"Test proforma no rounding @low","Create testing proforma","passed",21230,"2025-09-11T14:45:49.244Z","11. 09. 2025 16:45"
"Test proforma no rounding @low","Checks that the downloaded proforma PDF contains correct data","passed",5102,"2025-09-11T14:45:54.482Z","11. 09. 2025 16:45"
"Test proforma no rounding @low","Testing proforma can be edited","passed",18532,"2025-09-11T14:46:13.159Z","11. 09. 2025 16:46"
"Test proforma no rounding @low","Download edited proforma","passed",5190,"2025-09-11T14:46:18.404Z","11. 09. 2025 16:46"
"Test proforma with rounding @high @middle @low","Log: All invoice variables to console","passed",5333,"2025-09-11T14:46:24.933Z","11. 09. 2025 16:46"
"Test proforma with rounding @high @middle @low","Create testing invoice with rounding","passed",21453,"2025-09-11T14:46:46.471Z","11. 09. 2025 16:46"
"Test Corrective and edit corrective @high @middle @low","Log: All invoice variables to console","passed",5610,"2025-09-11T14:46:53.589Z","11. 09. 2025 16:46"
"Test Corrective and edit corrective @high @middle @low","Create testing invoice","passed",22895,"2025-09-11T14:47:16.679Z","11. 09. 2025 16:47"
"Test Corrective and edit corrective @high @middle @low","Create corrective and control layout","passed",16327,"2025-09-11T14:47:33.280Z","11. 09. 2025 16:47"
"Delete Company @high @middle @low","Delete company","passed",15468,"2025-09-11T14:47:49.937Z","11. 09. 2025 16:47"
