# První test spuštění paralellních testů pro neplátce DPH
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",15576,"2025-07-09T19:04:49.143Z","09. 07. 2025 21:04"
"Registration of a test company @high @middle @low","Registers a new company","passed",18800,"2025-07-09T19:05:07.983Z","09. 07. 2025 21:05"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",19732,"2025-07-09T19:05:28.713Z","09. 07. 2025 21:05"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",4986,"2025-07-09T19:05:33.763Z","09. 07. 2025 21:05"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",14991,"2025-07-09T19:05:49.618Z","09. 07. 2025 21:05"
"Invoice without rounding eur currency @high @middle @low","Log: All invoice variables to console","passed",6084,"2025-07-09T19:05:57.131Z","09. 07. 2025 21:05"
"Invoice without rounding eur currency @high @middle @low","Create invoice with EUR currency and test layout","passed",24653,"2025-07-09T19:06:21.861Z","09. 07. 2025 21:06"
"Invoice without rounding eur currency @high @middle @low","Download created invoice","passed",5590,"2025-07-09T19:06:27.508Z","09. 07. 2025 21:06"
"Invoice without rounding eur currency @high @middle @low","Change showing CZK currency in the layout","passed",12171,"2025-07-09T19:06:39.740Z","09. 07. 2025 21:06"
"Invoice without rounding eur currency @high @middle @low","Download edited invoice","passed",5141,"2025-07-09T19:06:44.923Z","09. 07. 2025 21:06"
"Invoice with rounding eur currency @middle @low","Log: All invoice variables to console","passed",6114,"2025-07-09T19:06:52.120Z","09. 07. 2025 21:06"
"Invoice with rounding eur currency @middle @low","Create invoice with EUR currency and test layout","passed",25355,"2025-07-09T19:07:17.539Z","09. 07. 2025 21:07"
"Proforma without rounding eur currency @low","Log: All invoice variables to console","passed",5561,"2025-07-09T19:07:24.216Z","09. 07. 2025 21:07"
"Proforma without rounding eur currency @low","Create invoice with EUR currency and test layout","passed",24760,"2025-07-09T19:07:49.037Z","09. 07. 2025 21:07"
"Proforma without rounding eur currency @low","Download created invoice","passed",7008,"2025-07-09T19:07:56.085Z","09. 07. 2025 21:07"
"Proforma without rounding eur currency @low","Change showing CZK currency in the layout","passed",11440,"2025-07-09T19:08:07.608Z","09. 07. 2025 21:08"
"Proforma without rounding eur currency @low","Download edited invoice","passed",5150,"2025-07-09T19:08:12.796Z","09. 07. 2025 21:08"
"Proforma with rounding eur currency @low","Log: All invoice variables to console","passed",5627,"2025-07-09T19:08:19.519Z","09. 07. 2025 21:08"
"Proforma with rounding eur currency @low","Create proforma with EUR currency and test layout","passed",24757,"2025-07-09T19:08:44.336Z","09. 07. 2025 21:08"
"Create corrective Eur currency @high @middle @low","Log: All invoice variables to console","passed",5664,"2025-07-09T19:08:51.098Z","09. 07. 2025 21:08"
"Create corrective Eur currency @high @middle @low","Create test invoice for corrective","passed",25778,"2025-07-09T19:09:16.963Z","09. 07. 2025 21:09"
"Create corrective Eur currency @high @middle @low","Create corrective","passed",19311,"2025-07-09T19:09:36.385Z","09. 07. 2025 21:09"
"Delete Company @high @middle @low","Delete company","passed",17728,"2025-07-09T19:09:54.932Z","09. 07. 2025 21:09"
