"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",8607,"2025-07-29T12:02:40.595Z","29. 07. 2025 14:02"
"Registration of a test company @high @middle @low","Registers a new company","passed",13493,"2025-07-29T12:02:54.124Z","29. 07. 2025 14:02"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",10563,"2025-07-29T12:03:05.412Z","29. 07. 2025 14:03"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",2202,"2025-07-29T12:03:07.669Z","29. 07. 2025 14:03"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",9818,"2025-07-29T12:03:18.420Z","29. 07. 2025 14:03"
"Invoice without rounding eur currency @high @middle @low","Log: All invoice variables to console","passed",3769,"2025-07-29T12:03:23.313Z","29. 07. 2025 14:03"
"Invoice without rounding eur currency @high @middle @low","Create invoice with EUR currency and test layout","passed",17775,"2025-07-29T12:03:41.155Z","29. 07. 2025 14:03"
"Invoice without rounding eur currency @high @middle @low","Download created invoice","passed",4142,"2025-07-29T12:03:45.349Z","29. 07. 2025 14:03"
"Invoice without rounding eur currency @high @middle @low","Change showing CZK currency in the layout","passed",8377,"2025-07-29T12:03:53.781Z","29. 07. 2025 14:03"
"Invoice without rounding eur currency @high @middle @low","Download edited invoice","passed",3962,"2025-07-29T12:03:57.775Z","29. 07. 2025 14:03"
"Invoice with rounding eur currency @middle @low","Log: All invoice variables to console","passed",3469,"2025-07-29T12:04:02.268Z","29. 07. 2025 14:04"
"Invoice with rounding eur currency @middle @low","Create invoice with EUR currency and test layout","passed",18937,"2025-07-29T12:04:21.271Z","29. 07. 2025 14:04"
"Proforma without rounding eur currency @low","Log: All invoice variables to console","passed",4703,"2025-07-29T12:04:27.039Z","29. 07. 2025 14:04"
"Proforma without rounding eur currency @low","Create invoice with EUR currency and test layout","passed",21586,"2025-07-29T12:04:48.695Z","29. 07. 2025 14:04"
"Proforma without rounding eur currency @low","Download created invoice","passed",4075,"2025-07-29T12:04:52.810Z","29. 07. 2025 14:04"
"Proforma without rounding eur currency @low","Change showing CZK currency in the layout","passed",8599,"2025-07-29T12:05:01.472Z","29. 07. 2025 14:05"
"Proforma without rounding eur currency @low","Download edited invoice","passed",4048,"2025-07-29T12:05:05.550Z","29. 07. 2025 14:05"
"Proforma with rounding eur currency @low","Log: All invoice variables to console","passed",4573,"2025-07-29T12:05:11.079Z","29. 07. 2025 14:05"
"Proforma with rounding eur currency @low","Create proforma with EUR currency and test layout","passed",18669,"2025-07-29T12:05:29.811Z","29. 07. 2025 14:05"
"Create corrective Eur currency @high @middle @low","Log: All invoice variables to console","passed",4438,"2025-07-29T12:05:35.252Z","29. 07. 2025 14:05"
"Create corrective Eur currency @high @middle @low","Create test invoice for corrective","passed",19032,"2025-07-29T12:05:54.356Z","29. 07. 2025 14:05"
"Create corrective Eur currency @high @middle @low","Create corrective","passed",15720,"2025-07-29T12:06:10.152Z","29. 07. 2025 14:06"
"Delete Company @high @middle @low","Delete company","passed",14174,"2025-07-29T12:06:25.111Z","29. 07. 2025 14:06"
