# Spuštění a vyhodnocení testů po Binově sprintu S165 vylepšení 34 - GAMA
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",10386,"2025-08-25T12:35:56.871Z","25. 08. 2025 14:35"
"Registration of a test company @high @middle @low","Registers a new company","passed",14384,"2025-08-25T12:36:11.300Z","25. 08. 2025 14:36"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",12669,"2025-08-25T12:36:24.759Z","25. 08. 2025 14:36"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",2881,"2025-08-25T12:36:27.703Z","25. 08. 2025 14:36"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",11622,"2025-08-25T12:36:40.147Z","25. 08. 2025 14:36"
"Invoice without rounding eur currency @high @middle @low","Log: All invoice variables to console","passed",4492,"2025-08-25T12:36:45.694Z","25. 08. 2025 14:36"
"Invoice without rounding eur currency @high @middle @low","Create invoice with EUR currency and test layout","passed",19802,"2025-08-25T12:37:05.548Z","25. 08. 2025 14:37"
"Invoice without rounding eur currency @high @middle @low","Download created invoice","passed",4375,"2025-08-25T12:37:09.961Z","25. 08. 2025 14:37"
"Invoice without rounding eur currency @high @middle @low","Change showing CZK currency in the layout","passed",10588,"2025-08-25T12:37:20.607Z","25. 08. 2025 14:37"
"Invoice without rounding eur currency @high @middle @low","Download edited invoice","passed",4703,"2025-08-25T12:37:25.353Z","25. 08. 2025 14:37"
"Invoice with rounding eur currency @middle @low","Log: All invoice variables to console","passed",4280,"2025-08-25T12:37:30.761Z","25. 08. 2025 14:37"
"Invoice with rounding eur currency @middle @low","Create invoice with EUR currency and test layout","passed",20635,"2025-08-25T12:37:51.464Z","25. 08. 2025 14:37"
"Proforma without rounding eur currency @low","Log: All invoice variables to console","passed",4201,"2025-08-25T12:37:56.940Z","25. 08. 2025 14:37"
"Proforma without rounding eur currency @low","Create invoice with EUR currency and test layout","passed",20098,"2025-08-25T12:38:17.108Z","25. 08. 2025 14:38"
"Proforma without rounding eur currency @low","Download created invoice","passed",4508,"2025-08-25T12:38:21.663Z","25. 08. 2025 14:38"
"Proforma without rounding eur currency @low","Change showing CZK currency in the layout","passed",9260,"2025-08-25T12:38:30.981Z","25. 08. 2025 14:38"
"Proforma without rounding eur currency @low","Download edited invoice","passed",4563,"2025-08-25T12:38:35.577Z","25. 08. 2025 14:38"
"Proforma with rounding eur currency @low","Log: All invoice variables to console","passed",4676,"2025-08-25T12:38:41.322Z","25. 08. 2025 14:38"
"Proforma with rounding eur currency @low","Create proforma with EUR currency and test layout","passed",20642,"2025-08-25T12:39:02.038Z","25. 08. 2025 14:39"
"Create corrective Eur currency @high @middle @low","Log: All invoice variables to console","passed",4620,"2025-08-25T12:39:07.831Z","25. 08. 2025 14:39"
"Create corrective Eur currency @high @middle @low","Create test invoice for corrective","passed",21338,"2025-08-25T12:39:29.237Z","25. 08. 2025 14:39"
"Create corrective Eur currency @high @middle @low","Create corrective","passed",15683,"2025-08-25T12:39:45.005Z","25. 08. 2025 14:39"
"Delete Company @high @middle @low","Delete company","passed",15809,"2025-08-25T12:40:01.781Z","25. 08. 2025 14:40"
