# Testování Beta po nasazení vylepšení 35 od Jakuba ISDOC
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",10449,"2025-08-31T18:21:02.315Z","31. 08. 2025 20:21"
"Registration of a test company @high @middle @low","Registers a new company","passed",12521,"2025-08-31T18:21:14.879Z","31. 08. 2025 20:21"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",12804,"2025-08-31T18:21:28.958Z","31. 08. 2025 20:21"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",2940,"2025-08-31T18:21:31.948Z","31. 08. 2025 20:21"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",11559,"2025-08-31T18:21:44.304Z","31. 08. 2025 20:21"
"Invoice without rounding eur currency @high @middle @low","Log: All invoice variables to console","passed",4282,"2025-08-31T18:21:50.005Z","31. 08. 2025 20:21"
"Invoice without rounding eur currency @high @middle @low","Create invoice with EUR currency and test layout","passed",19471,"2025-08-31T18:22:09.598Z","31. 08. 2025 20:22"
"Invoice without rounding eur currency @high @middle @low","Download created invoice","passed",4458,"2025-08-31T18:22:14.118Z","31. 08. 2025 20:22"
"Invoice without rounding eur currency @high @middle @low","Change showing CZK currency in the layout","passed",9863,"2025-08-31T18:22:24.050Z","31. 08. 2025 20:22"
"Invoice without rounding eur currency @high @middle @low","Download edited invoice","passed",4129,"2025-08-31T18:22:28.209Z","31. 08. 2025 20:22"
"Invoice with rounding eur currency @middle @low","Log: All invoice variables to console","passed",4450,"2025-08-31T18:22:33.724Z","31. 08. 2025 20:22"
"Invoice with rounding eur currency @middle @low","Create invoice with EUR currency and test layout","passed",20822,"2025-08-31T18:22:54.616Z","31. 08. 2025 20:22"
"Proforma without rounding eur currency @low","Log: All invoice variables to console","passed",5311,"2025-08-31T18:23:01.005Z","31. 08. 2025 20:23"
"Proforma without rounding eur currency @low","Create invoice with EUR currency and test layout","passed",20095,"2025-08-31T18:23:21.176Z","31. 08. 2025 20:23"
"Proforma without rounding eur currency @low","Download created invoice","passed",4462,"2025-08-31T18:23:25.676Z","31. 08. 2025 20:23"
"Proforma without rounding eur currency @low","Change showing CZK currency in the layout","passed",9248,"2025-08-31T18:23:35.001Z","31. 08. 2025 20:23"
"Proforma without rounding eur currency @low","Download edited invoice","passed",4278,"2025-08-31T18:23:39.322Z","31. 08. 2025 20:23"
"Proforma with rounding eur currency @low","Log: All invoice variables to console","passed",4507,"2025-08-31T18:23:44.890Z","31. 08. 2025 20:23"
"Proforma with rounding eur currency @low","Create proforma with EUR currency and test layout","passed",20189,"2025-08-31T18:24:05.142Z","31. 08. 2025 20:24"
"Create corrective Eur currency @high @middle @low","Log: All invoice variables to console","passed",4414,"2025-08-31T18:24:10.771Z","31. 08. 2025 20:24"
"Create corrective Eur currency @high @middle @low","Create test invoice for corrective","passed",20552,"2025-08-31T18:24:31.389Z","31. 08. 2025 20:24"
"Create corrective Eur currency @high @middle @low","Create corrective","passed",15634,"2025-08-31T18:24:47.121Z","31. 08. 2025 20:24"
"Delete Company @high @middle @low","Delete company","passed",19787,"2025-08-31T18:25:07.775Z","31. 08. 2025 20:25"
