# Beta testování
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",16804,"2025-09-03T16:07:09.201Z","03. 09. 2025 18:07"
"Registration of a test company @high @middle @low","Registers a new company","passed",13497,"2025-09-03T16:07:22.756Z","03. 09. 2025 18:07"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",14720,"2025-09-03T16:07:38.428Z","03. 09. 2025 18:07"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",2889,"2025-09-03T16:07:41.450Z","03. 09. 2025 18:07"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",13305,"2025-09-03T16:07:55.845Z","03. 09. 2025 18:07"
"Invoice without rounding eur currency @high @middle @low","Log: All invoice variables to console","passed",6328,"2025-09-03T16:08:03.534Z","03. 09. 2025 18:08"
"Invoice without rounding eur currency @high @middle @low","Create invoice with EUR currency and test layout","passed",21653,"2025-09-03T16:08:25.248Z","03. 09. 2025 18:08"
"Invoice without rounding eur currency @high @middle @low","Download created invoice","passed",5003,"2025-09-03T16:08:30.291Z","03. 09. 2025 18:08"
"Invoice without rounding eur currency @high @middle @low","Change showing CZK currency in the layout","passed",9806,"2025-09-03T16:08:40.154Z","03. 09. 2025 18:08"
"Invoice without rounding eur currency @high @middle @low","Download edited invoice","passed",4334,"2025-09-03T16:08:44.539Z","03. 09. 2025 18:08"
"Invoice with rounding eur currency @middle @low","Log: All invoice variables to console","passed",6325,"2025-09-03T16:08:51.891Z","03. 09. 2025 18:08"
"Invoice with rounding eur currency @middle @low","Create invoice with EUR currency and test layout","passed",20589,"2025-09-03T16:09:12.585Z","03. 09. 2025 18:09"
"Proforma without rounding eur currency @low","Log: All invoice variables to console","passed",5408,"2025-09-03T16:09:19.075Z","03. 09. 2025 18:09"
"Proforma without rounding eur currency @low","Create invoice with EUR currency and test layout","passed",21706,"2025-09-03T16:09:40.843Z","03. 09. 2025 18:09"
"Proforma without rounding eur currency @low","Download created invoice","passed",4320,"2025-09-03T16:09:45.204Z","03. 09. 2025 18:09"
"Proforma without rounding eur currency @low","Change showing CZK currency in the layout","passed",10134,"2025-09-03T16:09:55.406Z","03. 09. 2025 18:09"
"Proforma without rounding eur currency @low","Download edited invoice","passed",4330,"2025-09-03T16:09:59.769Z","03. 09. 2025 18:09"
"Proforma with rounding eur currency @low","Log: All invoice variables to console","passed",5865,"2025-09-03T16:10:06.636Z","03. 09. 2025 18:10"
"Proforma with rounding eur currency @low","Create proforma with EUR currency and test layout","passed",22356,"2025-09-03T16:10:29.048Z","03. 09. 2025 18:10"
"Create corrective Eur currency @high @middle @low","Log: All invoice variables to console","passed",7264,"2025-09-03T16:10:37.308Z","03. 09. 2025 18:10"
"Create corrective Eur currency @high @middle @low","Create test invoice for corrective","passed",22140,"2025-09-03T16:10:59.515Z","03. 09. 2025 18:10"
"Create corrective Eur currency @high @middle @low","Create corrective","passed",15863,"2025-09-03T16:11:15.500Z","03. 09. 2025 18:11"
"Delete Company @high @middle @low","Delete company","failed",16979,"2025-09-03T16:11:33.285Z","03. 09. 2025 18:11"
