# Rutinní pondělní spuštění E2E testů.
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",11524,"2025-09-08T08:17:49.261Z","08. 09. 2025 10:17"
"Registration of a test company @high @middle @low","Registers a new company","passed",16830,"2025-09-08T08:18:06.130Z","08. 09. 2025 10:18"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",14794,"2025-09-08T08:18:22.040Z","08. 09. 2025 10:18"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",4441,"2025-09-08T08:18:26.735Z","08. 09. 2025 10:18"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",14954,"2025-09-08T08:18:42.963Z","08. 09. 2025 10:18"
"Invoice without rounding eur currency @high @middle @low","Log: All invoice variables to console","passed",5357,"2025-09-08T08:18:49.665Z","08. 09. 2025 10:18"
"Invoice without rounding eur currency @high @middle @low","Create invoice with EUR currency and test layout","passed",22260,"2025-09-08T08:19:12.002Z","08. 09. 2025 10:19"
"Invoice without rounding eur currency @high @middle @low","Download created invoice","passed",4725,"2025-09-08T08:19:16.802Z","08. 09. 2025 10:19"
"Invoice without rounding eur currency @high @middle @low","Change showing CZK currency in the layout","passed",11018,"2025-09-08T08:19:27.936Z","08. 09. 2025 10:19"
"Invoice without rounding eur currency @high @middle @low","Download edited invoice","passed",4316,"2025-09-08T08:19:32.300Z","08. 09. 2025 10:19"
"Invoice with rounding eur currency @middle @low","Log: All invoice variables to console","passed",5182,"2025-09-08T08:19:38.903Z","08. 09. 2025 10:19"
"Invoice with rounding eur currency @middle @low","Create invoice with EUR currency and test layout","passed",24831,"2025-09-08T08:20:03.916Z","08. 09. 2025 10:20"
"Proforma without rounding eur currency @low","Log: All invoice variables to console","passed",4400,"2025-09-08T08:20:10.114Z","08. 09. 2025 10:20"
"Proforma without rounding eur currency @low","Create invoice with EUR currency and test layout","passed",21140,"2025-09-08T08:20:31.337Z","08. 09. 2025 10:20"
"Proforma without rounding eur currency @low","Download created invoice","passed",4624,"2025-09-08T08:20:36.057Z","08. 09. 2025 10:20"
"Proforma without rounding eur currency @low","Change showing CZK currency in the layout","passed",11539,"2025-09-08T08:20:47.726Z","08. 09. 2025 10:20"
"Proforma without rounding eur currency @low","Download edited invoice","passed",4925,"2025-09-08T08:20:52.709Z","08. 09. 2025 10:20"
"Proforma with rounding eur currency @low","Log: All invoice variables to console","passed",5532,"2025-09-08T08:21:00.594Z","08. 09. 2025 10:21"
"Proforma with rounding eur currency @low","Create proforma with EUR currency and test layout","passed",25971,"2025-09-08T08:21:26.658Z","08. 09. 2025 10:21"
"Create corrective Eur currency @high @middle @low","Log: All invoice variables to console","passed",5281,"2025-09-08T08:21:33.492Z","08. 09. 2025 10:21"
"Create corrective Eur currency @high @middle @low","Create test invoice for corrective","passed",22136,"2025-09-08T08:21:55.736Z","08. 09. 2025 10:21"
"Create corrective Eur currency @high @middle @low","Create corrective","passed",18204,"2025-09-08T08:22:14.187Z","08. 09. 2025 10:22"
"Delete Company @high @middle @low","Delete company","passed",16407,"2025-09-08T08:22:32.068Z","08. 09. 2025 10:22"
