# Otestování po nasazení vylepšení 40
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",11627,"2025-09-10T15:30:05.628Z","10. 09. 2025 17:30"
"Registration of a test company @high @middle @low","Registers a new company","passed",14594,"2025-09-10T15:30:20.258Z","10. 09. 2025 17:30"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",13645,"2025-09-10T15:30:34.851Z","10. 09. 2025 17:30"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",2984,"2025-09-10T15:30:38.024Z","10. 09. 2025 17:30"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",13651,"2025-09-10T15:30:53.308Z","10. 09. 2025 17:30"
"Invoice without rounding eur currency @high @middle @low","Log: All invoice variables to console","passed",5702,"2025-09-10T15:31:00.492Z","10. 09. 2025 17:31"
"Invoice without rounding eur currency @high @middle @low","Create invoice with EUR currency and test layout","passed",20857,"2025-09-10T15:31:21.463Z","10. 09. 2025 17:31"
"Invoice without rounding eur currency @high @middle @low","Download created invoice","passed",4678,"2025-09-10T15:31:26.202Z","10. 09. 2025 17:31"
"Invoice without rounding eur currency @high @middle @low","Change showing CZK currency in the layout","passed",10075,"2025-09-10T15:31:36.406Z","10. 09. 2025 17:31"
"Invoice without rounding eur currency @high @middle @low","Download edited invoice","passed",4532,"2025-09-10T15:31:40.987Z","10. 09. 2025 17:31"
"Invoice with rounding eur currency @middle @low","Log: All invoice variables to console","passed",5830,"2025-09-10T15:31:49.970Z","10. 09. 2025 17:31"
"Invoice with rounding eur currency @middle @low","Create invoice with EUR currency and test layout","passed",22095,"2025-09-10T15:32:12.186Z","10. 09. 2025 17:32"
"Proforma without rounding eur currency @low","Log: All invoice variables to console","passed",5725,"2025-09-10T15:32:19.720Z","10. 09. 2025 17:32"
"Proforma without rounding eur currency @low","Create invoice with EUR currency and test layout","passed",23321,"2025-09-10T15:32:43.134Z","10. 09. 2025 17:32"
"Proforma without rounding eur currency @low","Download created invoice","passed",6563,"2025-09-10T15:32:49.782Z","10. 09. 2025 17:32"
"Proforma without rounding eur currency @low","Change showing CZK currency in the layout","passed",11200,"2025-09-10T15:33:01.216Z","10. 09. 2025 17:33"
"Proforma without rounding eur currency @low","Download edited invoice","passed",5680,"2025-09-10T15:33:07.041Z","10. 09. 2025 17:33"
"Proforma with rounding eur currency @low","Log: All invoice variables to console","passed",5702,"2025-09-10T15:33:15.466Z","10. 09. 2025 17:33"
"Proforma with rounding eur currency @low","Create proforma with EUR currency and test layout","passed",26442,"2025-09-10T15:33:42.042Z","10. 09. 2025 17:33"
"Create corrective Eur currency @high @middle @low","Log: All invoice variables to console","passed",5597,"2025-09-10T15:33:49.756Z","10. 09. 2025 17:33"
"Create corrective Eur currency @high @middle @low","Create test invoice for corrective","passed",26674,"2025-09-10T15:34:16.636Z","10. 09. 2025 17:34"
"Create corrective Eur currency @high @middle @low","Create corrective","passed",21061,"2025-09-10T15:34:38.487Z","10. 09. 2025 17:34"
"Delete Company @high @middle @low","Delete company","passed",16720,"2025-09-10T15:34:57.447Z","10. 09. 2025 17:34"
