# Testování po nasazení vylepšení 38 + 39
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",12216,"2025-09-11T14:43:10.191Z","11. 09. 2025 16:43"
"Registration of a test company @high @middle @low","Registers a new company","passed",16413,"2025-09-11T14:43:26.683Z","11. 09. 2025 16:43"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",14344,"2025-09-11T14:43:41.952Z","11. 09. 2025 16:43"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",3353,"2025-09-11T14:43:45.518Z","11. 09. 2025 16:43"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",14381,"2025-09-11T14:44:01.212Z","11. 09. 2025 16:44"
"Invoice without rounding eur currency @high @middle @low","Log: All invoice variables to console","passed",5648,"2025-09-11T14:44:08.454Z","11. 09. 2025 16:44"
"Invoice without rounding eur currency @high @middle @low","Create invoice with EUR currency and test layout","passed",20840,"2025-09-11T14:44:29.416Z","11. 09. 2025 16:44"
"Invoice without rounding eur currency @high @middle @low","Download created invoice","passed",5185,"2025-09-11T14:44:34.668Z","11. 09. 2025 16:44"
"Invoice without rounding eur currency @high @middle @low","Change showing CZK currency in the layout","passed",10017,"2025-09-11T14:44:44.792Z","11. 09. 2025 16:44"
"Invoice without rounding eur currency @high @middle @low","Download edited invoice","passed",4878,"2025-09-11T14:44:49.712Z","11. 09. 2025 16:44"
"Invoice with rounding eur currency @middle @low","Log: All invoice variables to console","passed",4563,"2025-09-11T14:44:56.232Z","11. 09. 2025 16:44"
"Invoice with rounding eur currency @middle @low","Create invoice with EUR currency and test layout","passed",21970,"2025-09-11T14:45:18.403Z","11. 09. 2025 16:45"
"Proforma without rounding eur currency @low","Log: All invoice variables to console","passed",5583,"2025-09-11T14:45:25.846Z","11. 09. 2025 16:45"
"Proforma without rounding eur currency @low","Create invoice with EUR currency and test layout","passed",22406,"2025-09-11T14:45:48.385Z","11. 09. 2025 16:45"
"Proforma without rounding eur currency @low","Download created invoice","passed",4692,"2025-09-11T14:45:53.203Z","11. 09. 2025 16:45"
"Proforma without rounding eur currency @low","Change showing CZK currency in the layout","passed",11624,"2025-09-11T14:46:05.052Z","11. 09. 2025 16:46"
"Proforma without rounding eur currency @low","Download edited invoice","passed",4555,"2025-09-11T14:46:09.741Z","11. 09. 2025 16:46"
"Proforma with rounding eur currency @low","Log: All invoice variables to console","passed",4864,"2025-09-11T14:46:15.915Z","11. 09. 2025 16:46"
"Proforma with rounding eur currency @low","Create proforma with EUR currency and test layout","passed",22715,"2025-09-11T14:46:38.765Z","11. 09. 2025 16:46"
"Create corrective Eur currency @high @middle @low","Log: All invoice variables to console","passed",6168,"2025-09-11T14:46:46.815Z","11. 09. 2025 16:46"
"Create corrective Eur currency @high @middle @low","Create test invoice for corrective","passed",24777,"2025-09-11T14:47:11.727Z","11. 09. 2025 16:47"
"Create corrective Eur currency @high @middle @low","Create corrective","passed",17571,"2025-09-11T14:47:29.429Z","11. 09. 2025 16:47"
"Delete Company @high @middle @low","Delete company","passed",16139,"2025-09-11T14:47:47.185Z","11. 09. 2025 16:47"
