# První test spuštění paralellních testů pro neplátce DPH
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",26661,"2025-07-09T19:05:00.243Z","09. 07. 2025 21:05"
"Registration of a test company @high @middle @low","Register a new company","passed",15541,"2025-07-09T19:05:15.828Z","09. 07. 2025 21:05"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",16737,"2025-07-09T19:05:33.561Z","09. 07. 2025 21:05"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",4786,"2025-07-09T19:05:38.487Z","09. 07. 2025 21:05"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",14307,"2025-07-09T19:05:54.005Z","09. 07. 2025 21:05"
"Note field cant have more than 250 chars @high @middle @low","Note field on the invoice cant have more than 250 char","passed",28880,"2025-07-09T19:06:25.014Z","09. 07. 2025 21:06"
"Note field cant have more than 250 chars on the proforma @low","Delete all invoices","passed",11959,"2025-07-09T19:06:38.529Z","09. 07. 2025 21:06"
"Note field cant have more than 250 chars on the proforma @low","Note field on the proforma cant have more than 250 char","passed",22036,"2025-07-09T19:07:00.629Z","09. 07. 2025 21:07"
"Note field cant have more than 250 chars on the corrective @low","Delete all invoices","passed",14560,"2025-07-09T19:07:16.339Z","09. 07. 2025 21:07"
"Note field cant have more than 250 chars on the corrective @low","Set invoice for corrective","passed",17069,"2025-07-09T19:07:33.458Z","09. 07. 2025 21:07"
"Note field cant have more than 250 chars on the corrective @low","Note field on the corrective cant have more than 250 char","passed",21215,"2025-07-09T19:07:54.743Z","09. 07. 2025 21:07"
"Set contacts (web, email, fax, tel) on the invoice setting and propagation on the all invoice @middle @low","Set contacts (web, email, fax, tel) in the invoice setting","passed",12506,"2025-07-09T19:08:08.381Z","09. 07. 2025 21:08"
"Set contacts (web, email, fax, tel) on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the invoice","passed",19283,"2025-07-09T19:08:27.737Z","09. 07. 2025 21:08"
"Set contacts (web, email, fax, tel) on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the edited invoice","passed",10381,"2025-07-09T19:08:38.189Z","09. 07. 2025 21:08"
"Set contacts (web, email, fax, tel) on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the proforma","passed",21493,"2025-07-09T19:08:59.739Z","09. 07. 2025 21:08"
"Set contacts (web, email, fax, tel) on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the edited proforma","passed",12633,"2025-07-09T19:09:12.458Z","09. 07. 2025 21:09"
"Set contacts (web, email, fax, tel) on the invoice setting and propagation on the all invoice @middle @low","Delete all invoices","passed",8708,"2025-07-09T19:09:21.222Z","09. 07. 2025 21:09"
"Set contacts (web, email, fax, tel) on the invoice setting and propagation on the all invoice @middle @low","Prepare invoice for corrective","passed",19016,"2025-07-09T19:09:40.289Z","09. 07. 2025 21:09"
"Set contacts (web, email, fax, tel) on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the corrective","passed",28054,"2025-07-09T19:10:08.415Z","09. 07. 2025 21:10"
"Set contacts (web, email, fax, tel) on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the edited corrective","passed",13679,"2025-07-09T19:10:22.148Z","09. 07. 2025 21:10"
"Set contacts (web, email, fax, tel) on the invoice setting and propagation on the all invoice @middle @low","Smazaní kontaktů z nastavení","passed",4965,"2025-07-09T19:10:27.227Z","09. 07. 2025 21:10"
"Add contact on the invoice @high @middle @low","Delete all invoices","passed",17109,"2025-07-09T19:10:45.483Z","09. 07. 2025 21:10"
"Add contact on the invoice @high @middle @low","Add new contact on the invoice","passed",24491,"2025-07-09T19:11:10.027Z","09. 07. 2025 21:11"
"Add contact on the invoice @high @middle @low","Edit contact on the invoice","passed",22280,"2025-07-09T19:11:32.379Z","09. 07. 2025 21:11"
"Add contact on the invoice @high @middle @low","Propsání kontaktu na ODD","passed",19103,"2025-07-09T19:11:51.541Z","09. 07. 2025 21:11"
"Add contact on the invoice @high @middle @low","Smazání kontaktu","passed",5062,"2025-07-09T19:11:56.650Z","09. 07. 2025 21:11"
"Add contact to the proforma @middle @low","Delete all invoices","passed",13499,"2025-07-09T19:12:11.256Z","09. 07. 2025 21:12"
"Add contact to the proforma @middle @low","Add contact on the proforma","passed",24324,"2025-07-09T19:12:35.641Z","09. 07. 2025 21:12"
"Add contact to the proforma @middle @low","Edit contact on the proforma","passed",18562,"2025-07-09T19:12:54.286Z","09. 07. 2025 21:12"
"Add contact to the proforma @middle @low","Smazání kontaktu","passed",4407,"2025-07-09T19:12:58.738Z","09. 07. 2025 21:12"
"Add delivery address to the contact @high @middle @low","Add new contact with two delivery address on the invoice","passed",38450,"2025-07-09T19:13:38.243Z","09. 07. 2025 21:13"
"Add delivery address to the contact @high @middle @low","Delete contact","passed",4428,"2025-07-09T19:13:42.725Z","09. 07. 2025 21:13"
"Add delivery address to the contact @high @middle @low","Add new contact with two delivery address on the proforma","passed",39217,"2025-07-09T19:14:23.038Z","09. 07. 2025 21:14"
"Add delivery address to the contact @high @middle @low","Delete contact","passed",4501,"2025-07-09T19:14:27.589Z","09. 07. 2025 21:14"
"Add header and footer text on the invoice @high @middle @low","Add header text on the invoice","passed",55606,"2025-07-09T19:15:24.188Z","09. 07. 2025 21:15"
"Add header and footer text on the invoice @high @middle @low","Add footer text on the invoice","passed",49918,"2025-07-09T19:16:14.174Z","09. 07. 2025 21:16"
"Add header and footer text on the proforma @high @middle @low","Add header text on the proforma","passed",56319,"2025-07-09T19:17:11.537Z","09. 07. 2025 21:17"
"Add header and footer text on the proforma @high @middle @low","Add footer text on the proforma","passed",49759,"2025-07-09T19:18:01.367Z","09. 07. 2025 21:18"
"Add footer text in corrective @low","Create invoice","passed",25652,"2025-07-09T19:18:28.022Z","09. 07. 2025 21:18"
"Add footer text in corrective @low","Add header text and create footer text on the corrective","passed",58418,"2025-07-09T19:19:26.498Z","09. 07. 2025 21:19"
"Footer and header text when template is not set invoice @low","Delete all invoices","passed",12512,"2025-07-09T19:19:39.997Z","09. 07. 2025 21:19"
"Footer and header text when template is not set invoice @low","Header and footer text is on the layout of invoice when template is clear","passed",31631,"2025-07-09T19:20:11.687Z","09. 07. 2025 21:20"
"Footer and header text when template is not set invoice @low","Header and footer text is in the downloaded invoice","passed",5076,"2025-07-09T19:20:16.795Z","09. 07. 2025 21:20"
"Footer and header text when template is not set invoice @low","Header and footer text is on the layout of corrective when template is clear","passed",26145,"2025-07-09T19:20:42.987Z","09. 07. 2025 21:20"
"Footer and header text when template is not set invoice @low","Header and footer text is in the downloaded corrective","passed",5213,"2025-07-09T19:20:48.231Z","09. 07. 2025 21:20"
"Footer and header text when template is not set proforma @low","Delete all invoices","passed",11829,"2025-07-09T19:21:00.994Z","09. 07. 2025 21:21"
"Footer and header text when template is not set proforma @low","Header and footer text is on the layout of proforma when template is clear","passed",31782,"2025-07-09T19:21:32.818Z","09. 07. 2025 21:21"
"Footer and header text when template is not set proforma @low","Header and footer text is in the downloaded proforma","passed",4924,"2025-07-09T19:21:37.772Z","09. 07. 2025 21:21"
"Delete Company @high @middle @low","Delete company","passed",18134,"2025-07-09T19:21:56.570Z","09. 07. 2025 21:21"
