"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",9042,"2025-07-29T12:19:12.642Z","29. 07. 2025 14:19"
"Registration of a test company @high @middle @low","Register a new company","passed",13678,"2025-07-29T12:19:26.360Z","29. 07. 2025 14:19"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",10651,"2025-07-29T12:19:37.758Z","29. 07. 2025 14:19"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",2261,"2025-07-29T12:19:40.148Z","29. 07. 2025 14:19"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",11954,"2025-07-29T12:19:53.004Z","29. 07. 2025 14:19"
"Note field cant have more than 250 chars @high @middle @low","Note field on the invoice cant have more than 250 char","passed",21475,"2025-07-29T12:20:15.582Z","29. 07. 2025 14:20"
"Note field cant have more than 250 chars on the proforma @low","Delete all invoices","passed",7857,"2025-07-29T12:20:24.444Z","29. 07. 2025 14:20"
"Note field cant have more than 250 chars on the proforma @low","Note field on the proforma cant have more than 250 char","passed",16986,"2025-07-29T12:20:41.501Z","29. 07. 2025 14:20"
"Note field cant have more than 250 chars on the corrective @low","Delete all invoices","passed",7643,"2025-07-29T12:20:50.223Z","29. 07. 2025 14:20"
"Note field cant have more than 250 chars on the corrective @low","Set invoice for corrective","passed",12589,"2025-07-29T12:21:02.868Z","29. 07. 2025 14:21"
"Note field cant have more than 250 chars on the corrective @low","Note field on the corrective cant have more than 250 char","passed",16303,"2025-07-29T12:21:19.254Z","29. 07. 2025 14:21"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Set contacts web email fax tel in the invoice setting","passed",8499,"2025-07-29T12:21:29.011Z","29. 07. 2025 14:21"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the invoice","passed",13755,"2025-07-29T12:21:42.878Z","29. 07. 2025 14:21"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the edited invoice","passed",9096,"2025-07-29T12:21:52.027Z","29. 07. 2025 14:21"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the proforma","passed",13464,"2025-07-29T12:22:05.551Z","29. 07. 2025 14:22"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the edited proforma","passed",6241,"2025-07-29T12:22:11.853Z","29. 07. 2025 14:22"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Delete all invoices","passed",3348,"2025-07-29T12:22:15.241Z","29. 07. 2025 14:22"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Prepare invoice for corrective","passed",12661,"2025-07-29T12:22:27.957Z","29. 07. 2025 14:22"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the corrective","passed",12186,"2025-07-29T12:22:40.240Z","29. 07. 2025 14:22"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the edited corrective","passed",8651,"2025-07-29T12:22:49.135Z","29. 07. 2025 14:22"
