#Soadnul flaky test jinak vše funguje
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",9105,"2025-08-11T12:39:58.268Z","11. 08. 2025 14:39"
"Registration of a test company @high @middle @low","Register a new company","passed",19092,"2025-08-11T12:40:17.403Z","11. 08. 2025 14:40"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",12689,"2025-08-11T12:40:31.299Z","11. 08. 2025 14:40"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",2539,"2025-08-11T12:40:33.977Z","11. 08. 2025 14:40"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",10736,"2025-08-11T12:40:45.766Z","11. 08. 2025 14:40"
"Note field cant have more than 250 chars @high @middle @low","Note field on the invoice cant have more than 250 char","passed",22321,"2025-08-11T12:41:09.552Z","11. 08. 2025 14:41"
"Note field cant have more than 250 chars on the proforma @low","Delete all invoices","passed",7241,"2025-08-11T12:41:18.219Z","11. 08. 2025 14:41"
"Note field cant have more than 250 chars on the proforma @low","Note field on the proforma cant have more than 250 char","passed",18834,"2025-08-11T12:41:37.148Z","11. 08. 2025 14:41"
"Note field cant have more than 250 chars on the corrective @low","Delete all invoices","passed",7676,"2025-08-11T12:41:46.240Z","11. 08. 2025 14:41"
"Note field cant have more than 250 chars on the corrective @low","Set invoice for corrective","passed",13736,"2025-08-11T12:42:00.060Z","11. 08. 2025 14:42"
"Note field cant have more than 250 chars on the corrective @low","Note field on the corrective cant have more than 250 char","passed",17153,"2025-08-11T12:42:17.296Z","11. 08. 2025 14:42"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Set contacts web email fax tel in the invoice setting","passed",8934,"2025-08-11T12:42:27.589Z","11. 08. 2025 14:42"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the invoice","passed",14454,"2025-08-11T12:42:42.124Z","11. 08. 2025 14:42"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the edited invoice","passed",6766,"2025-08-11T12:42:48.978Z","11. 08. 2025 14:42"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the proforma","passed",14670,"2025-08-11T12:43:03.731Z","11. 08. 2025 14:43"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the edited proforma","passed",7477,"2025-08-11T12:43:11.392Z","11. 08. 2025 14:43"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Delete all invoices","passed",3271,"2025-08-11T12:43:14.783Z","11. 08. 2025 14:43"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Prepare invoice for corrective","passed",14332,"2025-08-11T12:43:29.197Z","11. 08. 2025 14:43"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the corrective","passed",13848,"2025-08-11T12:43:43.139Z","11. 08. 2025 14:43"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the edited corrective","passed",9520,"2025-08-11T12:43:52.772Z","11. 08. 2025 14:43"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Smazaní kontaktů z nastavení","passed",2537,"2025-08-11T12:43:55.471Z","11. 08. 2025 14:43"
"Add contact on the invoice @high @middle @low","Delete all invoices","passed",8521,"2025-08-11T12:44:05.507Z","11. 08. 2025 14:44"
"Add contact on the invoice @high @middle @low","Add new contact on the invoice","passed",18661,"2025-08-11T12:44:24.242Z","11. 08. 2025 14:44"
"Add contact on the invoice @high @middle @low","Edit contact on the invoice","passed",14046,"2025-08-11T12:44:38.370Z","11. 08. 2025 14:44"
"Add contact on the invoice @high @middle @low","Propsání kontaktu na ODD","passed",12541,"2025-08-11T12:44:50.990Z","11. 08. 2025 14:44"
"Add contact on the invoice @high @middle @low","Smazání kontaktu","passed",4619,"2025-08-11T12:44:55.668Z","11. 08. 2025 14:44"
"Add contact to the proforma @middle @low","Delete all invoices","passed",7723,"2025-08-11T12:45:04.661Z","11. 08. 2025 14:45"
"Add contact to the proforma @middle @low","Add contact on the proforma","passed",19139,"2025-08-11T12:45:23.929Z","11. 08. 2025 14:45"
"Add contact to the proforma @middle @low","Edit contact on the proforma","passed",13289,"2025-08-11T12:45:37.323Z","11. 08. 2025 14:45"
"Add contact to the proforma @middle @low","Smazání kontaktu","passed",4486,"2025-08-11T12:45:41.850Z","11. 08. 2025 14:45"
"Add delivery address to the contact @high @middle @low","Add new contact with two delivery address on the invoice","passed",27133,"2025-08-11T12:46:10.225Z","11. 08. 2025 14:46"
"Add delivery address to the contact @high @middle @low","Delete contact","passed",4222,"2025-08-11T12:46:14.513Z","11. 08. 2025 14:46"
"Add delivery address to the contact @high @middle @low","Add new contact with two delivery address on the proforma","passed",27336,"2025-08-11T12:46:43.293Z","11. 08. 2025 14:46"
"Add delivery address to the contact @high @middle @low","Delete contact","passed",4254,"2025-08-11T12:46:47.605Z","11. 08. 2025 14:46"
"Add header and footer text on the invoice @high @middle @low","Add header text on the invoice","passed",50539,"2025-08-11T12:47:39.299Z","11. 08. 2025 14:47"
"Add header and footer text on the invoice @high @middle @low","Add footer text on the invoice","passed",44004,"2025-08-11T12:48:23.392Z","11. 08. 2025 14:48"
