# Spadnul flaky test na záhlaví a zápatí se propisuje, bez šablony (musím se na ten test podívat)
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",9514,"2025-08-18T06:28:33.520Z","18. 08. 2025 08:28"
"Registration of a test company @high @middle @low","Register a new company","passed",17234,"2025-08-18T06:28:50.826Z","18. 08. 2025 08:28"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",12887,"2025-08-18T06:29:04.876Z","18. 08. 2025 08:29"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",2584,"2025-08-18T06:29:07.703Z","18. 08. 2025 08:29"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",10929,"2025-08-18T06:29:19.911Z","18. 08. 2025 08:29"
"Note field cant have more than 250 chars @high @middle @low","Note field on the invoice cant have more than 250 char","passed",22925,"2025-08-18T06:29:44.268Z","18. 08. 2025 08:29"
"Note field cant have more than 250 chars on the proforma @low","Delete all invoices","passed",7596,"2025-08-18T06:29:53.304Z","18. 08. 2025 08:29"
"Note field cant have more than 250 chars on the proforma @low","Note field on the proforma cant have more than 250 char","passed",18838,"2025-08-18T06:30:12.214Z","18. 08. 2025 08:30"
"Note field cant have more than 250 chars on the corrective @low","Delete all invoices","passed",7627,"2025-08-18T06:30:21.181Z","18. 08. 2025 08:30"
"Note field cant have more than 250 chars on the corrective @low","Set invoice for corrective","passed",14535,"2025-08-18T06:30:35.819Z","18. 08. 2025 08:30"
"Note field cant have more than 250 chars on the corrective @low","Note field on the corrective cant have more than 250 char","passed",16501,"2025-08-18T06:30:52.395Z","18. 08. 2025 08:30"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Set contacts web email fax tel in the invoice setting","passed",10105,"2025-08-18T06:31:03.647Z","18. 08. 2025 08:31"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the invoice","passed",14566,"2025-08-18T06:31:18.309Z","18. 08. 2025 08:31"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the edited invoice","passed",7158,"2025-08-18T06:31:25.546Z","18. 08. 2025 08:31"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the proforma","passed",14418,"2025-08-18T06:31:40.051Z","18. 08. 2025 08:31"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the edited proforma","passed",6008,"2025-08-18T06:31:46.151Z","18. 08. 2025 08:31"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Delete all invoices","passed",3749,"2025-08-18T06:31:49.950Z","18. 08. 2025 08:31"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Prepare invoice for corrective","passed",13484,"2025-08-18T06:32:03.501Z","18. 08. 2025 08:32"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the corrective","passed",12212,"2025-08-18T06:32:15.803Z","18. 08. 2025 08:32"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the edited corrective","passed",6919,"2025-08-18T06:32:22.830Z","18. 08. 2025 08:32"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Smazaní kontaktů z nastavení","passed",3397,"2025-08-18T06:32:26.392Z","18. 08. 2025 08:32"
"Add contact on the invoice @high @middle @low","Delete all invoices","passed",7732,"2025-08-18T06:32:35.480Z","18. 08. 2025 08:32"
"Add contact on the invoice @high @middle @low","Add new contact on the invoice","passed",19619,"2025-08-18T06:32:55.187Z","18. 08. 2025 08:32"
"Add contact on the invoice @high @middle @low","Edit contact on the invoice","passed",13676,"2025-08-18T06:33:08.961Z","18. 08. 2025 08:33"
"Add contact on the invoice @high @middle @low","Propsání kontaktu na ODD","passed",12785,"2025-08-18T06:33:21.822Z","18. 08. 2025 08:33"
"Add contact on the invoice @high @middle @low","Smazání kontaktu","passed",4291,"2025-08-18T06:33:26.157Z","18. 08. 2025 08:33"
"Add contact to the proforma @middle @low","Delete all invoices","passed",7735,"2025-08-18T06:33:35.253Z","18. 08. 2025 08:33"
"Add contact to the proforma @middle @low","Add contact on the proforma","passed",19743,"2025-08-18T06:33:55.064Z","18. 08. 2025 08:33"
"Add contact to the proforma @middle @low","Edit contact on the proforma","passed",14510,"2025-08-18T06:34:09.642Z","18. 08. 2025 08:34"
"Add contact to the proforma @middle @low","Smazání kontaktu","passed",4426,"2025-08-18T06:34:14.112Z","18. 08. 2025 08:34"
"Add delivery address to the contact @high @middle @low","Add new contact with two delivery address on the invoice","passed",27285,"2025-08-18T06:34:42.657Z","18. 08. 2025 08:34"
"Add delivery address to the contact @high @middle @low","Delete contact","passed",4183,"2025-08-18T06:34:46.890Z","18. 08. 2025 08:34"
"Add delivery address to the contact @high @middle @low","Add new contact with two delivery address on the proforma","passed",29016,"2025-08-18T06:35:17.073Z","18. 08. 2025 08:35"
"Add delivery address to the contact @high @middle @low","Delete contact","passed",4197,"2025-08-18T06:35:21.321Z","18. 08. 2025 08:35"
"Add header and footer text on the invoice @high @middle @low","Add header text on the invoice","passed",49130,"2025-08-18T06:36:11.559Z","18. 08. 2025 08:36"
"Add header and footer text on the invoice @high @middle @low","Add footer text on the invoice","passed",44264,"2025-08-18T06:36:55.903Z","18. 08. 2025 08:36"
"Add header and footer text on the proforma @high @middle @low","Add header text on the proforma","passed",48289,"2025-08-18T06:37:45.337Z","18. 08. 2025 08:37"
"Add header and footer text on the proforma @high @middle @low","Add footer text on the proforma","passed",44120,"2025-08-18T06:38:29.529Z","18. 08. 2025 08:38"
"Add footer text in corrective @low","Create invoice","passed",18275,"2025-08-18T06:38:48.863Z","18. 08. 2025 08:38"
"Add footer text in corrective @low","Add header text and create footer text on the corrective","passed",52872,"2025-08-18T06:39:41.807Z","18. 08. 2025 08:39"
"Footer and header text when template is not set invoice @low","Delete all invoices","passed",8451,"2025-08-18T06:39:51.372Z","18. 08. 2025 08:39"
"Footer and header text when template is not set invoice @low","Header and footer text is on the layout of invoice when template is clear","passed",28120,"2025-08-18T06:40:19.558Z","18. 08. 2025 08:40"
"Footer and header text when template is not set invoice @low","Header and footer text is in the downloaded invoice","passed",4245,"2025-08-18T06:40:23.846Z","18. 08. 2025 08:40"
"Footer and header text when template is not set invoice @low","Header and footer text is on the layout of corrective when template is clear","passed",22867,"2025-08-18T06:40:46.773Z","18. 08. 2025 08:40"
