# Spadly opět flaky testy
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",9815,"2025-08-19T16:09:39.582Z","19. 08. 2025 18:09"
"Registration of a test company @high @middle @low","Register a new company","passed",16529,"2025-08-19T16:09:56.153Z","19. 08. 2025 18:09"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",11848,"2025-08-19T16:10:08.869Z","19. 08. 2025 18:10"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",2480,"2025-08-19T16:10:11.422Z","19. 08. 2025 18:10"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",10390,"2025-08-19T16:10:22.912Z","19. 08. 2025 18:10"
"Note field cant have more than 250 chars @high @middle @low","Note field on the invoice cant have more than 250 char","passed",23203,"2025-08-19T16:10:47.500Z","19. 08. 2025 18:10"
"Note field cant have more than 250 chars on the proforma @low","Delete all invoices","passed",7793,"2025-08-19T16:10:56.548Z","19. 08. 2025 18:10"
"Note field cant have more than 250 chars on the proforma @low","Note field on the proforma cant have more than 250 char","passed",18315,"2025-08-19T16:11:14.973Z","19. 08. 2025 18:11"
"Note field cant have more than 250 chars on the corrective @low","Delete all invoices","passed",7419,"2025-08-19T16:11:24.045Z","19. 08. 2025 18:11"
"Note field cant have more than 250 chars on the corrective @low","Set invoice for corrective","passed",13545,"2025-08-19T16:11:37.658Z","19. 08. 2025 18:11"
"Note field cant have more than 250 chars on the corrective @low","Note field on the corrective cant have more than 250 char","passed",17012,"2025-08-19T16:11:54.748Z","19. 08. 2025 18:11"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Set contacts web email fax tel in the invoice setting","passed",8544,"2025-08-19T16:12:04.614Z","19. 08. 2025 18:12"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the invoice","passed",14740,"2025-08-19T16:12:19.446Z","19. 08. 2025 18:12"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the edited invoice","passed",6716,"2025-08-19T16:12:26.265Z","19. 08. 2025 18:12"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the proforma","passed",13516,"2025-08-19T16:12:39.848Z","19. 08. 2025 18:12"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the edited proforma","passed",7633,"2025-08-19T16:12:47.543Z","19. 08. 2025 18:12"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Delete all invoices","passed",3298,"2025-08-19T16:12:50.894Z","19. 08. 2025 18:12"
