# Spuštění a vyhodnocení testů po Binově sprintu S165 vylepšení 34 - GAMA
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",16970,"2025-08-25T12:56:20.169Z","25. 08. 2025 14:56"
"Registration of a test company @high @middle @low","Register a new company","passed",12434,"2025-08-25T12:56:32.638Z","25. 08. 2025 14:56"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",14449,"2025-08-25T12:56:47.870Z","25. 08. 2025 14:56"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",3673,"2025-08-25T12:56:51.667Z","25. 08. 2025 14:56"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",11675,"2025-08-25T12:57:04.154Z","25. 08. 2025 14:57"
"Note field cant have more than 250 chars @high @middle @low","Note field on the invoice cant have more than 250 char","passed",23316,"2025-08-25T12:57:28.467Z","25. 08. 2025 14:57"
"Note field cant have more than 250 chars on the proforma @low","Delete all invoices","passed",9073,"2025-08-25T12:57:38.511Z","25. 08. 2025 14:57"
"Note field cant have more than 250 chars on the proforma @low","Note field on the proforma cant have more than 250 char","passed",18334,"2025-08-25T12:57:56.895Z","25. 08. 2025 14:57"
"Note field cant have more than 250 chars on the corrective @low","Delete all invoices","passed",10723,"2025-08-25T12:58:08.594Z","25. 08. 2025 14:58"
"Note field cant have more than 250 chars on the corrective @low","Set invoice for corrective","passed",14339,"2025-08-25T12:58:22.982Z","25. 08. 2025 14:58"
"Note field cant have more than 250 chars on the corrective @low","Note field on the corrective cant have more than 250 char","passed",17963,"2025-08-25T12:58:41.049Z","25. 08. 2025 14:58"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Set contacts web email fax tel in the invoice setting","passed",10316,"2025-08-25T12:58:52.440Z","25. 08. 2025 14:58"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the invoice","passed",15473,"2025-08-25T12:59:07.973Z","25. 08. 2025 14:59"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the edited invoice","passed",9951,"2025-08-25T12:59:17.981Z","25. 08. 2025 14:59"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the proforma","passed",14836,"2025-08-25T12:59:32.889Z","25. 08. 2025 14:59"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the edited proforma","passed",11266,"2025-08-25T12:59:44.213Z","25. 08. 2025 14:59"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Delete all invoices","passed",4394,"2025-08-25T12:59:48.644Z","25. 08. 2025 14:59"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Prepare invoice for corrective","passed",13570,"2025-08-25T13:00:02.277Z","25. 08. 2025 15:00"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the corrective","passed",13993,"2025-08-25T13:00:16.357Z","25. 08. 2025 15:00"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the edited corrective","passed",10254,"2025-08-25T13:00:26.667Z","25. 08. 2025 15:00"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Smazaní kontaktů z nastavení","passed",3683,"2025-08-25T13:00:30.390Z","25. 08. 2025 15:00"
"Add contact on the invoice @high @middle @low","Delete all invoices","passed",9271,"2025-08-25T13:00:40.790Z","25. 08. 2025 15:00"
"Add contact on the invoice @high @middle @low","Add new contact on the invoice","passed",19657,"2025-08-25T13:01:00.740Z","25. 08. 2025 15:01"
"Add contact on the invoice @high @middle @low","Edit contact on the invoice","passed",16648,"2025-08-25T13:01:17.477Z","25. 08. 2025 15:01"
"Add contact on the invoice @high @middle @low","Propsání kontaktu na ODD","passed",13423,"2025-08-25T13:01:30.984Z","25. 08. 2025 15:01"
"Add contact on the invoice @high @middle @low","Smazání kontaktu","passed",4931,"2025-08-25T13:01:35.954Z","25. 08. 2025 15:01"
"Add contact to the proforma @middle @low","Delete all invoices","passed",8830,"2025-08-25T13:01:46.002Z","25. 08. 2025 15:01"
"Add contact to the proforma @middle @low","Add contact on the proforma","passed",19652,"2025-08-25T13:02:05.736Z","25. 08. 2025 15:02"
"Add contact to the proforma @middle @low","Edit contact on the proforma","passed",15291,"2025-08-25T13:02:21.101Z","25. 08. 2025 15:02"
"Add contact to the proforma @middle @low","Smazání kontaktu","passed",4839,"2025-08-25T13:02:25.990Z","25. 08. 2025 15:02"
"Add delivery address to the contact @high @middle @low","Add new contact with two delivery address on the invoice","passed",30548,"2025-08-25T13:02:58.006Z","25. 08. 2025 15:02"
"Add delivery address to the contact @high @middle @low","Delete contact","passed",4990,"2025-08-25T13:03:03.048Z","25. 08. 2025 15:03"
"Add delivery address to the contact @high @middle @low","Add new contact with two delivery address on the proforma","passed",30404,"2025-08-25T13:03:34.577Z","25. 08. 2025 15:03"
"Add delivery address to the contact @high @middle @low","Delete contact","passed",4243,"2025-08-25T13:03:38.872Z","25. 08. 2025 15:03"
"Add header and footer text on the invoice @high @middle @low","Add header text on the invoice","passed",50482,"2025-08-25T13:04:30.495Z","25. 08. 2025 15:04"
"Add header and footer text on the invoice @high @middle @low","Add footer text on the invoice","passed",46856,"2025-08-25T13:05:17.427Z","25. 08. 2025 15:05"
"Add header and footer text on the proforma @high @middle @low","Add header text on the proforma","passed",50519,"2025-08-25T13:06:09.081Z","25. 08. 2025 15:06"
"Add header and footer text on the proforma @high @middle @low","Add footer text on the proforma","passed",44951,"2025-08-25T13:06:54.122Z","25. 08. 2025 15:06"
"Add footer text in corrective @low","Create invoice","passed",20973,"2025-08-25T13:07:16.229Z","25. 08. 2025 15:07"
"Add footer text in corrective @low","Add header text and create footer text on the corrective","passed",55467,"2025-08-25T13:08:11.784Z","25. 08. 2025 15:08"
"Footer and header text when template is not set invoice @low","Delete all invoices","passed",9836,"2025-08-25T13:08:22.738Z","25. 08. 2025 15:08"
"Footer and header text when template is not set invoice @low","Header and footer text is on the layout of invoice when template is clear","passed",30971,"2025-08-25T13:08:53.803Z","25. 08. 2025 15:08"
"Footer and header text when template is not set invoice @low","Header and footer text is in the downloaded invoice","passed",4838,"2025-08-25T13:08:58.676Z","25. 08. 2025 15:08"
"Footer and header text when template is not set invoice @low","Header and footer text is on the layout of corrective when template is clear","passed",25376,"2025-08-25T13:09:24.108Z","25. 08. 2025 15:09"
"Footer and header text when template is not set invoice @low","Header and footer text is in the downloaded corrective","passed",4041,"2025-08-25T13:09:28.201Z","25. 08. 2025 15:09"
"Footer and header text when template is not set proforma @low","Delete all invoices","passed",9502,"2025-08-25T13:09:38.770Z","25. 08. 2025 15:09"
"Footer and header text when template is not set proforma @low","Header and footer text is on the layout of proforma when template is clear","passed",28844,"2025-08-25T13:10:07.683Z","25. 08. 2025 15:10"
"Footer and header text when template is not set proforma @low","Header and footer text is in the downloaded proforma","passed",4286,"2025-08-25T13:10:12.003Z","25. 08. 2025 15:10"
"Delete Company @high @middle @low","Delete company","passed",15557,"2025-08-25T13:10:28.223Z","25. 08. 2025 15:10"
