# Testování Beta po nasazení vylepšení 35 od Jakuba ISDOC
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",10723,"2025-08-31T18:21:02.612Z","31. 08. 2025 20:21"
"Registration of a test company @high @middle @low","Register a new company","passed",14050,"2025-08-31T18:21:16.717Z","31. 08. 2025 20:21"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",12889,"2025-08-31T18:21:30.494Z","31. 08. 2025 20:21"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",2687,"2025-08-31T18:21:33.311Z","31. 08. 2025 20:21"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",11183,"2025-08-31T18:21:45.303Z","31. 08. 2025 20:21"
"Note field cant have more than 250 chars @high @middle @low","Note field on the invoice cant have more than 250 char","passed",23869,"2025-08-31T18:22:10.319Z","31. 08. 2025 20:22"
"Note field cant have more than 250 chars on the proforma @low","Delete all invoices","passed",8721,"2025-08-31T18:22:20.192Z","31. 08. 2025 20:22"
"Note field cant have more than 250 chars on the proforma @low","Note field on the proforma cant have more than 250 char","passed",18085,"2025-08-31T18:22:38.339Z","31. 08. 2025 20:22"
"Note field cant have more than 250 chars on the corrective @low","Delete all invoices","passed",8871,"2025-08-31T18:22:48.339Z","31. 08. 2025 20:22"
"Note field cant have more than 250 chars on the corrective @low","Set invoice for corrective","passed",13857,"2025-08-31T18:23:02.301Z","31. 08. 2025 20:23"
"Note field cant have more than 250 chars on the corrective @low","Note field on the corrective cant have more than 250 char","passed",17376,"2025-08-31T18:23:19.742Z","31. 08. 2025 20:23"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Set contacts web email fax tel in the invoice setting","passed",9548,"2025-08-31T18:23:30.423Z","31. 08. 2025 20:23"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the invoice","passed",14981,"2025-08-31T18:23:45.484Z","31. 08. 2025 20:23"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the edited invoice","passed",7337,"2025-08-31T18:23:52.876Z","31. 08. 2025 20:23"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the proforma","passed",14218,"2025-08-31T18:24:07.163Z","31. 08. 2025 20:24"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the edited proforma","passed",7370,"2025-08-31T18:24:14.590Z","31. 08. 2025 20:24"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Delete all invoices","passed",3981,"2025-08-31T18:24:18.607Z","31. 08. 2025 20:24"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Prepare invoice for corrective","passed",13879,"2025-08-31T18:24:32.554Z","31. 08. 2025 20:24"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the corrective","passed",12995,"2025-08-31T18:24:45.620Z","31. 08. 2025 20:24"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the edited corrective","passed",7249,"2025-08-31T18:24:52.924Z","31. 08. 2025 20:24"
