# Beta testování
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",17427,"2025-09-03T16:07:09.830Z","03. 09. 2025 18:07"
"Registration of a test company @high @middle @low","Register a new company","passed",14178,"2025-09-03T16:07:24.059Z","03. 09. 2025 18:07"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",14165,"2025-09-03T16:07:39.015Z","03. 09. 2025 18:07"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",3084,"2025-09-03T16:07:42.149Z","03. 09. 2025 18:07"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",13684,"2025-09-03T16:07:56.694Z","03. 09. 2025 18:07"
"Note field cant have more than 250 chars @high @middle @low","Note field on the invoice cant have more than 250 char","passed",25982,"2025-09-03T16:08:23.962Z","03. 09. 2025 18:08"
"Note field cant have more than 250 chars on the proforma @low","Delete all invoices","passed",10948,"2025-09-03T16:08:36.085Z","03. 09. 2025 18:08"
"Note field cant have more than 250 chars on the proforma @low","Note field on the proforma cant have more than 250 char","passed",20312,"2025-09-03T16:08:56.463Z","03. 09. 2025 18:08"
"Note field cant have more than 250 chars on the corrective @low","Delete all invoices","passed",10014,"2025-09-03T16:09:07.497Z","03. 09. 2025 18:09"
"Note field cant have more than 250 chars on the corrective @low","Set invoice for corrective","passed",14605,"2025-09-03T16:09:22.164Z","03. 09. 2025 18:09"
"Note field cant have more than 250 chars on the corrective @low","Note field on the corrective cant have more than 250 char","passed",18864,"2025-09-03T16:09:41.094Z","03. 09. 2025 18:09"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Set contacts web email fax tel in the invoice setting","passed",12380,"2025-09-03T16:09:54.540Z","03. 09. 2025 18:09"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the invoice","passed",15329,"2025-09-03T16:10:09.929Z","03. 09. 2025 18:10"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the edited invoice","passed",7869,"2025-09-03T16:10:17.852Z","03. 09. 2025 18:10"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the proforma","passed",15556,"2025-09-03T16:10:33.470Z","03. 09. 2025 18:10"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the edited proforma","passed",8012,"2025-09-03T16:10:41.551Z","03. 09. 2025 18:10"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Delete all invoices","passed",3732,"2025-09-03T16:10:45.311Z","03. 09. 2025 18:10"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Prepare invoice for corrective","passed",15003,"2025-09-03T16:11:00.366Z","03. 09. 2025 18:11"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the corrective","passed",16444,"2025-09-03T16:11:16.860Z","03. 09. 2025 18:11"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the edited corrective","passed",10927,"2025-09-03T16:11:27.836Z","03. 09. 2025 18:11"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Smazaní kontaktů z nastavení","passed",3653,"2025-09-03T16:11:31.537Z","03. 09. 2025 18:11"
"Add contact on the invoice @high @middle @low","Delete all invoices","passed",11447,"2025-09-03T16:11:44.074Z","03. 09. 2025 18:11"
"Add contact on the invoice @high @middle @low","Add new contact on the invoice","passed",20859,"2025-09-03T16:12:05.006Z","03. 09. 2025 18:12"
"Add contact on the invoice @high @middle @low","Edit contact on the invoice","passed",18263,"2025-09-03T16:12:23.341Z","03. 09. 2025 18:12"
"Add contact on the invoice @high @middle @low","Propsání kontaktu na ODD","passed",13610,"2025-09-03T16:12:37.023Z","03. 09. 2025 18:12"
"Add contact on the invoice @high @middle @low","Smazání kontaktu","passed",5367,"2025-09-03T16:12:42.436Z","03. 09. 2025 18:12"
"Add contact to the proforma @middle @low","Delete all invoices","passed",10881,"2025-09-03T16:12:54.407Z","03. 09. 2025 18:12"
"Add contact to the proforma @middle @low","Add contact on the proforma","passed",22563,"2025-09-03T16:13:17.039Z","03. 09. 2025 18:13"
"Add contact to the proforma @middle @low","Edit contact on the proforma","passed",15847,"2025-09-03T16:13:32.944Z","03. 09. 2025 18:13"
"Add contact to the proforma @middle @low","Smazání kontaktu","passed",4701,"2025-09-03T16:13:37.682Z","03. 09. 2025 18:13"
"Add delivery address to the contact @high @middle @low","Add new contact with two delivery address on the invoice","passed",33290,"2025-09-03T16:14:12.070Z","03. 09. 2025 18:14"
"Add delivery address to the contact @high @middle @low","Delete contact","passed",5113,"2025-09-03T16:14:17.232Z","03. 09. 2025 18:14"
"Add delivery address to the contact @high @middle @low","Add new contact with two delivery address on the proforma","passed",33266,"2025-09-03T16:14:51.533Z","03. 09. 2025 18:14"
"Add delivery address to the contact @high @middle @low","Delete contact","passed",5418,"2025-09-03T16:14:57.003Z","03. 09. 2025 18:14"
"Add header and footer text on the invoice @high @middle @low","Add header text on the invoice","passed",51941,"2025-09-03T16:15:49.877Z","03. 09. 2025 18:15"
"Add header and footer text on the invoice @high @middle @low","Add footer text on the invoice","passed",46901,"2025-09-03T16:16:36.839Z","03. 09. 2025 18:16"
"Add header and footer text on the proforma @high @middle @low","Add header text on the proforma","passed",53626,"2025-09-03T16:17:31.472Z","03. 09. 2025 18:17"
"Add header and footer text on the proforma @high @middle @low","Add footer text on the proforma","passed",45010,"2025-09-03T16:18:16.558Z","03. 09. 2025 18:18"
"Add footer text in corrective @low","Create invoice","passed",24567,"2025-09-03T16:18:42.188Z","03. 09. 2025 18:18"
"Add footer text in corrective @low","Add header text and create footer text on the corrective","passed",55713,"2025-09-03T16:19:37.961Z","03. 09. 2025 18:19"
"Footer and header text when template is not set invoice @low","Delete all invoices","passed",12167,"2025-09-03T16:19:51.077Z","03. 09. 2025 18:19"
"Footer and header text when template is not set invoice @low","Header and footer text is on the layout of invoice when template is clear","passed",23102,"2025-09-03T16:20:14.204Z","03. 09. 2025 18:20"
"Footer and header text when template is not set invoice @low","Header and footer text is in the downloaded invoice","passed",4982,"2025-09-03T16:20:19.242Z","03. 09. 2025 18:20"
"Footer and header text when template is not set invoice @low","Header and footer text is on the layout of corrective when template is clear","passed",8612,"2025-09-03T16:20:27.906Z","03. 09. 2025 18:20"
"Footer and header text when template is not set invoice @low","Header and footer text is in the downloaded corrective","passed",5189,"2025-09-03T16:20:33.146Z","03. 09. 2025 18:20"
"Footer and header text when template is not set proforma @low","Delete all invoices","passed",8067,"2025-09-03T16:20:42.213Z","03. 09. 2025 18:20"
"Footer and header text when template is not set proforma @low","Header and footer text is on the layout of proforma when template is clear","passed",32162,"2025-09-03T16:21:14.443Z","03. 09. 2025 18:21"
"Footer and header text when template is not set proforma @low","Header and footer text is in the downloaded proforma","passed",4296,"2025-09-03T16:21:18.767Z","03. 09. 2025 18:21"
"Delete Company @high @middle @low","Delete company","passed",15880,"2025-09-03T16:21:35.310Z","03. 09. 2025 18:21"
