# Rutinní pondělní spuštění E2E testů.
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",11432,"2025-09-08T08:17:49.172Z","08. 09. 2025 10:17"
"Registration of a test company @high @middle @low","Register a new company","passed",18870,"2025-09-08T08:18:08.096Z","08. 09. 2025 10:18"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",16378,"2025-09-08T08:18:26.042Z","08. 09. 2025 10:18"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",2947,"2025-09-08T08:18:29.101Z","08. 09. 2025 10:18"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",15917,"2025-09-08T08:18:46.620Z","08. 09. 2025 10:18"
"Note field cant have more than 250 chars @high @middle @low","Note field on the invoice cant have more than 250 char","passed",26722,"2025-09-08T08:19:15.605Z","08. 09. 2025 10:19"
"Note field cant have more than 250 chars on the proforma @low","Delete all invoices","passed",9804,"2025-09-08T08:19:27.036Z","08. 09. 2025 10:19"
"Note field cant have more than 250 chars on the proforma @low","Note field on the proforma cant have more than 250 char","passed",19383,"2025-09-08T08:19:46.677Z","08. 09. 2025 10:19"
"Note field cant have more than 250 chars on the corrective @low","Delete all invoices","passed",11512,"2025-09-08T08:20:00.300Z","08. 09. 2025 10:20"
"Note field cant have more than 250 chars on the corrective @low","Set invoice for corrective","passed",15766,"2025-09-08T08:20:16.264Z","08. 09. 2025 10:20"
"Note field cant have more than 250 chars on the corrective @low","Note field on the corrective cant have more than 250 char","passed",18204,"2025-09-08T08:20:34.649Z","08. 09. 2025 10:20"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Set contacts web email fax tel in the invoice setting","passed",10730,"2025-09-08T08:20:47.169Z","08. 09. 2025 10:20"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the invoice","passed",19143,"2025-09-08T08:21:06.602Z","08. 09. 2025 10:21"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the edited invoice","passed",8111,"2025-09-08T08:21:14.887Z","08. 09. 2025 10:21"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the proforma","passed",16534,"2025-09-08T08:21:31.631Z","08. 09. 2025 10:21"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the edited proforma","passed",7997,"2025-09-08T08:21:39.785Z","08. 09. 2025 10:21"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Delete all invoices","passed",4298,"2025-09-08T08:21:44.172Z","08. 09. 2025 10:21"
