# Otestování po nasazení vylepšení 40
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",12220,"2025-09-10T15:30:06.221Z","10. 09. 2025 17:30"
"Registration of a test company @high @middle @low","Register a new company","passed",17654,"2025-09-10T15:30:23.980Z","10. 09. 2025 17:30"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",15592,"2025-09-10T15:30:40.834Z","10. 09. 2025 17:30"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",3049,"2025-09-10T15:30:43.967Z","10. 09. 2025 17:30"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",13352,"2025-09-10T15:30:58.410Z","10. 09. 2025 17:30"
"Note field cant have more than 250 chars @high @middle @low","Note field on the invoice cant have more than 250 char","passed",25603,"2025-09-10T15:31:25.415Z","10. 09. 2025 17:31"
"Note field cant have more than 250 chars on the proforma @low","Delete all invoices","passed",9514,"2025-09-10T15:31:36.641Z","10. 09. 2025 17:31"
"Note field cant have more than 250 chars on the proforma @low","Note field on the proforma cant have more than 250 char","passed",22074,"2025-09-10T15:31:58.905Z","10. 09. 2025 17:31"
"Note field cant have more than 250 chars on the corrective @low","Delete all invoices","passed",11105,"2025-09-10T15:32:11.658Z","10. 09. 2025 17:32"
"Note field cant have more than 250 chars on the corrective @low","Set invoice for corrective","passed",15634,"2025-09-10T15:32:27.482Z","10. 09. 2025 17:32"
"Note field cant have more than 250 chars on the corrective @low","Note field on the corrective cant have more than 250 char","passed",19490,"2025-09-10T15:32:47.139Z","10. 09. 2025 17:32"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Set contacts web email fax tel in the invoice setting","passed",12139,"2025-09-10T15:33:01.259Z","10. 09. 2025 17:33"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the invoice","passed",16847,"2025-09-10T15:33:18.309Z","10. 09. 2025 17:33"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the edited invoice","passed",8814,"2025-09-10T15:33:27.291Z","10. 09. 2025 17:33"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the proforma","passed",17322,"2025-09-10T15:33:44.836Z","10. 09. 2025 17:33"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the edited proforma","passed",8304,"2025-09-10T15:33:53.326Z","10. 09. 2025 17:33"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Delete all invoices","passed",5317,"2025-09-10T15:33:58.755Z","10. 09. 2025 17:33"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Prepare invoice for corrective","passed",15908,"2025-09-10T15:34:14.964Z","10. 09. 2025 17:34"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the corrective","passed",16082,"2025-09-10T15:34:31.472Z","10. 09. 2025 17:34"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the edited corrective","passed",12288,"2025-09-10T15:34:43.919Z","10. 09. 2025 17:34"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Smazaní kontaktů z nastavení","passed",4359,"2025-09-10T15:34:48.399Z","10. 09. 2025 17:34"
"Add contact on the invoice @high @middle @low","Delete all invoices","passed",10088,"2025-09-10T15:35:00.860Z","10. 09. 2025 17:35"
"Add contact on the invoice @high @middle @low","Add new contact on the invoice","passed",22167,"2025-09-10T15:35:23.099Z","10. 09. 2025 17:35"
"Add contact on the invoice @high @middle @low","Edit contact on the invoice","passed",16137,"2025-09-10T15:35:39.334Z","10. 09. 2025 17:35"
"Add contact on the invoice @high @middle @low","Propsání kontaktu na ODD","passed",14442,"2025-09-10T15:35:53.867Z","10. 09. 2025 17:35"
"Add contact on the invoice @high @middle @low","Smazání kontaktu","passed",4586,"2025-09-10T15:35:58.499Z","10. 09. 2025 17:35"
"Add contact to the proforma @middle @low","Delete all invoices","passed",9269,"2025-09-10T15:36:09.122Z","10. 09. 2025 17:36"
"Add contact to the proforma @middle @low","Add contact on the proforma","passed",20357,"2025-09-10T15:36:29.562Z","10. 09. 2025 17:36"
"Add contact to the proforma @middle @low","Edit contact on the proforma","passed",15830,"2025-09-10T15:36:45.484Z","10. 09. 2025 17:36"
"Add contact to the proforma @middle @low","Smazání kontaktu","passed",4757,"2025-09-10T15:36:50.298Z","10. 09. 2025 17:36"
"Add delivery address to the contact @high @middle @low","Add new contact with two delivery address on the invoice","passed",29167,"2025-09-10T15:37:20.928Z","10. 09. 2025 17:37"
"Add delivery address to the contact @high @middle @low","Delete contact","passed",4551,"2025-09-10T15:37:25.539Z","10. 09. 2025 17:37"
"Add delivery address to the contact @high @middle @low","Add new contact with two delivery address on the proforma","passed",31252,"2025-09-10T15:37:58.257Z","10. 09. 2025 17:37"
"Add delivery address to the contact @high @middle @low","Delete contact","passed",4448,"2025-09-10T15:38:02.778Z","10. 09. 2025 17:38"
"Add header and footer text on the invoice @high @middle @low","Add header text on the invoice","passed",50853,"2025-09-10T15:38:54.923Z","10. 09. 2025 17:38"
"Add header and footer text on the invoice @high @middle @low","Add footer text on the invoice","passed",44281,"2025-09-10T15:39:39.273Z","10. 09. 2025 17:39"
"Add header and footer text on the proforma @high @middle @low","Add header text on the proforma","passed",50947,"2025-09-10T15:40:31.477Z","10. 09. 2025 17:40"
"Add header and footer text on the proforma @high @middle @low","Add footer text on the proforma","passed",45949,"2025-09-10T15:41:17.535Z","10. 09. 2025 17:41"
"Add footer text in corrective @low","Create invoice","passed",20792,"2025-09-10T15:41:39.753Z","10. 09. 2025 17:41"
"Add footer text in corrective @low","Add header text and create footer text on the corrective","passed",54832,"2025-09-10T15:42:34.684Z","10. 09. 2025 17:42"
"Footer and header text when template is not set invoice @low","Delete all invoices","passed",9546,"2025-09-10T15:42:45.447Z","10. 09. 2025 17:42"
"Footer and header text when template is not set invoice @low","Header and footer text is on the layout of invoice when template is clear","passed",29529,"2025-09-10T15:43:15.040Z","10. 09. 2025 17:43"
"Footer and header text when template is not set invoice @low","Header and footer text is in the downloaded invoice","passed",4596,"2025-09-10T15:43:19.682Z","10. 09. 2025 17:43"
"Footer and header text when template is not set invoice @low","Header and footer text is on the layout of corrective when template is clear","passed",23255,"2025-09-10T15:43:42.989Z","10. 09. 2025 17:43"
"Footer and header text when template is not set invoice @low","Header and footer text is in the downloaded corrective","passed",4352,"2025-09-10T15:43:47.376Z","10. 09. 2025 17:43"
"Footer and header text when template is not set proforma @low","Delete all invoices","passed",9924,"2025-09-10T15:43:58.358Z","10. 09. 2025 17:43"
"Footer and header text when template is not set proforma @low","Header and footer text is on the layout of proforma when template is clear","passed",30084,"2025-09-10T15:44:28.498Z","10. 09. 2025 17:44"
"Footer and header text when template is not set proforma @low","Header and footer text is in the downloaded proforma","passed",4597,"2025-09-10T15:44:33.140Z","10. 09. 2025 17:44"
"Delete Company @high @middle @low","Delete company","passed",14898,"2025-09-10T15:44:48.753Z","10. 09. 2025 17:44"
