# Testování po nasazení vylepšení 38 + 39
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",13147,"2025-09-11T14:43:10.955Z","11. 09. 2025 16:43"
"Registration of a test company @high @middle @low","Register a new company","passed",17915,"2025-09-11T14:43:28.945Z","11. 09. 2025 16:43"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",15366,"2025-09-11T14:43:45.678Z","11. 09. 2025 16:43"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",4025,"2025-09-11T14:43:49.871Z","11. 09. 2025 16:43"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",14055,"2025-09-11T14:44:06.061Z","11. 09. 2025 16:44"
"Note field cant have more than 250 chars @high @middle @low","Note field on the invoice cant have more than 250 char","passed",25208,"2025-09-11T14:44:33.154Z","11. 09. 2025 16:44"
"Note field cant have more than 250 chars on the proforma @low","Delete all invoices","passed",9636,"2025-09-11T14:44:45.347Z","11. 09. 2025 16:44"
"Note field cant have more than 250 chars on the proforma @low","Note field on the proforma cant have more than 250 char","passed",20453,"2025-09-11T14:45:05.990Z","11. 09. 2025 16:45"
"Note field cant have more than 250 chars on the corrective @low","Delete all invoices","passed",10473,"2025-09-11T14:45:18.159Z","11. 09. 2025 16:45"
"Note field cant have more than 250 chars on the corrective @low","Set invoice for corrective","passed",15588,"2025-09-11T14:45:33.947Z","11. 09. 2025 16:45"
"Note field cant have more than 250 chars on the corrective @low","Note field on the corrective cant have more than 250 char","passed",19997,"2025-09-11T14:45:54.154Z","11. 09. 2025 16:45"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Set contacts web email fax tel in the invoice setting","passed",12244,"2025-09-11T14:46:08.375Z","11. 09. 2025 16:46"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the invoice","passed",15203,"2025-09-11T14:46:23.928Z","11. 09. 2025 16:46"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the edited invoice","passed",7392,"2025-09-11T14:46:31.396Z","11. 09. 2025 16:46"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the proforma","passed",16204,"2025-09-11T14:46:47.713Z","11. 09. 2025 16:46"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the edited proforma","passed",7892,"2025-09-11T14:46:55.693Z","11. 09. 2025 16:46"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Delete all invoices","passed",5007,"2025-09-11T14:47:00.775Z","11. 09. 2025 16:47"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Prepare invoice for corrective","passed",16569,"2025-09-11T14:47:17.466Z","11. 09. 2025 16:47"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the corrective","passed",14752,"2025-09-11T14:47:32.389Z","11. 09. 2025 16:47"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the edited corrective","passed",9119,"2025-09-11T14:47:41.664Z","11. 09. 2025 16:47"
"Set contacts web email fax tel on the invoice setting and propagation on the all invoice @middle @low","Smazaní kontaktů z nastavení","passed",4215,"2025-09-11T14:47:45.962Z","11. 09. 2025 16:47"
"Add contact on the invoice @high @middle @low","Delete all invoices","passed",10275,"2025-09-11T14:47:58.526Z","11. 09. 2025 16:47"
"Add contact on the invoice @high @middle @low","Add new contact on the invoice","passed",21167,"2025-09-11T14:48:19.777Z","11. 09. 2025 16:48"
"Add contact on the invoice @high @middle @low","Edit contact on the invoice","passed",15926,"2025-09-11T14:48:35.788Z","11. 09. 2025 16:48"
"Add contact on the invoice @high @middle @low","Propsání kontaktu na ODD","passed",13744,"2025-09-11T14:48:49.656Z","11. 09. 2025 16:48"
"Add contact on the invoice @high @middle @low","Smazání kontaktu","passed",4409,"2025-09-11T14:48:54.154Z","11. 09. 2025 16:48"
"Add contact to the proforma @middle @low","Delete all invoices","passed",8933,"2025-09-11T14:49:04.455Z","11. 09. 2025 16:49"
"Add contact to the proforma @middle @low","Add contact on the proforma","passed",22287,"2025-09-11T14:49:26.817Z","11. 09. 2025 16:49"
"Add contact to the proforma @middle @low","Edit contact on the proforma","passed",14913,"2025-09-11T14:49:41.821Z","11. 09. 2025 16:49"
"Add contact to the proforma @middle @low","Smazání kontaktu","passed",4978,"2025-09-11T14:49:46.843Z","11. 09. 2025 16:49"
"Add delivery address to the contact @high @middle @low","Add new contact with two delivery address on the invoice","passed",27886,"2025-09-11T14:50:15.877Z","11. 09. 2025 16:50"
"Add delivery address to the contact @high @middle @low","Delete contact","passed",4676,"2025-09-11T14:50:20.603Z","11. 09. 2025 16:50"
"Add delivery address to the contact @high @middle @low","Add new contact with two delivery address on the proforma","passed",29276,"2025-09-11T14:50:50.970Z","11. 09. 2025 16:50"
"Add delivery address to the contact @high @middle @low","Delete contact","passed",4254,"2025-09-11T14:50:55.278Z","11. 09. 2025 16:50"
"Add header and footer text on the invoice @high @middle @low","Add header text on the invoice","passed",50605,"2025-09-11T14:51:46.924Z","11. 09. 2025 16:51"
"Add header and footer text on the invoice @high @middle @low","Add footer text on the invoice","passed",45142,"2025-09-11T14:52:32.148Z","11. 09. 2025 16:52"
"Add header and footer text on the proforma @high @middle @low","Add header text on the proforma","passed",49542,"2025-09-11T14:53:22.749Z","11. 09. 2025 16:53"
"Add header and footer text on the proforma @high @middle @low","Add footer text on the proforma","passed",45622,"2025-09-11T14:54:08.449Z","11. 09. 2025 16:54"
"Add footer text in corrective @low","Create invoice","passed",19990,"2025-09-11T14:54:29.495Z","11. 09. 2025 16:54"
"Add footer text in corrective @low","Add header text and create footer text on the corrective","passed",53816,"2025-09-11T14:55:23.396Z","11. 09. 2025 16:55"
