# První test paralelních testů
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",13269,"2025-07-09T19:43:34.442Z","09. 07. 2025 21:43"
"Registration of a test company @high @middle @low","Register a new company","passed",15400,"2025-07-09T19:43:49.892Z","09. 07. 2025 21:43"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",17420,"2025-07-09T19:44:08.079Z","09. 07. 2025 21:44"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",4572,"2025-07-09T19:44:12.717Z","09. 07. 2025 21:44"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",12957,"2025-07-09T19:44:26.788Z","09. 07. 2025 21:44"
"Individual due date - invoice @high @middle @low","Set due date in the setting - invoice","passed",9845,"2025-07-09T19:44:37.698Z","09. 07. 2025 21:44"
"Individual due date - invoice @high @middle @low","Create contact","passed",4548,"2025-07-09T19:44:42.302Z","09. 07. 2025 21:44"
"Individual due date - invoice @high @middle @low","Set due date in the contact for invoice","passed",6003,"2025-07-09T19:44:48.399Z","09. 07. 2025 21:44"
"Individual due date - invoice @high @middle @low","Test due date on the invoice is correct","passed",17176,"2025-07-09T19:45:05.634Z","09. 07. 2025 21:45"
"Individual due date - invoice @high @middle @low","Delete contact","passed",4647,"2025-07-09T19:45:10.318Z","09. 07. 2025 21:45"
"Individual due date - proforma @middle @low","Set due date in the setting - proforma","passed",10630,"2025-07-09T19:45:22.099Z","09. 07. 2025 21:45"
"Individual due date - proforma @middle @low","Create contact","passed",4635,"2025-07-09T19:45:26.793Z","09. 07. 2025 21:45"
"Individual due date - proforma @middle @low","Set due date in the contact for invoice","passed",5829,"2025-07-09T19:45:32.684Z","09. 07. 2025 21:45"
"Individual due date - proforma @middle @low","Test due date on the proforma is correct","passed",18081,"2025-07-09T19:45:50.835Z","09. 07. 2025 21:45"
"Individual due date - proforma @middle @low","Delete contact","passed",4603,"2025-07-09T19:45:55.481Z","09. 07. 2025 21:45"
"Individual due date - corrective @low","Set due date in the setting - corrective","passed",10303,"2025-07-09T19:46:06.981Z","09. 07. 2025 21:46"
"Individual due date - corrective @low","Create contact","passed",4906,"2025-07-09T19:46:11.940Z","09. 07. 2025 21:46"
"Individual due date - corrective @low","Set due date in the contact for invoice","passed",5985,"2025-07-09T19:46:17.998Z","09. 07. 2025 21:46"
"Individual due date - corrective @low","Create invoice for corrective","passed",18150,"2025-07-09T19:46:36.215Z","09. 07. 2025 21:46"
"Individual due date - corrective @low","Test due date on the corrective is correct","passed",16720,"2025-07-09T19:46:52.999Z","09. 07. 2025 21:46"
"Individual due date - corrective @low","Delete contact","passed",4735,"2025-07-09T19:46:57.774Z","09. 07. 2025 21:46"
"Test alerts for dates - invoice @high @middle @low","Due date cant be less  than date created","passed",26763,"2025-07-09T19:47:25.557Z","09. 07. 2025 21:47"
"Test alerts for dates - invoice @high @middle @low","Due date cant be less  than date created","passed",27288,"2025-07-09T19:47:53.899Z","09. 07. 2025 21:47"
"Add bank account - invoice @high @middle @low","Add bank account","passed",30195,"2025-07-09T19:48:25.068Z","09. 07. 2025 21:48"
"Add bank account - proforma @high @middle @low","Add bank account","passed",29573,"2025-07-09T19:48:55.685Z","09. 07. 2025 21:48"
"Delete testing company @high @middle @low","Delete company","passed",17920,"2025-07-09T19:49:14.265Z","09. 07. 2025 21:49"
