"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",9618,"2025-08-19T16:09:39.316Z","19. 08. 2025 18:09"
"Registration of a test company @high @middle @low","Register a new company","passed",14714,"2025-08-19T16:09:54.064Z","19. 08. 2025 18:09"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",12486,"2025-08-19T16:10:07.535Z","19. 08. 2025 18:10"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",2324,"2025-08-19T16:10:09.952Z","19. 08. 2025 18:10"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",10349,"2025-08-19T16:10:21.551Z","19. 08. 2025 18:10"
"Individual due date - invoice @high @middle @low","Set due date in the setting - invoice","passed",7098,"2025-08-19T16:10:30.021Z","19. 08. 2025 18:10"
"Individual due date - invoice @high @middle @low","Create contact","passed",2920,"2025-08-19T16:10:33.089Z","19. 08. 2025 18:10"
"Individual due date - invoice @high @middle @low","Set due date in the contact for invoice","passed",4305,"2025-08-19T16:10:37.510Z","19. 08. 2025 18:10"
"Individual due date - invoice @high @middle @low","Test due date on the invoice is correct","passed",14556,"2025-08-19T16:10:52.170Z","19. 08. 2025 18:10"
"Individual due date - invoice @high @middle @low","Delete contact","passed",4535,"2025-08-19T16:10:56.806Z","19. 08. 2025 18:10"
"Individual due date - proforma @middle @low","Set due date in the setting - proforma","passed",6905,"2025-08-19T16:11:05.172Z","19. 08. 2025 18:11"
"Individual due date - proforma @middle @low","Create contact","passed",2839,"2025-08-19T16:11:08.090Z","19. 08. 2025 18:11"
"Individual due date - proforma @middle @low","Set due date in the contact for invoice","passed",4045,"2025-08-19T16:11:12.217Z","19. 08. 2025 18:11"
"Individual due date - proforma @middle @low","Test due date on the proforma is correct","passed",15839,"2025-08-19T16:11:28.157Z","19. 08. 2025 18:11"
"Individual due date - proforma @middle @low","Delete contact","passed",4434,"2025-08-19T16:11:32.659Z","19. 08. 2025 18:11"
"Individual due date - corrective @low","Set due date in the setting - corrective","passed",7853,"2025-08-19T16:11:41.716Z","19. 08. 2025 18:11"
"Individual due date - corrective @low","Create contact","passed",2561,"2025-08-19T16:11:44.408Z","19. 08. 2025 18:11"
"Individual due date - corrective @low","Set due date in the contact for invoice","passed",4168,"2025-08-19T16:11:48.662Z","19. 08. 2025 18:11"
"Individual due date - corrective @low","Create invoice for corrective","passed",14500,"2025-08-19T16:12:03.251Z","19. 08. 2025 18:12"
"Individual due date - corrective @low","Test due date on the corrective is correct","passed",12804,"2025-08-19T16:12:16.128Z","19. 08. 2025 18:12"
"Individual due date - corrective @low","Delete contact","passed",4094,"2025-08-19T16:12:20.268Z","19. 08. 2025 18:12"
"Test alerts for dates - invoice @high @middle @low","Due date cant be less  than date created","passed",21538,"2025-08-19T16:12:43.763Z","19. 08. 2025 18:12"
"Test alerts for dates - invoice @high @middle @low","Due date cant be less  than date created","passed",21359,"2025-08-19T16:13:06.527Z","19. 08. 2025 18:13"
"Add bank account - invoice @high @middle @low","Add bank account","passed",24194,"2025-08-19T16:13:31.970Z","19. 08. 2025 18:13"
"Add bank account - proforma @high @middle @low","Add bank account","passed",22873,"2025-08-19T16:13:56.334Z","19. 08. 2025 18:13"
"Delete testing company @high @middle @low","Delete company","passed",13867,"2025-08-19T16:14:10.962Z","19. 08. 2025 18:14"
