# Spuštění a vyhodnocení testů po Binově sprintu S165 vylepšení 34 - GAMA
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",11713,"2025-08-25T11:59:49.080Z","25. 08. 2025 13:59"
"Registration of a test company @high @middle @low","Register a new company","passed",19574,"2025-08-25T12:00:08.732Z","25. 08. 2025 14:00"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",16882,"2025-08-25T12:00:27.073Z","25. 08. 2025 14:00"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",4449,"2025-08-25T12:00:31.835Z","25. 08. 2025 14:00"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",14346,"2025-08-25T12:00:48.224Z","25. 08. 2025 14:00"
"Individual due date - invoice @high @middle @low","Set due date in the setting - invoice","passed",8549,"2025-08-25T12:00:59.234Z","25. 08. 2025 14:00"
"Individual due date - invoice @high @middle @low","Create contact","passed",3970,"2025-08-25T12:01:03.351Z","25. 08. 2025 14:01"
"Individual due date - invoice @high @middle @low","Set due date in the contact for invoice","passed",7401,"2025-08-25T12:01:10.869Z","25. 08. 2025 14:01"
"Individual due date - invoice @high @middle @low","Test due date on the invoice is correct","passed",19386,"2025-08-25T12:01:30.339Z","25. 08. 2025 14:01"
"Individual due date - invoice @high @middle @low","Delete contact","passed",4608,"2025-08-25T12:01:35.009Z","25. 08. 2025 14:01"
"Individual due date - proforma @middle @low","Set due date in the setting - proforma","passed",9240,"2025-08-25T12:01:46.239Z","25. 08. 2025 14:01"
"Individual due date - proforma @middle @low","Create contact","passed",3768,"2025-08-25T12:01:50.045Z","25. 08. 2025 14:01"
"Individual due date - proforma @middle @low","Set due date in the contact for invoice","passed",5114,"2025-08-25T12:01:55.199Z","25. 08. 2025 14:01"
"Individual due date - proforma @middle @low","Test due date on the proforma is correct","passed",17868,"2025-08-25T12:02:13.183Z","25. 08. 2025 14:02"
"Individual due date - proforma @middle @low","Delete contact","passed",4438,"2025-08-25T12:02:17.681Z","25. 08. 2025 14:02"
"Individual due date - corrective @low","Set due date in the setting - corrective","passed",11208,"2025-08-25T12:02:30.399Z","25. 08. 2025 14:02"
"Individual due date - corrective @low","Create contact","passed",3873,"2025-08-25T12:02:34.377Z","25. 08. 2025 14:02"
"Individual due date - corrective @low","Set due date in the contact for invoice","passed",6269,"2025-08-25T12:02:40.713Z","25. 08. 2025 14:02"
"Individual due date - corrective @low","Create invoice for corrective","passed",17168,"2025-08-25T12:02:58.018Z","25. 08. 2025 14:02"
"Individual due date - corrective @low","Test due date on the corrective is correct","passed",14489,"2025-08-25T12:03:12.610Z","25. 08. 2025 14:03"
"Individual due date - corrective @low","Delete contact","passed",4523,"2025-08-25T12:03:17.199Z","25. 08. 2025 14:03"
"Test alerts for dates - invoice @high @middle @low","Due date cant be less  than date created","passed",26065,"2025-08-25T12:03:45.072Z","25. 08. 2025 14:03"
"Test alerts for dates - invoice @high @middle @low","Due date cant be less  than date created","passed",25396,"2025-08-25T12:04:12.143Z","25. 08. 2025 14:04"
"Add bank account - invoice @high @middle @low","Add bank account","passed",26077,"2025-08-25T12:04:39.967Z","25. 08. 2025 14:04"
"Add bank account - proforma @high @middle @low","Add bank account","passed",26780,"2025-08-25T12:05:08.086Z","25. 08. 2025 14:05"
"Delete testing company @high @middle @low","Delete company","passed",16468,"2025-08-25T12:05:25.833Z","25. 08. 2025 14:05"
