# Testování Beta po nasazení vylepšení 35 od Jakuba ISDOC
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",12097,"2025-08-31T18:02:46.982Z","31. 08. 2025 20:02"
"Registration of a test company @high @middle @low","Register a new company","passed",14084,"2025-08-31T18:03:01.139Z","31. 08. 2025 20:03"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",15215,"2025-08-31T18:03:17.367Z","31. 08. 2025 20:03"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",3151,"2025-08-31T18:03:20.789Z","31. 08. 2025 20:03"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",12474,"2025-08-31T18:03:34.928Z","31. 08. 2025 20:03"
"Individual due date - invoice @high @middle @low","Set due date in the setting - invoice","passed",10261,"2025-08-31T18:03:46.892Z","31. 08. 2025 20:03"
"Individual due date - invoice @high @middle @low","Create contact","passed",3187,"2025-08-31T18:03:50.196Z","31. 08. 2025 20:03"
"Individual due date - invoice @high @middle @low","Set due date in the contact for invoice","passed",6457,"2025-08-31T18:03:56.774Z","31. 08. 2025 20:03"
"Individual due date - invoice @high @middle @low","Test due date on the invoice is correct","passed",17793,"2025-08-31T18:04:14.659Z","31. 08. 2025 20:04"
"Individual due date - invoice @high @middle @low","Delete contact","passed",4973,"2025-08-31T18:04:19.690Z","31. 08. 2025 20:04"
"Individual due date - proforma @middle @low","Set due date in the setting - proforma","passed",9538,"2025-08-31T18:04:32.007Z","31. 08. 2025 20:04"
"Individual due date - proforma @middle @low","Create contact","passed",3629,"2025-08-31T18:04:35.731Z","31. 08. 2025 20:04"
"Individual due date - proforma @middle @low","Set due date in the contact for invoice","passed",5113,"2025-08-31T18:04:40.959Z","31. 08. 2025 20:04"
"Individual due date - proforma @middle @low","Test due date on the proforma is correct","passed",15599,"2025-08-31T18:04:56.645Z","31. 08. 2025 20:04"
"Individual due date - proforma @middle @low","Delete contact","passed",4694,"2025-08-31T18:05:01.391Z","31. 08. 2025 20:05"
"Individual due date - corrective @low","Set due date in the setting - corrective","passed",8664,"2025-08-31T18:05:11.911Z","31. 08. 2025 20:05"
"Individual due date - corrective @low","Create contact","passed",3242,"2025-08-31T18:05:15.240Z","31. 08. 2025 20:05"
"Individual due date - corrective @low","Set due date in the contact for invoice","passed",5786,"2025-08-31T18:05:21.136Z","31. 08. 2025 20:05"
"Individual due date - corrective @low","Create invoice for corrective","passed",15192,"2025-08-31T18:05:36.391Z","31. 08. 2025 20:05"
"Individual due date - corrective @low","Test due date on the corrective is correct","passed",13439,"2025-08-31T18:05:49.911Z","31. 08. 2025 20:05"
"Individual due date - corrective @low","Delete contact","passed",4974,"2025-08-31T18:05:54.941Z","31. 08. 2025 20:05"
"Test alerts for dates - invoice @high @middle @low","Due date cant be less  than date created","passed",23449,"2025-08-31T18:06:19.743Z","31. 08. 2025 20:06"
"Test alerts for dates - invoice @high @middle @low","Due date cant be less  than date created","passed",22920,"2025-08-31T18:06:43.904Z","31. 08. 2025 20:06"
"Add bank account - invoice @high @middle @low","Add bank account","passed",24701,"2025-08-31T18:07:10.040Z","31. 08. 2025 20:07"
"Add bank account - proforma @high @middle @low","Add bank account","passed",24543,"2025-08-31T18:07:35.818Z","31. 08. 2025 20:07"
"Delete testing company @high @middle @low","Delete company","passed",19584,"2025-08-31T18:07:56.141Z","31. 08. 2025 20:07"
