# Otestování po nasazení vylepšení 40
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",11808,"2025-09-10T15:30:05.833Z","10. 09. 2025 17:30"
"Registration of a test company @high @middle @low","Register a new company","passed",16359,"2025-09-10T15:30:22.281Z","10. 09. 2025 17:30"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",15008,"2025-09-10T15:30:38.312Z","10. 09. 2025 17:30"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",3184,"2025-09-10T15:30:41.663Z","10. 09. 2025 17:30"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",12300,"2025-09-10T15:30:55.155Z","10. 09. 2025 17:30"
"Individual due date - invoice @high @middle @low","Set due date in the setting - invoice","passed",9455,"2025-09-10T15:31:06.048Z","10. 09. 2025 17:31"
"Individual due date - invoice @high @middle @low","Create contact","passed",3670,"2025-09-10T15:31:09.831Z","10. 09. 2025 17:31"
"Individual due date - invoice @high @middle @low","Set due date in the contact for invoice","passed",5148,"2025-09-10T15:31:15.107Z","10. 09. 2025 17:31"
"Individual due date - invoice @high @middle @low","Test due date on the invoice is correct","passed",16490,"2025-09-10T15:31:31.677Z","10. 09. 2025 17:31"
"Individual due date - invoice @high @middle @low","Delete contact","passed",4813,"2025-09-10T15:31:36.545Z","10. 09. 2025 17:31"
"Individual due date - proforma @middle @low","Set due date in the setting - proforma","passed",11648,"2025-09-10T15:31:50.310Z","10. 09. 2025 17:31"
"Individual due date - proforma @middle @low","Create contact","passed",3361,"2025-09-10T15:31:53.774Z","10. 09. 2025 17:31"
"Individual due date - proforma @middle @low","Set due date in the contact for invoice","passed",5621,"2025-09-10T15:31:59.517Z","10. 09. 2025 17:31"
"Individual due date - proforma @middle @low","Test due date on the proforma is correct","passed",18388,"2025-09-10T15:32:18.065Z","10. 09. 2025 17:32"
"Individual due date - proforma @middle @low","Delete contact","passed",4293,"2025-09-10T15:32:22.471Z","10. 09. 2025 17:32"
"Individual due date - corrective @low","Set due date in the setting - corrective","passed",9466,"2025-09-10T15:32:34.233Z","10. 09. 2025 17:32"
"Individual due date - corrective @low","Create contact","passed",3614,"2025-09-10T15:32:38.090Z","10. 09. 2025 17:32"
"Individual due date - corrective @low","Set due date in the contact for invoice","passed",7430,"2025-09-10T15:32:45.661Z","10. 09. 2025 17:32"
"Individual due date - corrective @low","Create invoice for corrective","passed",15890,"2025-09-10T15:33:02.939Z","10. 09. 2025 17:33"
"Individual due date - corrective @low","Test due date on the corrective is correct","passed",16664,"2025-09-10T15:33:19.745Z","10. 09. 2025 17:33"
"Individual due date - corrective @low","Delete contact","passed",4935,"2025-09-10T15:33:24.763Z","10. 09. 2025 17:33"
"Test alerts for dates - invoice @high @middle @low","Due date cant be less  than date created","passed",26175,"2025-09-10T15:33:53.866Z","10. 09. 2025 17:33"
"Test alerts for dates - invoice @high @middle @low","Due date cant be less  than date created","passed",27446,"2025-09-10T15:34:25.382Z","10. 09. 2025 17:34"
"Add bank account - invoice @high @middle @low","Add bank account","passed",32031,"2025-09-10T15:35:00.123Z","10. 09. 2025 17:35"
"Add bank account - proforma @high @middle @low","Add bank account","passed",27634,"2025-09-10T15:35:28.934Z","10. 09. 2025 17:35"
"Delete testing company @high @middle @low","Delete company","passed",16195,"2025-09-10T15:35:46.143Z","10. 09. 2025 17:35"
